# synthetic, for demo only -- 400 cells x 132 genes, Poisson counts
# 12 TF programs x 8 targets + 24 unlinked genes; truth in ground_truth_edges.csv
cell,TF01,G001,G002,G003,G004,G005,G006,G007,G008,TF02,G009,G010,G011,G012,G013,G014,G015,G016,TF03,G017,G018,G019,G020,G021,G022,G023,G024,TF04,G025,G026,G027,G028,G029,G030,G031,G032,TF05,G033,G034,G035,G036,G037,G038,G039,G040,TF06,G041,G042,G043,G044,G045,G046,G047,G048,TF07,G049,G050,G051,G052,G053,G054,G055,G056,TF08,G057,G058,G059,G060,G061,G062,G063,G064,TF09,G065,G066,G067,G068,G069,G070,G071,G072,TF10,G073,G074,G075,G076,G077,G078,G079,G080,TF11,G081,G082,G083,G084,G085,G086,G087,G088,TF12,G089,G090,G091,G092,G093,G094,G095,G096,U001,U002,U003,U004,U005,U006,U007,U008,U009,U010,U011,U012,U013,U014,U015,U016,U017,U018,U019,U020,U021,U022,U023,U024
Cell0099,4,1,2,5,2,6,8,5,2,14,9,11,3,3,5,9,4,10,5,7,1,5,5,4,4,3,7,3,4,3,5,5,6,1,8,1,2,1,2,2,0,2,1,31,16,11,3,5,2,4,8,6,1,9,2,2,2,9,15,16,3,4,2,7,3,7,3,0,6,9,1,11,2,4,2,1,4,5,3,2,4,0,4,6,3,4,2,8,0,9,1,5,7,2,3,2,6,2,1,4,10,2,2,6,0,0,2,12,7,2,8,5,4,13,2,3,8,1,3,4,10,4,6,3,3,3,9,0,8,6,2,1
Cell0100,12,8,4,3,3,9,11,9,7,5,3,3,5,4,5,7,3,3,4,8,3,5,3,5,2,5,7,5,9,4,0,5,2,3,14,1,9,5,7,9,4,10,5,7,5,19,1,8,10,10,1,7,8,4,2,5,1,5,8,6,10,9,3,9,2,3,6,6,6,11,4,17,1,0,6,2,0,2,6,1,2,3,6,4,2,6,3,5,2,9,0,6,10,4,3,0,6,6,1,0,4,4,1,2,0,1,3,6,11,5,2,5,4,7,2,6,4,7,5,1,5,5,6,1,9,5,2,2,5,6,3,2
Cell0101,11,8,2,10,2,12,16,8,9,3,2,3,7,0,2,2,1,2,4,2,1,3,12,4,3,1,1,15,19,9,11,12,12,6,18,0,13,14,13,18,5,32,16,2,2,5,18,1,0,1,11,9,2,14,1,6,2,1,6,12,7,7,3,7,5,7,9,0,5,7,3,7,19,8,0,9,9,22,1,10,11,0,3,17,0,6,3,6,2,16,1,1,3,6,4,3,4,0,3,7,4,13,22,16,2,3,21,1,15,5,10,16,1,9,3,0,0,1,4,2,16,3,2,1,4,0,10,1,4,3,8,0
Cell0102,0,3,6,2,3,3,3,5,4,4,1,1,4,2,6,4,3,3,8,3,2,6,3,4,8,8,6,1,4,4,3,3,1,1,5,1,6,7,6,11,5,10,7,7,8,8,20,6,1,3,7,10,1,7,4,5,3,3,8,6,6,5,4,11,5,3,3,2,9,9,1,9,9,5,4,2,1,8,2,4,11,5,16,2,6,3,6,12,7,8,3,5,3,1,5,7,7,2,3,2,3,5,6,10,3,4,9,2,3,7,1,4,1,14,2,2,1,4,2,5,5,3,0,4,2,0,3,5,8,2,2,1
Cell0103,12,8,1,8,5,8,18,8,8,3,0,1,13,2,0,2,4,1,1,4,1,2,7,2,0,1,6,2,15,8,4,12,8,4,11,1,19,23,18,17,9,40,13,3,1,5,13,3,2,2,8,8,2,15,3,8,1,6,8,7,9,5,3,8,2,4,4,4,9,9,3,15,14,6,3,3,4,9,1,7,12,3,3,5,2,6,2,3,1,17,1,5,3,1,4,2,10,3,3,5,1,13,12,10,2,7,11,3,2,4,4,20,2,6,4,3,3,1,5,1,2,4,11,5,2,5,8,1,6,4,1,4
Cell0104,5,4,6,3,1,1,11,8,0,4,7,4,2,2,2,3,1,5,2,3,3,4,10,4,1,6,10,1,11,3,3,3,5,0,9,5,9,9,12,4,1,20,9,8,3,10,0,13,10,11,2,3,3,4,4,6,0,3,9,7,12,9,2,12,7,4,4,0,9,10,5,21,1,1,13,2,3,6,6,1,5,4,3,7,1,7,2,4,2,12,2,0,3,1,0,2,8,3,0,0,5,4,5,4,2,2,1,5,4,1,4,14,3,4,2,2,5,1,2,3,7,7,4,7,7,19,2,2,5,5,4,4
Cell0105,7,10,9,17,2,16,12,14,3,9,2,3,8,2,4,2,1,0,2,2,2,6,10,0,1,0,4,10,10,6,6,10,6,1,14,3,7,9,12,20,6,25,15,2,1,3,17,1,3,2,12,14,1,15,3,6,3,6,10,5,5,15,1,7,4,2,5,0,4,4,3,5,12,5,3,4,5,21,2,7,6,2,3,7,3,8,2,2,0,17,4,9,2,2,5,7,13,3,4,3,2,6,11,9,2,5,7,1,8,4,1,4,3,6,7,5,2,0,8,0,10,16,0,5,5,5,4,1,3,8,2,1
Cell0106,7,3,0,4,2,8,16,7,5,4,3,3,7,5,2,5,0,1,4,2,0,4,8,3,0,2,8,14,12,9,1,10,9,10,11,2,24,21,11,32,11,56,18,3,0,2,10,2,1,2,11,11,3,16,3,15,1,3,6,8,11,12,4,9,4,6,1,2,3,7,1,10,8,7,3,3,3,14,4,5,13,1,4,13,1,10,1,6,0,12,1,3,8,3,4,4,4,0,2,6,2,15,20,12,5,8,11,3,3,13,7,6,1,8,2,5,3,4,3,3,6,6,1,7,4,7,6,7,3,4,2,5
Cell0107,15,9,0,6,1,10,9,10,8,6,9,1,4,2,2,2,3,1,2,3,3,4,9,5,1,1,5,9,16,13,8,14,9,3,15,1,28,22,14,20,12,62,21,1,1,7,4,3,4,1,4,14,2,18,0,9,3,4,8,10,4,6,1,10,6,8,2,3,1,6,0,13,13,7,2,5,1,14,2,9,18,1,1,15,2,7,1,3,1,9,4,2,2,2,3,6,4,3,1,6,3,9,13,7,6,4,10,2,5,6,3,2,4,4,4,5,2,5,3,5,13,10,0,3,4,19,2,5,8,2,3,0
Cell0108,2,1,5,3,5,2,9,5,6,12,8,13,6,7,4,10,6,8,0,1,0,2,6,0,1,2,3,1,7,2,2,4,8,0,10,4,2,3,2,6,0,4,5,33,16,9,4,6,2,9,3,2,2,6,1,3,2,1,7,11,4,5,2,4,3,5,7,1,3,6,0,7,4,4,7,2,2,3,1,0,6,2,8,9,1,1,1,6,2,11,1,0,9,2,3,0,5,7,1,2,10,6,2,3,0,1,1,4,10,4,1,13,5,7,0,2,2,0,7,1,6,18,2,1,8,7,1,2,1,1,7,4
Cell0109,3,2,8,3,4,0,7,4,2,13,1,2,4,5,2,8,2,8,2,2,2,6,4,3,4,2,9,2,4,3,3,4,5,1,6,3,6,3,2,10,1,6,2,9,4,5,5,3,4,5,6,1,0,7,10,31,10,1,3,3,16,19,11,13,10,0,10,6,8,17,6,16,4,2,10,1,1,1,3,3,1,0,5,8,1,10,2,4,1,8,0,1,10,1,1,1,6,5,1,2,0,7,4,2,3,1,3,3,7,2,1,3,3,11,6,3,1,0,5,8,4,9,5,1,3,5,2,5,1,5,3,9
Cell0110,11,12,2,6,2,11,14,9,8,5,3,0,7,2,7,7,1,1,1,0,0,3,21,3,1,0,3,12,13,10,5,21,10,3,10,0,21,23,23,25,15,53,14,1,0,6,16,2,3,1,9,12,1,11,7,8,1,2,6,10,5,14,2,9,0,5,2,4,6,3,3,9,11,4,2,9,2,10,0,7,14,0,2,16,1,7,0,5,2,13,2,5,6,2,4,1,5,11,0,4,2,13,11,13,4,11,9,4,6,2,2,8,3,15,3,2,3,1,3,7,12,10,2,2,5,4,5,2,3,1,5,2
Cell0111,1,0,9,0,6,3,1,5,2,6,4,4,5,5,2,5,1,4,2,3,4,5,4,2,3,3,10,3,3,3,0,2,0,2,6,8,5,3,3,8,2,4,2,9,7,5,6,3,1,5,9,5,3,13,4,6,1,3,8,11,4,10,1,15,2,3,5,2,9,15,6,15,6,2,1,3,1,4,2,2,6,9,11,5,3,4,7,9,7,8,4,10,0,5,5,4,10,2,3,2,9,2,4,5,1,3,5,5,1,1,1,6,1,6,3,6,7,3,1,1,4,14,4,2,2,7,4,3,8,3,3,5
Cell0112,5,9,4,14,1,8,22,9,13,7,2,1,8,3,2,6,2,4,4,3,2,4,8,1,2,2,8,5,14,4,4,18,7,2,19,0,15,23,11,18,4,40,22,3,1,4,4,2,2,2,8,13,0,8,3,6,3,3,13,7,8,9,1,11,3,5,2,2,2,8,5,10,13,10,1,3,5,19,2,6,10,0,4,14,1,8,1,5,1,4,4,2,0,2,2,6,6,3,2,2,5,10,7,19,3,4,10,0,4,5,2,4,4,6,5,1,2,7,17,4,6,4,6,6,6,10,4,1,4,3,2,5
Cell0113,3,1,6,2,5,8,9,2,3,16,6,6,2,5,6,14,3,13,2,3,1,2,8,2,2,2,4,7,1,1,2,6,0,0,4,1,0,3,3,5,2,5,3,14,18,8,11,2,4,1,5,10,2,8,7,3,4,7,10,9,2,9,1,6,3,10,1,2,6,3,3,7,4,4,14,0,3,2,4,3,4,2,6,6,5,7,0,12,3,9,0,3,2,2,1,2,3,6,0,2,8,7,5,4,1,2,3,7,6,4,6,1,3,6,3,3,4,2,7,5,2,10,8,3,3,4,2,0,8,0,2,3
Cell0114,1,5,10,0,5,1,12,6,5,6,4,9,1,11,5,9,2,7,0,5,1,4,8,2,0,3,2,2,4,3,4,2,2,5,13,4,2,3,3,8,1,12,7,10,7,10,5,3,6,4,4,5,2,8,7,16,7,3,1,4,12,17,13,16,6,4,10,4,8,13,3,21,3,2,5,3,0,3,5,1,2,2,10,8,0,7,2,2,3,10,3,2,5,1,2,1,7,8,0,2,6,11,7,2,4,3,6,2,4,3,6,11,5,5,12,1,2,3,3,5,1,15,7,0,3,13,1,2,7,5,3,2
Cell0115,3,2,7,1,2,4,6,8,3,23,9,4,3,10,11,10,2,9,0,2,2,5,7,3,0,0,8,1,2,2,1,3,5,1,8,5,1,0,2,1,0,2,5,32,30,10,6,1,4,7,2,5,1,4,1,6,0,3,18,21,5,9,2,9,3,3,6,1,3,3,4,4,1,3,18,0,2,4,3,0,3,0,5,8,1,3,1,5,3,4,2,1,9,3,0,3,4,10,0,1,8,6,3,4,2,1,2,4,6,4,9,4,5,12,2,4,3,7,3,4,8,3,8,5,3,9,9,3,5,9,3,2
Cell0116,4,2,6,1,2,6,13,6,5,21,4,10,4,7,8,9,6,17,3,4,3,6,10,1,0,0,4,3,4,5,2,5,3,3,14,1,2,1,5,2,1,2,0,27,15,5,5,3,2,4,4,2,2,5,3,9,3,6,17,11,2,5,2,4,3,11,5,5,1,1,1,5,4,2,5,1,2,1,1,1,5,1,2,8,1,4,2,4,2,9,1,1,6,1,3,4,9,6,1,0,8,7,7,1,2,6,1,3,2,4,1,12,3,1,2,2,2,5,3,1,7,6,1,4,7,17,6,2,6,7,7,4
Cell0117,8,7,2,5,3,9,10,7,11,4,0,3,9,4,3,3,1,4,1,1,2,5,8,5,1,2,9,1,8,4,2,12,3,1,11,4,2,6,11,18,1,13,5,7,8,15,1,4,7,9,1,4,3,12,2,9,4,2,7,5,7,13,3,12,4,7,7,3,6,6,3,10,2,2,10,1,0,0,4,0,2,3,6,10,1,6,1,6,2,8,4,3,11,2,1,2,3,2,2,4,13,3,2,3,0,0,3,14,3,3,2,4,4,6,3,4,4,1,5,4,7,6,5,3,16,4,1,2,3,7,5,7
Cell0118,7,4,4,2,5,5,12,5,5,2,5,6,3,1,2,7,5,6,3,6,2,8,8,2,3,1,5,3,2,3,4,7,3,2,5,4,5,5,5,3,2,13,6,3,6,19,3,10,12,21,2,3,8,1,4,7,5,3,5,7,10,10,1,10,3,7,5,4,10,5,1,12,2,2,17,4,1,2,9,0,3,0,4,15,2,6,2,5,1,7,0,4,3,0,2,3,4,3,0,1,2,4,3,8,2,1,7,7,4,2,1,10,4,12,5,3,3,5,9,5,4,5,7,1,2,12,7,2,4,3,0,3
Cell0119,0,1,8,2,7,6,4,3,1,6,1,4,3,2,3,8,1,3,6,4,4,7,5,9,2,4,13,2,4,1,0,2,2,1,6,6,5,4,4,4,2,15,6,4,10,7,9,3,7,12,5,8,4,8,3,3,2,4,14,9,7,8,1,5,4,6,2,3,4,9,1,15,9,1,5,4,1,4,2,1,12,4,9,3,10,4,5,10,3,2,3,5,3,3,5,1,5,5,2,2,3,6,5,4,2,0,8,3,5,5,6,3,1,9,3,1,2,6,4,3,4,16,2,5,5,10,4,7,2,0,1,5
Cell0120,6,2,3,4,3,6,5,8,4,12,8,4,2,2,3,5,0,9,2,5,3,6,6,1,3,3,7,1,8,3,1,3,2,3,6,2,3,2,0,5,4,4,1,9,8,19,2,7,9,10,4,2,5,10,3,9,3,3,7,9,8,10,2,9,5,3,1,2,7,7,3,5,2,1,15,1,4,4,0,0,2,1,8,1,8,4,4,5,1,5,4,3,7,2,1,2,7,1,3,3,7,4,2,2,1,1,4,10,3,6,5,9,5,6,5,4,1,4,6,0,4,4,7,4,9,18,11,4,12,4,3,2
Cell0121,2,6,10,1,2,6,8,9,3,13,0,1,4,5,2,5,1,3,4,3,4,6,2,8,4,1,3,1,2,0,0,1,0,0,2,6,7,5,5,7,4,14,8,4,6,17,6,4,4,6,8,3,5,8,14,23,0,0,2,1,7,15,5,16,9,2,13,1,11,17,6,25,1,2,9,1,1,5,4,1,2,4,6,1,4,7,2,4,1,6,5,1,9,1,2,3,9,6,0,2,5,2,2,9,2,1,1,6,8,5,3,9,1,0,5,0,2,1,12,3,6,2,8,4,1,5,14,1,2,3,6,1
Cell0122,12,7,1,7,1,12,26,13,13,4,2,1,7,1,1,3,6,6,0,2,0,2,13,0,3,0,7,10,17,15,11,19,12,6,23,0,19,17,21,27,10,48,16,3,1,2,10,0,3,3,5,4,2,8,3,7,2,5,13,9,9,9,2,8,3,6,3,3,3,9,5,6,8,6,2,3,4,17,2,7,6,0,3,15,3,3,2,2,1,6,4,4,3,2,2,2,6,3,3,7,3,8,16,9,5,4,11,3,4,4,3,8,6,6,2,4,4,2,5,4,3,3,2,3,4,11,7,4,5,2,4,5
Cell0123,3,4,7,3,5,8,9,6,8,13,6,2,1,9,7,5,4,6,0,3,0,2,11,1,3,3,2,0,5,5,2,4,2,2,9,5,0,1,3,1,0,4,2,29,22,11,5,8,2,2,8,12,2,3,2,7,3,8,13,15,5,10,1,6,2,9,4,1,4,5,4,5,3,0,13,0,2,2,4,0,6,3,10,8,4,0,5,8,0,8,1,2,8,1,1,0,3,7,2,1,12,4,3,1,0,1,3,10,7,3,7,10,5,5,0,3,0,4,6,0,2,8,5,4,2,4,18,2,3,8,5,0
Cell0124,0,3,10,2,2,3,7,3,6,9,8,5,1,3,3,7,4,4,3,2,3,4,3,4,3,1,9,4,2,3,1,7,1,2,8,8,7,4,5,2,3,4,7,8,6,12,4,5,3,6,2,8,5,6,11,23,3,0,3,4,17,19,10,19,8,2,3,4,10,6,2,21,3,2,11,3,0,6,7,2,5,3,5,8,0,8,2,4,4,14,2,3,3,1,3,4,3,7,0,4,4,4,7,9,0,7,4,3,8,5,2,16,2,5,0,2,3,2,5,1,10,4,5,3,5,11,9,5,5,2,3,3
Cell0125,10,4,1,3,3,6,12,7,3,21,4,3,5,2,5,9,3,6,1,1,3,2,9,4,2,2,3,1,4,2,0,6,2,4,10,6,0,2,4,6,0,3,5,14,8,6,8,4,4,3,3,3,3,11,6,8,4,4,4,5,7,5,5,3,4,9,1,1,4,2,2,6,2,0,8,3,2,6,3,1,3,3,10,4,3,3,6,10,1,6,1,5,3,0,3,2,6,2,2,4,3,6,12,11,3,6,5,4,6,9,2,12,4,18,5,2,0,1,5,4,7,6,8,5,3,7,3,3,3,3,6,3
Cell0126,1,4,7,4,2,2,8,8,1,38,11,8,0,12,12,9,6,11,6,3,1,4,5,2,1,2,7,3,7,0,2,3,2,2,7,4,1,0,1,3,1,2,0,36,18,9,5,5,8,10,4,5,2,8,6,6,2,1,12,19,4,6,1,7,1,6,4,0,2,4,4,12,2,2,5,1,2,1,4,2,3,1,7,8,5,3,2,7,1,8,1,7,4,0,0,1,3,8,1,1,9,5,4,3,1,5,7,5,4,2,8,5,3,6,1,2,4,6,6,0,1,4,3,2,5,8,2,8,2,6,2,0
Cell0127,5,3,4,6,1,5,7,7,5,6,5,4,4,1,3,2,4,7,1,4,1,5,10,3,3,4,2,4,6,3,4,9,4,2,8,3,3,5,2,9,6,16,6,2,15,17,1,13,11,10,3,6,2,1,4,8,6,0,5,11,13,18,4,12,2,8,3,2,7,7,1,4,5,3,17,1,4,4,1,0,3,2,10,9,1,4,6,9,1,10,1,2,1,0,5,0,6,1,0,0,5,4,2,5,1,2,2,6,4,3,5,8,6,10,3,1,4,4,7,0,1,9,4,2,1,19,7,4,0,4,3,4
Cell0128,11,14,0,12,3,13,14,7,8,9,6,2,1,1,3,0,1,2,3,1,0,2,12,4,1,2,7,10,14,4,7,18,9,7,16,1,10,21,17,16,8,38,18,1,6,2,11,4,3,4,9,13,1,9,1,7,2,4,13,14,8,10,3,8,6,3,6,4,4,13,5,11,13,8,6,3,1,19,0,4,11,3,7,13,3,4,1,7,1,12,7,3,6,3,2,4,8,3,0,4,5,10,15,11,6,11,7,1,7,1,2,4,2,12,2,2,5,9,2,1,2,14,3,1,2,4,17,2,2,16,4,1
Cell0129,3,4,7,3,5,7,10,8,4,13,3,8,0,4,6,6,2,11,4,3,2,7,7,0,1,2,7,4,4,3,2,7,6,3,8,3,0,0,3,1,1,0,1,25,19,7,5,5,1,6,11,5,5,12,2,5,1,10,16,18,3,6,1,2,2,9,0,2,2,6,1,3,2,5,11,6,0,2,3,1,2,1,3,6,2,3,1,5,2,9,1,2,5,2,1,2,2,11,3,0,11,4,2,3,1,1,0,7,1,4,8,9,6,8,0,2,4,6,5,4,3,11,0,0,5,2,6,5,1,3,2,5
Cell0130,0,5,4,4,7,5,4,6,8,18,10,4,3,12,7,10,6,15,2,7,2,2,6,0,1,0,8,2,2,6,1,4,4,3,12,3,1,0,0,1,1,3,3,38,20,7,4,3,7,4,4,4,2,10,2,9,2,5,9,6,5,7,2,8,0,3,6,0,4,5,1,6,0,1,14,3,1,5,3,3,7,2,7,2,3,9,5,5,2,14,2,3,5,1,2,2,4,8,0,0,5,8,2,1,0,3,3,8,7,3,10,4,4,13,5,0,6,0,1,0,3,10,5,5,4,9,5,4,2,3,2,2
Cell0131,3,6,7,1,2,2,10,5,7,18,5,4,0,8,9,10,2,9,3,2,2,2,12,5,7,2,2,2,8,1,5,9,9,1,9,4,0,0,0,2,1,3,1,44,15,9,5,3,2,5,3,11,4,5,3,6,3,3,13,9,3,11,3,9,4,7,4,2,7,4,0,5,5,5,12,3,1,3,0,3,2,3,7,6,2,4,2,4,5,9,2,3,9,1,7,4,5,2,1,1,9,2,4,2,2,4,1,3,2,0,7,6,4,12,4,4,2,3,6,3,12,8,3,5,2,5,2,5,5,3,3,2
Cell0132,3,5,9,2,3,2,10,6,4,8,11,3,4,12,6,13,5,8,3,3,2,6,5,3,1,1,4,2,2,4,4,4,2,2,8,6,0,3,1,4,0,2,3,39,22,2,4,2,6,5,10,11,2,9,3,10,5,4,18,14,4,10,0,9,1,3,3,0,3,4,2,6,2,4,9,1,4,4,6,4,2,1,5,4,3,3,4,6,2,5,0,1,11,1,1,0,2,7,1,0,9,4,4,4,1,0,1,8,14,1,3,7,2,9,4,2,9,0,0,3,8,9,1,4,5,5,4,0,1,9,6,0
Cell0133,4,2,3,4,2,3,11,5,3,7,6,8,1,4,5,1,2,5,3,9,0,5,6,1,2,2,10,2,3,4,3,9,7,0,8,2,4,7,6,6,1,8,7,9,10,21,1,8,8,10,2,1,8,8,0,8,6,4,5,4,9,12,2,1,3,4,3,3,5,10,5,10,4,2,10,1,1,3,2,0,3,0,5,7,1,2,1,1,2,19,1,5,2,0,1,5,13,1,2,2,8,2,3,6,2,2,4,4,11,4,3,2,4,5,10,3,8,5,9,1,4,4,6,2,2,3,10,4,8,3,5,4
Cell0134,3,3,6,0,4,3,6,9,4,15,10,8,0,5,6,7,4,6,0,6,2,2,5,1,3,1,6,2,7,1,1,4,1,4,9,4,1,0,1,5,1,1,2,27,26,12,6,2,2,7,2,10,5,4,2,4,1,0,12,14,3,7,1,4,6,16,4,3,6,8,0,8,3,2,5,1,0,2,4,1,7,1,9,4,3,5,1,9,2,10,0,3,6,0,2,1,5,8,0,3,13,5,2,3,1,2,1,10,3,5,4,8,2,3,11,5,2,1,2,7,11,10,5,5,6,5,8,0,11,6,11,2
Cell0135,12,6,1,10,3,12,14,10,9,2,3,2,10,3,4,2,1,7,4,3,1,2,9,4,2,3,7,5,15,7,6,10,9,3,13,0,20,20,18,30,10,50,14,2,0,5,9,4,2,5,2,8,4,14,1,8,2,6,9,8,11,6,3,11,4,6,2,0,4,9,3,9,9,1,3,5,5,14,0,5,9,0,5,12,3,5,4,5,0,8,0,5,2,1,5,1,11,2,1,4,2,7,16,14,5,5,8,0,10,2,1,8,3,3,2,4,0,2,2,5,6,8,1,0,2,5,3,1,4,6,2,1
Cell0136,0,3,10,4,6,0,5,2,2,12,2,4,3,5,0,3,0,10,5,6,4,10,3,9,5,7,6,0,7,2,2,3,1,1,1,4,2,3,9,10,4,8,3,10,7,7,9,0,3,3,6,17,2,8,4,4,1,0,12,6,5,5,4,10,4,5,5,9,4,10,4,11,7,2,6,1,0,6,2,2,6,6,20,1,7,3,4,11,9,3,1,4,3,2,1,9,3,2,0,1,5,1,5,7,2,2,5,7,9,8,4,15,3,15,5,3,11,2,6,7,6,11,3,4,3,6,0,4,7,9,3,4
Cell0137,6,3,9,4,4,5,9,7,7,19,6,11,1,7,3,6,6,17,0,3,0,5,8,3,2,3,5,1,3,2,2,4,2,1,7,4,0,0,3,6,1,3,2,22,16,3,4,2,4,4,6,13,2,13,1,5,4,3,11,10,6,10,1,5,6,3,0,3,3,2,2,7,0,2,7,0,1,4,5,3,5,3,4,9,2,2,2,5,1,10,0,6,3,2,3,0,5,4,1,2,9,5,5,4,3,0,5,5,1,8,4,8,0,10,0,2,2,3,0,2,11,11,4,5,3,9,11,1,2,5,8,4
Cell0138,2,4,3,6,2,9,12,8,1,3,3,2,6,3,1,6,1,4,2,4,5,8,4,6,2,5,7,0,2,6,1,3,6,2,11,8,6,4,8,11,4,6,5,5,6,22,2,8,11,17,2,2,8,4,6,7,1,5,5,9,6,4,2,4,4,4,6,3,3,5,2,8,1,2,17,2,0,0,8,0,3,2,12,3,4,3,3,5,4,7,2,2,8,1,4,1,6,3,2,2,3,7,6,8,3,3,4,8,8,2,0,3,8,9,1,2,4,1,4,2,9,4,2,1,5,9,14,4,4,9,4,1
Cell0139,0,2,10,2,2,6,6,9,6,5,7,6,10,6,5,3,2,1,4,3,0,6,8,4,2,1,9,0,6,1,2,2,1,0,2,6,5,8,3,9,4,6,5,8,5,10,2,6,3,7,3,3,3,8,7,8,8,0,2,3,4,22,7,16,7,0,9,3,11,17,5,24,2,2,7,3,4,2,3,0,5,1,8,5,2,3,6,9,3,14,2,0,8,1,0,2,3,5,2,4,3,10,6,9,2,8,5,5,5,1,2,9,1,5,6,2,6,3,8,2,8,11,2,4,2,10,5,3,4,2,6,4
Cell0140,2,2,6,0,3,0,5,2,5,12,4,5,7,1,3,3,2,5,1,5,1,7,5,1,2,2,7,2,4,2,0,4,1,1,4,9,2,2,3,6,3,10,1,10,7,7,5,3,3,6,2,5,0,8,6,19,8,0,1,5,14,15,11,12,2,3,12,3,5,16,3,16,2,1,8,3,0,2,3,1,3,3,8,4,2,5,1,2,0,12,0,2,9,0,1,0,6,6,2,1,8,7,6,5,3,2,4,4,2,7,11,3,3,14,1,3,6,3,5,4,1,9,3,3,10,1,8,3,2,7,5,1
Cell0141,4,3,11,2,2,8,8,7,2,10,6,6,2,6,4,12,3,7,4,4,2,8,0,3,1,4,4,2,1,0,3,1,4,1,4,4,2,3,5,8,2,6,3,14,11,5,7,3,5,3,3,9,1,10,8,9,1,4,4,7,2,8,7,3,5,5,3,0,5,4,2,3,4,1,3,3,3,11,0,3,8,4,14,5,3,6,3,9,3,4,5,3,2,4,10,7,3,3,1,3,6,7,5,6,2,3,6,4,8,2,6,15,1,9,4,1,0,3,3,3,1,7,5,2,1,11,9,1,4,5,6,3
Cell0142,1,0,11,0,5,1,4,4,2,3,0,8,2,3,2,4,4,4,10,3,5,6,4,5,4,4,6,3,1,2,4,7,4,1,2,7,3,1,3,9,4,13,1,14,11,8,6,6,0,6,4,7,7,9,0,9,4,3,7,7,5,11,7,9,3,2,9,3,5,9,3,14,4,3,4,2,2,7,4,2,12,7,7,4,4,2,3,12,4,3,5,3,2,3,6,4,8,1,2,4,5,3,2,3,1,2,5,6,7,9,1,4,3,12,2,3,4,3,8,4,6,7,2,2,6,17,2,4,19,3,2,2
Cell0143,0,5,6,1,3,4,7,4,4,6,0,9,2,4,7,9,2,8,1,6,2,6,12,5,2,2,6,0,4,1,0,3,1,0,7,7,2,5,1,4,4,3,2,12,10,8,2,7,2,8,5,10,0,13,2,10,3,3,4,6,11,12,0,15,7,2,5,2,8,7,2,13,8,7,2,4,4,4,4,6,10,4,12,6,2,2,7,9,4,7,4,6,2,2,4,7,13,2,2,2,5,4,4,4,1,2,5,3,2,3,9,13,2,18,1,1,4,3,5,1,3,5,3,2,4,8,5,2,4,7,1,1
Cell0144,3,2,11,1,5,4,8,6,3,3,1,3,2,1,2,9,4,5,2,3,3,1,9,3,4,4,8,2,4,2,4,5,3,4,5,4,4,3,4,8,3,7,5,7,7,8,6,3,3,5,2,5,5,8,11,27,9,1,2,2,14,16,17,21,7,2,9,7,9,23,8,21,4,5,13,1,1,6,4,0,6,1,6,7,3,3,0,4,3,7,1,5,2,2,3,2,4,4,1,5,4,5,4,5,1,3,6,3,6,2,4,3,4,26,5,2,2,5,2,3,6,4,2,3,3,5,3,3,4,0,3,6
Cell0145,4,3,3,3,4,4,5,6,6,5,4,2,2,3,0,9,4,6,4,3,0,7,6,0,1,3,6,0,2,1,2,2,3,0,9,6,5,0,3,6,2,5,4,8,5,2,4,3,2,4,3,9,1,12,4,8,3,2,6,7,5,8,5,5,3,6,2,1,5,5,2,10,3,1,4,3,0,7,2,4,9,4,15,2,6,2,5,7,1,3,2,3,3,1,3,3,10,2,2,2,6,5,6,10,3,6,4,2,2,9,5,11,3,6,6,1,6,3,7,0,6,4,2,5,6,7,6,5,5,7,6,3
Cell0146,1,2,4,3,3,8,9,11,3,11,3,2,3,5,4,7,1,3,3,1,1,2,8,2,3,2,5,2,11,3,3,8,5,3,4,3,2,4,6,3,6,10,3,5,4,6,6,3,2,3,1,6,1,4,2,12,0,0,4,7,11,11,4,5,8,4,6,1,7,5,3,8,9,3,4,0,2,8,4,3,7,8,9,6,5,3,4,5,2,10,5,7,2,4,7,3,9,4,0,3,4,16,12,13,3,7,7,2,9,6,4,7,5,6,2,9,4,3,3,2,7,0,2,1,2,7,2,0,9,6,1,1
Cell0147,8,2,3,2,4,6,12,7,3,3,3,1,6,2,2,4,0,8,4,4,4,4,7,7,2,2,8,1,6,4,4,7,3,3,9,5,3,2,6,7,3,8,5,12,6,14,6,8,11,7,5,4,3,4,3,4,5,2,5,7,7,9,5,6,3,6,5,2,6,5,2,5,2,1,20,2,0,0,7,3,0,2,4,3,1,4,2,3,1,8,3,8,2,1,1,8,8,0,0,1,5,5,7,6,1,1,4,9,5,1,4,7,4,5,3,7,5,3,1,1,7,5,4,9,3,11,2,2,9,6,2,11
Cell0148,4,1,8,2,3,3,6,3,4,7,5,4,9,3,5,6,2,3,7,2,2,12,5,4,3,7,8,1,7,1,1,2,8,1,6,5,3,4,5,4,4,6,2,15,9,9,8,7,3,5,5,10,3,7,3,7,1,5,9,11,12,3,1,11,4,2,7,3,11,8,6,12,5,3,3,7,4,15,2,4,10,5,14,2,6,4,6,11,11,5,4,7,1,3,11,8,13,7,3,4,3,5,3,6,2,3,1,6,5,1,2,2,3,13,5,4,3,5,1,3,12,17,2,2,3,10,1,2,9,3,4,6
