"","G001","G002","G003","G004","G005","G006","G007","G008","G009","G010","G011","G012","G013","G014","G015","G016","G017","G018","G019","G020","G021","G022","G023","G024","G025","G026","G027","G028","G029","G030","G031","G032","G033","G034","G035","G036","G037","G038","G039","G040","G041","G042","G043","G044","G045","G046","G047","G048","G049","G050","G051","G052","G053","G054","G055","G056","G057","G058","G059","G060","G061","G062","G063","G064","G065","G066","G067","G068","G069","G070","G071","G072","G073","G074","G075","G076","G077","G078","G079","G080","G081","G082","G083","G084","G085","G086","G087","G088","G089","G090","G091","G092","G093","G094","G095","G096","G097","G098","G099","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200"
"cell0203",5,10,6,13,2,1,9,4,7,0,0,13,0,1,6,5,8,11,6,2,8,4,4,1,0,10,6,3,10,1,8,2,2,4,3,9,0,0,3,0,3,7,1,7,3,0,4,5,9,1,2,3,8,8,0,9,13,2,1,3,1,2,3,2,0,9,7,14,20,0,4,6,0,2,2,2,0,5,26,5,36,43,32,50,26,17,31,38,21,33,33,44,22,36,18,44,31,27,23,59,55,12,21,27,24,27,41,13,21,35,27,49,24,17,16,37,19,35,32,31,0,3,0,6,3,0,4,3,1,1,0,3,2,0,1,0,2,7,5,5,3,5,3,1,5,8,11,13,3,7,0,3,0,1,6,1,0,1,9,10,9,5,1,4,3,1,0,3,5,1,9,1,6,20,3,1,4,15,3,4,6,3,3,5,13,5,3,3,7,11,1,1,11,9,3,13,5,2,4,2
"cell0204",6,15,6,20,1,1,6,0,5,1,0,6,0,3,6,6,12,8,1,1,14,2,2,2,3,3,12,4,12,0,10,7,2,3,5,12,3,1,4,1,3,10,1,7,2,1,2,6,13,2,1,1,5,7,0,17,9,1,1,7,5,0,6,1,0,11,0,10,20,5,1,7,1,7,2,6,1,1,21,8,28,35,38,53,49,19,15,49,20,35,34,38,28,37,19,59,32,33,14,51,54,28,24,26,17,40,44,16,33,38,29,49,24,24,17,41,19,28,38,32,3,1,3,6,4,0,2,3,1,1,0,4,4,2,1,0,7,11,2,4,3,4,3,7,1,4,10,7,3,10,1,4,0,2,6,0,0,1,5,9,10,3,0,2,1,5,1,0,5,0,8,1,4,10,3,1,2,7,1,3,7,4,3,4,1,7,1,2,2,6,7,0,16,4,7,4,6,1,10,2
"cell0205",7,8,2,4,2,0,5,1,8,0,0,10,1,4,6,5,5,16,1,5,11,3,4,0,1,4,8,5,8,1,18,2,1,3,3,3,1,0,9,0,1,9,1,7,4,0,2,2,15,2,3,2,6,7,0,17,7,0,0,16,3,1,5,0,2,12,5,10,17,3,3,4,0,8,2,4,1,4,20,10,31,41,39,51,33,16,28,43,22,30,22,39,37,32,19,42,28,36,20,54,53,27,18,29,27,32,53,27,23,34,32,52,30,22,13,34,19,41,25,30,4,3,3,3,2,0,2,7,0,1,0,7,1,0,0,1,6,10,7,4,5,6,0,3,1,3,3,8,7,5,0,1,0,2,5,0,1,0,2,13,12,4,0,8,2,8,0,1,15,1,7,1,1,11,3,2,5,13,0,2,4,5,7,1,6,5,2,3,8,11,1,3,14,7,1,5,4,2,6,6
"cell0206",4,16,7,14,3,2,4,1,2,0,0,6,0,2,1,1,6,7,7,4,8,0,7,0,3,7,7,1,8,2,13,6,1,1,4,8,1,1,3,0,1,3,3,7,3,1,2,2,11,4,5,2,3,10,0,9,14,0,0,15,0,1,4,1,4,9,6,8,16,4,0,5,1,5,1,1,1,2,20,3,39,32,27,58,38,20,35,44,29,26,34,48,46,32,23,47,25,37,20,58,39,22,18,29,35,40,48,24,18,25,26,57,23,26,15,28,16,36,28,23,2,0,3,5,0,0,2,1,2,4,0,1,7,3,1,0,3,9,4,4,6,3,1,2,3,5,6,13,7,8,3,2,0,1,2,2,2,1,5,7,9,4,1,2,2,3,0,4,9,0,15,0,9,11,7,2,2,13,1,1,4,2,6,1,13,8,0,1,4,16,1,1,14,4,4,19,12,1,1,5
"cell0207",1,12,7,13,0,1,3,4,6,2,1,11,1,2,8,8,6,7,2,4,5,1,5,0,0,5,5,3,9,0,9,4,3,3,2,5,0,0,3,0,3,5,0,6,2,0,2,5,15,4,4,4,6,12,1,8,10,0,0,11,1,2,2,1,1,6,8,11,21,1,2,2,0,5,1,0,0,2,27,7,28,26,28,71,46,17,31,48,27,29,30,35,37,34,27,48,31,31,17,55,47,27,26,24,25,36,55,25,22,33,18,44,34,18,18,48,23,34,29,20,3,1,3,5,2,0,2,4,2,3,0,7,5,1,1,0,4,10,4,6,2,1,2,3,7,7,5,12,6,8,2,0,0,0,4,3,0,0,6,14,13,4,2,5,4,12,1,2,10,2,13,1,3,11,5,1,1,12,2,3,3,3,9,4,5,12,2,0,2,12,3,4,7,5,1,8,8,0,8,2
"cell0208",3,11,5,17,1,1,4,2,4,0,0,11,1,2,8,6,11,5,2,5,7,0,5,2,2,12,10,4,12,0,12,10,2,1,6,5,1,1,3,0,1,10,2,6,4,0,2,6,9,3,3,2,3,2,1,17,9,0,1,9,3,1,5,3,1,12,12,9,21,7,3,1,0,7,3,0,0,1,26,5,30,46,31,50,52,15,29,43,42,28,30,48,30,48,19,49,37,35,22,55,48,16,17,25,16,28,59,20,23,33,27,61,35,14,11,37,22,35,32,33,3,1,3,1,2,0,1,4,2,1,0,9,5,1,1,0,4,19,10,4,3,7,1,0,6,5,9,9,7,13,0,3,1,5,9,1,0,1,8,7,6,3,1,10,2,5,0,1,7,0,18,3,5,9,6,2,3,19,1,1,4,4,12,4,2,8,3,2,2,14,1,2,15,6,7,14,11,4,5,3
"cell0209",4,15,6,10,4,0,1,5,4,1,0,21,1,2,4,8,7,5,6,4,9,2,3,0,1,1,5,2,18,0,8,8,2,1,5,10,1,0,4,0,2,4,0,6,2,0,4,4,4,3,2,1,2,8,1,9,9,2,1,15,1,1,5,0,2,6,8,11,22,4,2,9,0,8,0,4,0,1,23,11,34,36,32,52,50,18,27,42,34,28,24,41,37,40,32,48,31,27,24,50,60,22,18,18,39,30,51,14,22,29,23,51,21,29,13,43,20,44,32,29,1,0,5,7,0,0,0,1,2,1,0,4,5,0,2,0,4,8,8,4,7,2,1,4,3,5,13,9,4,7,0,6,0,2,5,1,1,0,5,12,7,4,0,5,5,8,0,2,8,1,16,2,4,13,5,3,4,15,4,1,4,6,11,4,5,9,1,1,5,8,0,4,18,7,7,8,6,4,10,6
"cell0210",3,9,4,17,2,0,7,1,6,2,0,8,1,2,6,4,8,3,4,1,9,1,4,2,0,10,8,6,14,0,6,7,1,2,3,12,2,0,5,1,3,10,0,5,2,0,0,8,7,4,1,2,3,8,1,11,10,4,0,13,0,0,3,3,1,12,8,11,20,3,1,6,1,3,0,2,0,0,22,6,20,46,23,55,39,23,28,34,24,25,37,39,35,41,25,47,24,25,26,61,50,27,26,25,20,35,55,17,22,39,22,64,29,25,15,27,22,43,28,27,7,1,6,8,1,0,3,4,1,1,0,3,4,1,0,0,3,9,3,4,6,6,0,1,2,1,9,7,5,9,2,10,1,1,4,0,3,1,5,13,9,9,3,2,3,7,0,3,5,3,8,1,0,15,4,1,2,11,1,1,1,2,6,4,6,9,2,0,3,13,1,4,17,5,6,4,6,3,9,9
"cell0211",3,16,7,11,0,1,4,3,4,2,1,11,2,1,5,6,8,6,8,2,6,0,4,0,0,6,6,3,9,1,6,7,3,0,4,6,2,0,6,2,3,5,1,10,1,0,1,5,10,2,5,2,1,6,2,11,20,0,0,12,4,0,4,0,4,9,8,14,17,3,2,5,1,7,0,4,2,2,15,8,31,34,36,53,37,12,26,41,25,42,32,38,39,40,25,55,29,34,21,46,40,18,33,28,30,20,50,21,22,29,26,49,26,16,21,41,22,42,33,40,2,4,2,6,3,0,3,2,2,0,0,4,5,0,2,0,6,6,3,7,4,3,0,2,4,5,11,8,7,14,5,4,1,4,3,1,1,1,5,9,10,4,0,10,3,5,1,1,8,1,8,3,3,10,8,3,4,12,0,0,0,5,14,3,7,10,3,1,5,5,5,3,5,4,5,10,9,4,5,2
"cell0212",4,8,2,20,0,0,4,0,2,2,1,6,0,2,9,7,14,5,4,3,13,1,3,0,1,11,5,5,7,2,11,10,5,2,0,14,2,0,2,0,2,6,4,8,2,1,5,5,10,3,2,4,5,6,0,12,9,3,0,14,2,0,6,0,0,8,6,10,26,3,3,10,0,3,2,1,0,1,33,9,31,39,27,60,45,18,29,44,29,28,33,28,45,44,20,48,33,33,21,46,55,23,32,20,26,28,50,14,38,40,31,62,36,29,11,32,17,29,33,30,6,1,4,3,1,0,8,2,4,1,0,4,4,1,0,0,4,7,3,5,6,5,1,1,3,3,8,16,3,6,0,4,0,5,4,0,0,1,3,16,15,3,0,5,3,12,1,4,2,1,8,3,3,15,3,5,2,15,1,1,3,3,13,9,3,9,1,1,4,10,5,2,12,9,8,14,7,2,5,13
"cell0213",2,10,7,22,0,2,3,4,8,2,1,13,0,1,7,5,6,3,3,2,10,1,1,1,0,3,4,4,6,1,9,2,1,0,5,8,0,0,5,1,1,4,1,10,7,0,2,8,9,5,2,4,5,11,0,11,13,3,0,14,2,4,2,2,3,8,6,8,22,0,2,6,1,4,1,1,0,1,29,6,33,43,40,65,52,15,35,54,32,25,27,42,25,45,19,45,31,41,21,46,42,25,30,24,22,29,52,19,28,35,30,46,25,23,11,34,22,46,26,27,3,1,6,5,1,0,3,1,1,1,0,7,4,1,1,0,3,13,3,8,3,3,1,3,3,7,5,8,2,5,1,4,0,1,4,1,2,0,3,14,6,5,1,3,2,10,2,2,12,0,23,1,4,12,7,1,2,12,1,2,5,7,6,3,6,10,3,2,4,17,1,2,8,7,5,10,5,1,6,5
"cell0214",3,22,4,10,3,2,7,3,4,2,0,12,0,1,1,6,6,12,8,5,8,1,5,2,1,2,11,1,10,2,15,5,0,1,3,13,1,1,3,1,3,4,1,4,5,0,3,4,5,5,2,3,7,6,0,11,16,4,0,9,2,0,2,2,4,6,9,9,21,2,2,8,0,8,1,2,1,4,22,4,34,40,40,45,47,20,26,42,23,40,35,37,41,37,21,48,34,36,30,44,35,22,23,25,30,23,43,23,21,36,26,66,30,17,16,38,18,46,27,28,2,0,3,4,2,0,1,1,1,2,0,0,4,1,0,2,7,12,7,4,4,4,3,2,4,6,6,10,3,9,0,2,0,2,4,0,0,1,7,10,11,4,0,8,0,6,2,3,4,2,16,2,4,13,3,1,1,13,2,1,4,3,5,2,5,8,0,1,4,11,2,0,10,4,4,10,5,0,4,11
"cell0215",4,17,5,14,1,0,5,0,4,0,1,12,0,3,6,3,8,9,5,2,10,2,6,1,0,6,8,5,7,0,9,5,2,1,0,11,1,0,4,0,2,3,0,7,4,0,1,4,5,2,3,1,5,7,0,20,10,0,1,20,2,0,6,0,2,9,14,9,21,2,1,3,1,2,0,3,0,0,21,6,32,37,31,75,33,23,33,43,27,32,44,35,37,30,16,35,39,35,21,51,54,41,22,30,25,31,38,24,24,40,33,56,23,15,17,39,14,37,37,23,2,0,2,5,1,0,0,5,0,2,0,3,7,2,1,1,5,8,5,3,1,4,2,3,5,2,7,9,4,10,0,7,0,4,4,1,1,1,7,12,5,4,0,5,5,4,2,2,9,1,18,0,5,10,6,1,2,16,2,1,4,2,8,5,5,9,0,2,2,12,2,2,12,1,6,14,14,1,6,6
"cell0216",4,19,7,11,2,1,4,3,8,1,0,13,1,1,6,6,6,11,5,4,11,1,3,2,3,9,5,1,12,0,12,4,4,2,2,8,3,0,4,0,0,6,0,4,7,0,1,8,7,3,2,5,1,14,2,11,8,1,1,16,1,2,4,3,1,7,7,11,20,0,3,3,0,5,1,3,0,3,22,4,29,38,29,54,37,19,21,32,29,34,25,42,33,28,29,37,40,31,21,50,48,24,14,32,30,30,57,19,27,53,19,71,22,24,12,47,32,41,24,18,3,3,5,5,2,0,1,4,0,2,0,5,3,0,1,1,4,14,1,5,3,6,2,4,4,4,6,13,5,6,0,3,0,5,4,3,0,3,6,12,10,8,1,5,3,1,0,2,10,0,12,2,4,7,10,4,1,12,1,0,4,5,7,2,9,7,1,1,1,13,1,1,12,5,5,15,2,3,9,3
"cell0217",0,15,3,12,2,0,3,4,9,0,0,7,1,1,7,7,10,3,2,2,9,2,5,1,1,6,4,3,7,0,11,6,3,4,2,8,3,1,2,0,3,9,1,5,3,0,2,5,4,7,3,0,4,5,0,12,12,3,0,13,4,1,2,1,0,8,7,4,26,6,1,7,0,3,0,4,1,2,20,8,32,38,36,52,44,18,40,26,42,33,28,41,32,37,33,42,44,32,13,50,55,29,28,30,23,38,55,22,31,41,28,73,19,23,17,41,18,32,37,42,1,2,0,4,1,0,1,6,2,4,0,3,5,0,2,1,5,7,2,5,2,6,2,5,4,3,4,10,11,5,1,5,1,3,3,1,0,0,7,11,8,4,2,3,4,4,0,1,6,0,15,0,6,15,6,7,6,8,0,2,5,2,10,3,6,10,0,1,4,15,1,4,15,5,9,9,2,2,7,9
"cell0218",5,21,7,11,0,1,13,4,3,2,2,11,1,1,7,7,9,6,7,1,9,0,2,1,1,7,7,6,9,2,6,4,1,1,5,6,0,0,7,1,0,7,0,6,2,0,3,2,5,2,2,3,3,5,0,10,11,2,0,8,1,0,6,0,0,11,7,4,25,2,0,5,1,7,0,5,0,3,14,7,26,38,34,54,43,16,23,30,32,30,24,41,43,41,24,50,43,39,19,53,46,24,27,24,19,36,50,26,19,46,27,56,32,26,13,38,17,35,18,23,5,4,4,6,2,0,2,4,2,1,0,2,3,0,0,0,2,17,4,2,3,0,2,6,2,6,8,14,5,11,3,7,0,2,1,2,0,2,6,9,15,6,0,5,5,5,0,1,17,4,9,3,6,11,8,2,1,6,0,3,4,1,8,5,5,7,2,4,1,16,3,3,17,7,7,13,2,2,3,5
"cell0219",3,18,6,13,2,1,7,3,5,0,0,8,2,1,6,5,8,12,3,4,12,1,5,4,1,7,6,2,8,1,8,4,2,2,7,11,3,0,6,1,4,8,2,7,2,0,2,4,15,1,2,0,4,13,0,10,8,4,0,10,2,1,6,3,1,10,6,11,17,4,1,5,1,6,0,2,1,2,34,6,30,39,31,57,36,18,33,39,28,31,31,34,31,39,22,50,40,30,19,43,53,23,18,34,36,36,54,17,27,26,18,57,24,18,12,34,19,36,37,24,1,1,2,9,1,0,2,3,1,0,0,4,3,1,1,0,7,5,3,3,5,5,2,1,3,4,7,9,4,11,2,7,0,3,6,1,1,0,6,6,15,4,2,5,2,7,0,4,9,2,9,1,9,8,2,0,1,13,1,1,5,1,8,7,2,14,1,2,1,5,2,2,9,7,3,14,10,1,7,7
"cell0220",3,14,4,12,4,2,2,3,3,1,0,9,0,1,4,4,5,5,1,7,9,1,1,0,0,8,9,1,7,0,9,7,2,1,4,8,2,0,1,1,1,5,0,8,2,0,3,7,7,1,1,2,6,2,0,7,10,3,0,9,1,0,3,3,1,8,4,13,32,2,2,4,0,2,0,5,0,0,22,3,28,35,30,43,51,25,25,37,30,19,21,31,26,33,18,54,38,37,27,60,57,21,25,30,24,40,56,14,33,43,26,61,28,22,19,38,19,61,33,26,4,0,4,6,2,0,3,2,0,3,0,3,4,0,1,0,4,10,7,5,5,2,6,3,7,6,11,6,1,7,1,6,0,3,4,3,1,0,5,7,9,3,1,3,1,12,1,2,9,3,13,0,3,8,7,1,4,8,0,3,7,2,1,5,10,11,1,3,2,16,3,6,9,6,2,8,7,1,4,6
"cell0221",3,10,4,23,2,2,2,7,5,1,0,9,1,2,5,4,5,6,6,7,11,0,2,1,2,4,10,3,15,1,10,4,1,0,8,4,1,0,6,1,2,6,1,6,4,0,5,6,12,3,4,0,3,8,2,15,7,2,0,14,1,0,5,1,0,10,5,8,15,4,4,3,0,7,0,5,0,2,23,1,29,45,24,58,51,12,24,35,27,32,36,33,24,35,16,46,24,35,20,41,44,29,25,26,26,36,43,17,26,29,23,55,35,19,14,35,20,37,23,32,3,2,2,4,2,0,3,0,3,2,0,8,2,0,2,1,6,13,0,2,3,4,2,1,2,5,6,8,3,6,0,5,0,4,4,3,1,1,6,11,7,4,3,6,4,7,0,0,6,3,13,3,2,10,3,3,2,8,0,4,6,4,6,3,9,12,0,1,1,10,3,0,12,6,5,12,7,4,4,2
"cell0222",2,10,4,12,2,0,7,2,4,1,0,7,3,1,6,6,7,13,1,2,9,0,3,5,6,7,5,4,10,1,8,3,2,0,5,8,0,0,3,1,1,5,0,8,5,1,2,5,11,2,2,1,6,12,0,7,10,2,0,8,0,0,3,0,1,12,4,7,17,5,2,2,2,7,0,7,0,0,11,10,28,39,34,58,52,14,27,44,30,31,41,59,33,37,24,40,32,26,29,44,47,25,24,23,19,33,44,23,35,35,19,54,31,20,22,38,27,36,27,32,1,3,4,8,1,0,2,1,3,1,0,6,1,3,0,0,2,12,4,6,4,2,3,1,3,1,3,8,4,9,0,4,1,3,4,3,1,1,3,11,14,5,1,7,0,3,1,2,9,1,15,0,3,15,4,1,0,9,2,2,2,0,5,6,5,9,0,2,4,11,3,4,11,4,7,10,3,1,4,9
"cell0223",5,19,8,8,3,0,3,3,4,0,0,8,0,2,2,9,4,7,4,2,12,0,6,1,5,7,5,5,9,0,13,10,4,2,4,6,1,1,4,1,1,5,0,5,2,0,0,2,18,1,2,0,2,4,1,14,10,3,0,9,2,0,4,0,1,9,5,12,21,2,2,4,0,4,0,3,0,2,25,3,21,42,28,62,45,18,16,37,22,35,30,30,22,51,28,39,20,28,15,53,55,16,18,32,33,37,50,22,16,35,32,63,31,20,14,39,20,47,30,38,3,2,3,6,2,0,4,3,6,3,0,5,3,1,0,0,4,10,1,6,5,5,4,4,7,3,6,10,3,15,0,6,0,1,6,0,0,1,12,11,8,3,2,8,0,4,0,1,5,0,10,0,3,7,7,1,5,13,0,0,3,5,6,5,3,12,0,2,2,12,1,1,6,6,5,7,6,3,2,5
"cell0224",1,8,5,23,1,2,8,4,2,3,1,14,1,2,4,7,6,5,4,1,18,1,3,0,1,13,10,2,8,0,7,5,4,0,2,13,2,2,2,1,0,1,0,6,3,0,1,4,12,4,1,1,1,5,0,7,12,0,1,11,5,3,4,0,2,7,4,13,24,2,3,8,0,5,4,3,0,1,18,6,26,29,31,75,56,23,27,46,35,39,32,40,33,43,23,57,31,36,20,45,51,34,31,23,19,28,47,18,20,31,25,56,24,19,15,26,25,46,36,18,6,2,5,12,1,0,4,1,0,1,0,5,6,1,0,1,9,12,3,5,1,3,3,5,4,7,9,12,7,2,0,5,0,6,5,2,1,2,6,14,13,3,1,14,2,6,1,1,7,1,15,2,5,9,1,4,3,12,1,0,4,3,9,7,6,9,1,2,2,14,2,0,8,7,3,8,4,2,5,7
"cell0225",1,15,9,7,2,1,5,6,5,1,0,7,0,0,7,9,7,7,6,3,13,1,1,3,1,3,3,5,6,0,12,2,2,1,3,13,0,0,2,3,0,8,0,3,1,0,2,5,9,5,0,1,7,13,0,15,10,1,0,18,3,0,5,1,2,9,4,10,23,1,2,7,0,8,1,1,1,0,27,8,32,41,30,53,34,20,18,39,23,27,27,32,32,40,18,50,40,26,21,59,53,32,21,13,24,22,56,17,18,47,14,69,22,16,14,39,20,44,36,20,2,1,0,3,1,2,1,2,1,2,0,2,4,0,1,0,8,5,1,5,5,4,2,5,2,5,5,14,1,4,1,4,0,0,4,1,0,3,3,5,14,3,2,3,2,7,1,2,3,0,11,1,3,11,10,3,2,8,0,1,6,2,8,6,10,2,0,2,6,10,0,1,17,6,6,10,4,3,11,5
"cell0226",5,13,7,11,3,1,11,4,6,1,0,6,0,3,8,6,10,8,8,7,5,2,2,0,5,9,6,3,9,0,9,5,3,1,4,8,1,1,3,1,0,4,0,4,3,0,6,3,8,4,3,1,5,8,1,11,13,3,0,15,4,0,4,1,0,9,4,11,19,3,1,2,1,6,1,4,1,2,20,7,28,39,29,66,39,11,25,46,32,21,37,33,36,32,27,51,36,27,19,48,52,23,24,25,23,28,37,19,33,37,20,60,37,14,11,39,28,33,41,22,3,2,5,8,2,0,4,4,1,1,0,3,8,0,1,0,5,8,2,6,10,3,2,3,8,7,4,9,2,6,2,5,0,5,4,2,1,0,4,12,13,4,1,7,3,4,1,0,13,0,10,0,2,19,6,3,3,13,1,3,6,6,8,2,5,5,0,1,4,14,3,1,16,8,6,15,7,3,6,0
"cell0227",2,11,6,16,2,0,5,1,6,1,0,16,1,2,8,10,7,6,3,6,4,1,5,1,1,7,8,2,6,0,7,5,1,1,2,15,1,1,0,0,3,5,0,7,3,0,5,4,8,3,3,2,4,9,1,8,6,3,0,11,2,1,2,0,1,12,8,12,20,1,0,7,0,5,2,4,1,0,16,7,37,37,27,48,51,29,36,39,38,34,32,38,32,30,20,34,40,33,17,55,57,20,19,24,32,36,43,22,23,39,22,47,24,18,12,40,15,33,42,24,6,0,3,4,2,0,3,5,1,2,0,5,2,0,1,0,6,12,2,6,2,3,1,2,7,4,9,7,6,6,1,8,0,0,3,2,0,1,3,12,9,5,1,2,4,14,0,2,6,0,15,0,7,12,1,5,1,10,2,2,6,4,8,1,12,11,1,3,6,11,3,2,12,11,5,9,7,3,4,2
"cell0228",2,19,3,11,0,1,6,7,4,2,0,9,1,2,9,9,5,4,4,6,6,4,5,1,2,6,11,3,11,0,12,5,3,1,3,6,0,0,7,0,0,11,2,5,0,0,1,5,10,1,4,3,4,11,1,9,9,1,0,13,1,0,7,1,1,5,3,6,28,4,2,1,1,3,0,6,2,4,18,6,27,28,25,67,49,23,24,28,36,21,32,45,32,30,21,54,26,32,17,49,48,16,16,29,24,23,30,23,21,45,27,64,28,19,17,27,19,32,32,23,2,3,1,6,5,0,1,0,2,4,0,1,2,1,1,0,5,11,4,2,2,3,3,0,3,6,13,10,3,3,0,3,1,4,1,1,0,1,6,10,13,2,1,4,4,5,0,1,3,1,7,0,2,11,3,4,2,20,0,2,2,1,2,6,10,6,2,2,5,9,1,2,13,6,7,10,6,0,6,2
"cell0229",6,10,3,23,0,2,3,4,2,0,0,10,1,3,6,7,7,14,4,4,12,3,2,2,2,8,7,2,18,0,8,2,4,2,4,10,1,2,5,1,1,3,1,9,1,1,3,7,12,4,3,3,4,8,0,13,12,2,0,9,4,0,8,3,0,13,5,13,22,6,2,2,1,12,1,3,0,3,15,3,26,41,30,55,57,17,18,41,29,27,34,42,47,33,18,45,36,26,18,51,59,23,22,31,29,38,40,17,29,22,16,55,23,24,16,41,27,38,24,23,3,3,2,5,5,0,1,1,3,1,0,5,5,0,3,0,4,17,3,5,3,3,3,3,2,8,10,19,8,8,1,3,0,0,2,1,1,1,8,12,10,6,1,3,3,3,1,2,7,2,13,1,1,11,9,1,1,9,1,3,3,2,8,4,10,2,1,4,8,11,4,2,15,5,3,16,8,3,5,6
"cell0230",9,13,4,15,3,0,7,3,7,1,1,9,1,5,7,5,7,8,6,6,9,1,2,0,3,5,8,6,12,2,8,12,2,1,3,11,1,0,4,0,2,3,0,8,3,0,3,8,11,0,1,1,3,8,1,14,10,1,0,15,1,1,5,3,1,11,4,13,23,3,0,3,0,3,1,2,1,1,14,5,29,40,37,53,47,21,28,38,20,24,35,30,31,40,22,54,32,33,15,42,48,22,31,34,18,30,48,27,20,26,29,53,22,22,12,39,17,28,37,27,0,1,0,2,0,0,3,3,1,2,0,2,1,1,0,1,3,17,6,4,4,6,0,6,2,4,13,11,4,3,1,2,1,2,5,0,1,2,5,9,8,7,0,1,1,6,0,4,3,0,17,2,5,9,6,4,4,14,0,5,8,4,6,5,5,6,3,2,6,11,2,2,9,2,6,8,7,1,8,11
"cell0231",5,11,6,18,1,1,2,5,3,1,0,10,0,3,11,5,7,5,3,3,8,1,3,2,1,11,9,0,4,2,9,4,1,7,1,6,1,0,4,0,0,8,0,8,1,0,2,4,8,2,3,0,4,11,0,12,13,2,1,12,2,1,4,1,1,5,5,5,20,3,3,4,1,4,2,0,2,0,21,5,24,41,32,84,46,16,24,38,32,39,28,44,26,50,22,38,31,24,25,58,41,30,20,25,24,26,47,20,22,43,29,55,33,18,6,36,26,31,31,30,3,2,2,8,3,0,3,2,1,2,0,4,1,1,1,0,4,14,2,4,2,2,3,2,2,8,10,8,3,9,0,7,0,2,3,1,1,0,4,16,16,6,1,5,2,5,0,0,5,0,10,2,0,14,2,4,1,10,2,0,3,3,14,4,3,7,0,2,3,9,4,2,8,6,4,15,0,3,5,2
"cell0232",4,12,2,12,3,1,2,2,3,2,0,10,0,2,7,6,7,8,3,4,8,4,4,0,2,4,4,0,12,0,7,6,2,1,4,7,1,0,0,0,0,1,1,5,5,0,3,4,12,2,1,0,3,7,0,11,14,2,0,12,1,0,3,0,3,16,6,6,23,6,0,9,1,1,1,6,0,0,19,7,41,33,21,44,50,19,12,26,24,33,31,33,42,47,35,47,47,33,25,46,48,24,17,25,19,29,41,19,26,32,22,64,25,17,6,35,26,51,36,33,4,0,4,5,0,1,2,4,5,1,0,3,6,2,4,0,2,13,3,5,2,2,2,1,5,7,4,11,0,9,2,6,1,1,2,0,0,1,6,14,10,4,0,3,4,4,0,3,10,0,16,1,2,9,6,1,1,13,1,2,3,2,7,7,7,9,3,0,4,9,0,2,23,3,3,10,1,3,5,4
"cell0233",4,16,5,20,1,2,4,1,5,3,0,9,1,0,5,4,6,7,3,3,8,0,0,2,2,8,6,8,6,0,12,6,1,1,2,8,0,0,3,1,0,2,0,7,3,0,2,1,10,4,3,2,5,15,0,10,7,0,0,16,1,0,6,4,0,2,7,10,18,3,2,9,1,5,2,5,1,2,19,6,32,34,25,48,41,19,22,36,21,35,42,41,32,36,35,55,37,32,17,42,56,29,23,35,20,34,51,20,28,42,21,64,28,20,17,37,22,33,46,25,0,2,1,6,0,0,0,2,2,2,0,2,5,1,1,0,7,8,1,8,5,4,4,3,0,4,11,11,5,5,1,3,0,1,0,2,0,0,7,10,10,5,2,3,4,4,1,0,5,0,10,1,2,10,3,2,0,10,3,0,6,4,8,5,8,5,0,2,6,11,4,4,10,7,3,13,7,2,7,5
"cell0234",0,12,1,11,2,0,6,4,10,2,0,9,0,4,6,5,9,5,6,6,15,3,1,1,1,5,6,2,11,1,11,6,5,2,4,9,0,1,2,0,0,6,0,8,3,0,1,6,10,5,0,2,3,5,1,10,4,1,0,11,1,0,4,0,1,6,7,12,26,5,4,4,2,4,1,3,0,0,17,7,30,37,32,57,44,22,25,51,28,24,30,42,43,30,18,47,29,32,18,43,43,29,24,28,20,41,54,16,25,34,26,61,29,30,7,33,20,42,38,24,2,2,2,4,4,0,5,4,0,0,0,2,4,0,0,0,5,8,5,2,4,5,0,4,3,6,4,15,5,4,1,8,1,2,3,1,0,0,6,14,10,3,2,6,1,3,0,3,5,1,9,0,2,14,9,4,2,13,0,3,3,2,8,5,10,10,1,2,4,9,2,4,7,1,7,19,7,0,5,6
