,TF00,TF01,TF02,TF03,TF04,TF05,TF06,TF07,TF08,TF09,TF10,TF11,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079,GENE080,GENE081,GENE082,GENE083,GENE084,GENE085,GENE086,GENE087,GENE088,GENE089,GENE090,GENE091,GENE092,GENE093,GENE094,GENE095,GENE096,GENE097,GENE098,GENE099,GENE100,GENE101,GENE102,GENE103,GENE104,GENE105,GENE106,GENE107
CELL0442,18,18,2,2,0,4,26,0,0,0,1,5,41,1,1,1,0,4,7,1,2,7,3,4,2,5,11,4,1,5,4,0,5,3,3,3,0,4,3,3,119,2,3,3,0,7,3,2,4,4,8,7,11,3,11,0,6,3,4,354,195,0,40,2,3,3,1,10,56,4,0,6,0,9,0,3,1,54,0,2,0,4,2,5,5,2,0,2,4,24,2,8,0,194,0,19,4,1,1,3,12,1,43,16,0,0,16,9,1,0,7,17,0,9,0,30,4,2,3,5
CELL0443,0,0,1,6,4,3,4,37,1,2,4,2,0,2,5,6,38,7,3,0,8,3,4,3,2,6,2,4,0,1,9,20,3,0,0,2,168,6,347,5,1,1,2,1,3,5,6,1,2,2,2,8,1,1,0,4,0,1,3,3,0,2,0,7,4,3,3,4,0,3,3,1,0,2,185,3,9,2,6,1,1,7,4,3,1,7,6,2,1,4,0,3,62,0,0,0,4,3,4,3,7,1,2,3,2,3,0,5,3,456,3,22,34,7,1,2,2,9,8,6
CELL0444,4,50,17,7,3,2,23,0,1,1,26,2,51,1,3,2,0,6,2,1,6,5,11,7,3,5,1,9,2,7,1,1,4,2,1,3,0,2,0,7,107,5,0,1,12,1,0,7,0,3,8,8,490,4,1,1,308,3,9,80,101,1,0,76,11,0,4,5,203,0,4,1,15,4,0,6,99,14,2,3,2,4,2,3,4,0,1,12,9,6,2,5,0,220,204,5,1,4,1,3,2,269,3,11,2,4,1,4,2,0,2,1,0,3,459,1,0,7,0,0
CELL0445,3,10,21,1,14,13,5,0,1,1,1,4,47,2,2,0,0,1,6,3,1,7,3,1,5,4,2,0,9,2,2,1,1,3,0,4,0,10,0,2,33,4,3,2,4,2,0,4,6,4,9,2,355,8,0,3,62,2,1,18,24,4,0,21,2,0,2,3,64,0,0,4,9,1,0,2,420,27,1,1,0,6,2,4,0,0,5,8,4,3,4,1,1,28,75,28,1,2,2,5,5,115,8,4,8,5,3,1,4,0,3,1,1,11,103,3,2,6,0,6
CELL0446,1,5,0,7,0,2,3,3,3,3,6,10,1,1,5,3,0,1,7,2,3,1,5,14,2,5,3,1,1,3,9,1,1,2,1,8,14,3,7,3,3,0,1,2,7,2,1,3,2,13,4,2,2,7,2,1,7,3,2,7,2,2,2,0,1,1,0,1,3,3,2,0,0,14,4,3,8,3,8,4,0,6,5,2,3,3,1,4,5,3,0,7,26,1,0,0,5,3,1,7,2,6,1,6,0,1,1,3,2,2,2,13,6,4,6,2,1,3,3,5
CELL0447,7,5,13,10,2,4,4,2,3,3,4,7,4,0,6,2,15,8,2,0,0,3,5,4,2,4,1,1,4,6,1,8,0,1,2,2,41,0,21,5,1,1,2,2,3,5,15,2,1,6,12,1,0,1,5,13,0,0,7,5,0,5,3,4,11,1,12,5,1,3,19,1,0,6,8,3,3,4,22,2,0,2,4,0,2,8,19,6,9,2,0,1,22,1,0,0,2,3,1,4,1,6,3,8,2,1,0,4,11,39,2,6,5,2,0,3,1,9,4,2
CELL0448,0,6,3,3,4,3,3,12,1,4,8,0,1,0,0,2,7,1,0,0,2,9,7,4,6,3,2,9,4,6,1,2,0,6,1,0,9,1,2,2,0,0,1,3,0,0,0,1,2,2,1,5,159,1,0,0,0,7,2,0,0,0,0,5,7,0,1,3,0,2,2,6,6,0,37,4,75,22,0,1,2,3,2,2,1,18,7,3,2,25,1,4,4,1,1,3,1,1,0,1,7,5,2,8,5,1,1,4,5,6,5,1,4,2,0,0,2,2,6,4
CELL0449,2,14,1,5,34,1,5,10,0,2,2,4,4,2,0,2,0,5,13,3,1,2,8,8,1,2,1,0,3,2,1,1,1,1,0,1,0,1,9,5,1,4,3,1,1,4,7,3,2,0,0,2,8,0,1,1,0,3,5,23,1,0,0,1,1,0,4,5,3,2,1,6,11,4,11,0,3,375,0,6,1,3,4,10,1,37,0,1,5,31,1,6,0,0,0,6,1,0,5,4,1,0,7,27,2,0,2,5,3,8,3,2,2,1,1,1,0,4,40,1
CELL0450,1,9,9,3,1,4,0,3,3,1,4,2,1,0,2,2,7,7,5,2,1,7,4,4,2,2,1,6,3,7,4,4,0,2,2,5,52,4,11,2,1,2,6,9,4,4,0,2,1,9,6,4,11,4,2,4,0,0,11,2,0,8,0,16,5,3,18,3,1,4,3,1,1,2,33,15,51,3,7,2,3,5,6,1,3,22,14,4,5,2,0,4,22,0,3,0,9,3,4,1,1,20,4,0,2,0,0,10,8,2,5,4,7,5,4,2,2,6,6,2
CELL0451,3,4,0,2,6,0,2,21,3,0,1,7,1,0,2,9,5,5,3,1,0,6,1,7,0,5,1,0,0,5,1,6,1,1,6,3,10,5,17,6,0,2,1,4,2,1,44,5,3,6,0,7,0,0,9,1,1,1,7,1,0,4,8,3,4,0,2,11,0,1,4,0,0,1,7,4,0,2,0,1,1,4,5,1,0,78,4,3,2,11,2,5,29,1,0,1,1,4,1,8,4,0,2,3,3,1,2,1,3,78,3,21,29,5,0,22,1,4,113,1
CELL0452,5,2,0,0,7,2,7,0,3,0,0,0,18,3,0,5,0,1,1,2,1,2,6,2,1,1,6,2,0,1,1,0,1,1,0,4,0,3,0,0,102,3,1,2,3,5,0,2,1,2,1,3,251,0,0,2,34,1,5,80,252,0,1,5,1,2,0,0,28,0,0,11,8,0,0,3,2,107,0,1,0,3,0,3,0,1,2,1,1,5,0,6,0,215,0,189,1,3,1,4,2,0,12,21,0,0,24,2,5,0,1,4,0,5,27,7,3,3,1,2
CELL0453,0,7,44,7,0,2,4,0,0,6,9,1,4,1,2,2,3,6,1,0,1,3,1,0,0,5,0,2,3,7,0,1,2,5,0,3,29,1,3,3,1,4,1,4,7,1,0,4,2,1,10,4,48,2,0,0,89,2,1,21,2,11,0,10,3,1,11,1,4,0,21,0,5,0,4,4,281,5,7,0,1,2,2,0,0,0,17,1,2,0,1,2,1,1,21,0,3,1,0,0,1,291,1,2,0,4,1,2,1,0,1,2,1,5,69,1,2,13,0,1
CELL0454,0,0,2,19,9,8,0,16,6,2,11,10,0,1,4,7,24,12,3,0,1,4,5,2,5,3,2,1,2,7,1,26,2,4,0,10,170,10,86,1,0,4,3,8,11,15,41,7,4,2,5,10,1,2,4,8,0,5,1,1,0,4,0,8,2,2,32,4,1,4,42,1,0,1,46,5,8,9,11,2,4,4,0,0,4,42,23,3,5,3,1,9,30,0,1,0,2,3,1,5,2,7,4,6,0,4,0,6,11,125,4,12,37,1,1,2,3,9,3,2
CELL0455,3,2,0,3,3,8,27,3,2,3,6,2,12,0,2,5,0,11,5,1,1,3,4,1,5,0,6,0,2,2,3,2,0,3,2,0,0,2,1,0,7,2,2,2,1,3,0,4,2,5,0,2,11,1,1,0,3,2,2,12,7,2,2,0,2,1,4,1,14,1,2,12,2,3,2,4,1,34,3,3,0,3,2,0,5,2,1,0,0,22,1,13,0,10,3,16,6,5,0,2,3,0,9,13,1,2,8,2,4,0,8,3,1,3,2,7,2,3,4,0
CELL0456,1,6,0,0,0,0,0,3,1,3,0,2,0,0,2,4,0,4,0,0,0,1,5,3,0,1,1,2,1,2,1,0,1,2,0,3,1,1,0,1,4,0,5,1,3,0,0,1,1,2,2,3,1,5,2,2,4,1,2,14,3,0,2,0,3,0,4,4,12,1,1,0,1,1,0,3,1,9,0,0,0,0,6,2,1,0,0,1,1,4,2,1,0,1,0,2,4,3,1,0,4,0,0,1,1,1,4,7,1,0,1,1,1,2,0,8,1,2,2,1
CELL0457,1,0,0,3,1,9,2,1,5,1,5,2,1,3,5,3,1,1,2,0,2,0,0,3,2,6,0,2,2,3,1,1,0,2,1,2,6,3,2,5,1,2,2,3,7,1,1,3,1,1,12,8,4,0,2,2,2,2,4,6,1,7,0,11,2,1,8,6,1,4,6,0,0,0,4,3,20,0,13,3,0,1,7,0,1,5,9,2,5,4,0,1,13,1,0,1,11,3,1,5,2,49,1,0,1,4,2,3,3,4,4,3,0,2,8,1,1,2,1,2
CELL0458,6,19,1,4,0,1,53,4,2,0,7,5,330,1,0,11,0,1,1,1,4,4,8,3,1,1,8,5,5,6,3,2,0,6,1,2,0,2,0,2,480,10,2,4,3,2,0,6,7,1,1,5,522,2,2,0,528,1,9,513,490,0,2,3,5,3,2,0,536,3,0,5,57,18,0,6,15,251,7,3,2,3,6,1,5,0,0,2,5,21,1,15,1,517,77,399,8,2,0,2,3,24,10,12,1,2,90,3,0,0,2,1,0,5,200,20,9,3,0,1
CELL0459,0,8,21,0,0,4,1,1,2,0,8,3,40,2,0,3,0,6,1,0,2,1,12,1,0,1,1,1,3,9,0,1,2,3,0,4,0,0,0,3,7,2,2,1,7,2,0,4,3,3,7,5,56,1,0,5,319,4,1,3,12,8,0,22,0,0,1,3,80,3,2,3,11,3,0,3,284,5,8,2,3,2,5,2,1,0,3,3,0,3,0,0,2,26,106,5,2,4,1,0,4,335,2,1,1,4,4,2,1,0,2,2,0,1,266,2,0,10,0,1
CELL0460,2,9,24,7,0,3,5,1,13,37,117,1,2,5,2,2,37,1,5,3,5,2,16,4,0,2,1,2,3,7,3,7,4,3,1,2,332,8,35,1,0,0,0,2,21,5,0,9,1,6,44,5,3,14,0,19,311,5,3,2,1,107,1,84,15,4,51,3,10,2,68,0,0,0,22,3,618,0,201,3,3,5,5,0,1,0,551,18,6,0,2,1,272,0,26,0,4,3,1,2,14,553,2,0,1,3,0,4,6,0,8,4,5,10,84,0,11,2,0,5
CELL0461,1,3,0,5,7,3,1,1,0,0,5,1,5,3,4,3,0,0,4,1,2,2,4,4,1,4,3,3,0,3,1,3,0,1,1,2,3,3,0,0,3,2,3,3,0,1,0,0,2,4,2,3,2,5,1,1,1,1,1,4,4,2,4,4,3,1,3,0,9,1,0,2,5,0,2,0,6,11,0,1,4,1,5,2,1,3,4,0,2,2,3,3,1,1,2,2,6,0,4,1,1,1,2,2,0,3,3,2,5,1,4,7,0,5,3,0,0,6,0,1
CELL0462,0,17,3,2,2,7,1,1,7,0,11,12,4,0,8,4,3,3,3,1,0,4,3,6,5,9,1,0,3,3,0,3,1,2,1,6,5,5,0,1,5,2,15,6,21,2,0,10,2,4,25,5,3,0,0,3,74,1,6,12,3,8,2,23,8,1,13,2,10,6,5,1,1,3,1,1,38,0,8,3,0,6,8,2,1,1,7,1,9,3,1,1,17,5,5,0,1,1,1,6,4,122,1,2,2,3,6,4,2,0,6,8,4,6,17,5,0,4,0,3
CELL0463,7,7,3,3,1,4,15,3,50,6,2,25,12,1,4,9,1,7,0,5,3,7,10,4,1,2,6,5,0,1,3,1,5,1,2,4,1,8,1,7,10,2,0,4,4,6,8,7,5,2,3,10,0,3,20,5,10,1,1,6,5,1,25,1,3,16,21,3,12,1,1,1,0,3,0,7,0,4,16,2,1,5,2,1,1,0,4,3,4,4,1,1,5,16,0,2,3,2,2,2,3,1,3,2,0,5,4,2,7,5,2,4,2,9,0,6,4,4,3,8
CELL0464,5,9,1,7,3,4,6,0,2,2,14,1,13,3,3,3,0,3,2,2,3,5,2,10,5,1,1,1,10,6,5,1,3,3,3,4,0,0,1,1,0,3,1,7,1,2,0,10,6,4,12,0,38,2,4,2,9,2,2,11,1,4,0,5,4,1,7,1,8,2,1,2,0,0,1,4,10,3,6,2,2,2,7,3,4,1,15,2,2,3,0,1,5,2,12,9,6,3,2,5,2,22,3,3,0,0,4,2,6,1,4,5,1,5,51,4,1,5,1,3
CELL0465,6,10,0,1,8,7,16,8,0,1,1,2,43,1,2,5,0,7,2,3,5,9,3,2,2,3,21,4,3,10,3,0,3,2,1,1,0,3,0,6,181,2,2,3,1,3,0,6,2,2,0,2,358,3,13,0,2,2,2,31,64,0,3,1,7,2,2,1,21,0,1,16,7,8,0,2,1,254,0,2,1,6,5,17,9,3,0,3,3,121,1,42,1,171,2,489,4,1,3,0,5,0,33,157,1,2,78,4,5,1,7,3,0,5,1,15,4,7,46,6
CELL0466,5,10,4,11,5,6,25,5,5,3,2,10,13,3,2,4,2,4,4,5,1,1,6,5,2,8,1,4,3,1,4,2,4,4,2,14,1,3,1,5,6,3,3,6,6,0,2,3,4,12,0,8,27,4,9,4,15,1,12,18,4,5,5,5,6,5,4,2,38,1,8,3,2,4,1,13,27,47,11,2,0,1,3,1,0,3,3,1,5,5,6,4,2,9,6,5,14,3,3,9,1,6,1,4,3,3,3,10,1,1,17,13,1,15,13,12,8,5,3,1
CELL0467,3,3,0,2,50,0,8,482,1,2,1,7,3,2,0,5,0,2,1,3,0,9,11,15,4,2,13,2,0,16,1,0,4,0,0,9,0,4,163,2,2,2,1,1,1,31,494,3,1,7,1,2,0,1,162,0,0,2,6,9,5,2,476,0,2,8,1,2,2,2,2,11,0,102,1,5,0,33,0,1,3,4,1,7,0,388,0,11,2,65,3,55,1,7,0,10,15,5,0,6,1,0,21,112,4,3,22,12,9,242,5,26,7,2,0,86,0,4,470,5
CELL0468,1,18,0,1,5,1,17,4,1,0,0,6,52,2,2,6,0,3,1,2,0,4,6,1,0,3,6,1,1,6,1,0,0,0,1,0,0,1,0,1,74,1,0,3,0,1,0,4,3,1,2,4,119,8,2,0,8,2,6,134,120,0,2,1,11,3,0,3,88,2,0,3,2,1,0,3,2,78,0,0,1,2,3,0,2,0,0,0,0,22,1,5,0,49,3,85,1,2,0,1,0,2,7,11,0,0,24,4,8,0,1,8,0,4,3,11,2,0,5,2
CELL0469,1,1,6,7,1,2,4,2,0,4,13,1,4,0,1,2,0,7,1,1,1,6,3,3,2,1,2,1,3,7,7,7,0,1,1,4,18,2,5,7,1,5,5,9,3,1,0,3,4,2,6,5,11,4,1,8,36,1,1,2,0,4,0,31,1,1,7,2,9,2,18,2,1,0,14,3,158,1,41,7,1,3,5,1,2,1,21,2,7,0,3,3,11,0,13,0,7,2,0,4,2,133,1,0,0,2,1,3,4,0,2,1,1,4,28,0,1,5,0,1
CELL0470,0,4,24,10,1,5,6,0,6,22,23,1,17,1,3,2,6,9,2,0,1,6,4,2,2,0,0,0,6,10,0,6,2,0,0,6,3,4,2,1,12,8,2,2,16,3,0,1,3,0,56,14,35,2,0,24,464,0,8,14,11,22,0,141,6,4,15,2,21,3,31,0,11,0,2,2,473,1,72,2,1,2,4,0,0,0,95,3,0,0,0,2,8,12,450,2,5,2,2,7,3,455,0,0,2,0,0,4,7,0,2,1,0,12,466,2,4,3,0,0
CELL0471,5,0,0,3,29,0,0,7,19,1,18,1,5,0,1,3,3,2,7,4,4,7,7,3,3,8,1,4,3,4,7,4,0,7,1,1,1,4,4,3,3,1,9,3,5,6,6,4,2,7,0,6,0,4,7,1,0,8,7,1,5,1,3,1,4,3,9,9,3,0,2,8,0,6,5,1,2,40,1,4,1,0,2,5,2,11,2,3,5,2,4,8,1,0,0,28,7,3,2,8,7,0,5,20,1,0,4,8,11,2,6,13,3,7,1,8,1,9,8,0
CELL0472,1,3,1,0,6,5,3,6,3,2,15,6,0,1,0,6,16,7,3,1,0,9,8,2,2,4,3,4,0,4,4,1,0,4,3,2,53,3,10,1,0,4,2,4,12,1,21,3,4,9,4,2,0,3,3,2,0,2,3,2,0,13,0,1,2,1,3,7,1,3,5,0,0,2,2,4,3,0,12,0,0,6,5,0,1,9,18,1,3,4,0,1,133,2,0,0,2,2,2,6,9,6,1,1,2,1,5,6,2,43,6,2,20,6,2,5,2,2,13,3
CELL0473,0,12,4,2,4,6,16,1,3,2,13,5,23,3,3,6,0,5,6,0,2,10,5,6,1,4,3,4,1,7,0,1,3,4,2,8,0,2,1,3,21,1,1,1,4,5,0,5,2,4,46,3,3,4,1,2,414,0,4,47,26,13,6,1,1,12,2,3,168,4,1,0,1,7,0,2,9,1,17,0,3,2,2,0,2,0,10,0,12,0,3,5,0,25,8,5,3,0,0,0,4,152,2,1,3,3,3,4,0,0,4,8,0,5,46,7,2,8,0,0
CELL0474,0,5,24,19,3,5,3,4,5,4,11,2,5,2,1,3,110,1,0,1,0,1,3,3,2,6,0,5,0,4,3,10,3,2,0,4,293,8,20,3,1,3,4,5,14,2,0,8,3,8,14,13,2,3,0,19,31,0,6,0,1,48,0,23,4,0,37,0,5,1,54,1,1,0,19,6,154,0,81,0,2,3,3,0,4,1,48,3,2,0,0,1,29,0,5,0,7,0,0,0,2,253,0,1,0,1,0,1,2,2,5,2,7,14,24,0,1,10,0,2
CELL0475,6,5,0,5,4,0,1,17,6,2,4,1,4,1,1,2,2,8,0,2,3,5,2,1,1,3,2,3,4,4,2,1,1,4,3,4,2,2,6,5,0,2,0,3,2,4,0,1,2,3,1,6,0,4,9,2,2,1,4,3,1,0,3,0,4,3,1,3,5,2,6,5,0,7,16,1,0,48,1,3,1,3,2,2,2,9,3,1,6,13,2,6,1,1,0,18,3,4,1,1,4,0,8,9,2,3,37,6,11,5,6,11,3,3,0,1,2,5,51,4
CELL0476,0,6,16,2,1,2,3,2,0,8,2,1,20,0,1,6,0,9,1,1,1,4,2,5,1,4,0,3,3,4,1,0,0,1,1,2,0,4,0,3,35,3,0,2,3,1,0,1,0,2,1,1,54,2,0,1,17,1,1,91,8,0,0,9,3,1,5,0,64,1,2,4,9,0,0,4,48,78,6,3,0,2,1,4,0,1,5,3,2,1,0,3,0,4,12,3,2,5,1,2,4,41,2,2,1,1,3,3,2,0,1,2,0,2,25,6,3,1,0,2
CELL0477,44,7,3,1,9,8,17,4,1,0,1,2,62,0,1,2,0,15,1,4,4,1,16,9,1,6,14,4,1,6,9,0,4,2,2,6,1,2,0,2,32,1,3,3,0,4,0,7,5,0,0,8,572,6,4,0,0,3,8,372,52,0,5,5,7,0,1,4,130,3,0,22,22,2,0,2,0,516,0,9,1,0,2,20,2,53,0,2,5,514,5,67,0,36,1,554,2,2,1,1,5,0,61,431,3,0,28,1,7,0,3,6,0,8,10,18,0,7,197,4
CELL0478,2,14,0,0,2,2,5,2,2,2,11,14,4,2,2,2,0,0,3,1,0,3,5,7,6,0,0,8,1,9,5,2,2,0,1,3,0,13,0,5,10,3,0,2,8,3,0,2,3,4,14,3,3,0,2,6,55,2,1,27,16,1,7,0,5,3,3,2,15,2,2,3,3,2,0,2,7,7,0,0,0,2,3,1,2,0,1,2,3,10,0,5,6,23,12,1,4,4,0,4,4,8,0,19,4,0,5,0,6,0,1,3,1,5,34,11,0,1,0,4
CELL0479,4,5,1,0,12,1,2,11,2,0,0,2,1,2,2,2,0,4,1,4,0,7,5,2,1,1,1,2,0,3,0,0,2,3,0,1,0,0,4,1,18,3,1,1,1,1,9,2,0,6,0,4,0,3,17,0,0,1,3,19,7,0,40,0,2,0,1,2,3,4,0,7,0,6,0,0,0,50,0,1,1,2,1,3,0,29,0,0,1,27,2,15,0,8,0,119,3,2,0,2,2,0,20,25,1,2,48,4,0,1,0,17,0,4,0,53,3,7,76,2
CELL0480,0,6,28,18,1,9,4,1,1,0,4,0,4,3,1,7,5,11,1,0,0,6,7,3,3,5,3,2,8,2,1,8,3,4,0,1,12,8,0,2,2,4,1,8,9,0,0,6,0,3,3,4,81,2,0,7,2,1,2,1,0,4,0,35,5,0,19,0,3,2,13,5,13,0,2,1,448,11,10,11,5,3,7,1,1,3,4,4,3,0,1,1,18,0,37,1,3,4,1,4,9,159,1,3,2,1,0,2,4,0,4,1,3,1,32,1,4,4,0,1
CELL0481,7,1,5,22,1,0,0,1,6,1,11,0,4,0,2,6,30,2,0,0,0,2,2,3,2,5,0,0,5,4,0,16,0,3,0,1,60,2,0,3,0,2,3,3,18,0,1,6,1,5,12,4,0,8,2,23,25,1,1,1,0,9,0,21,0,2,6,3,5,1,11,0,1,0,10,4,157,2,13,1,0,4,3,1,3,0,5,3,2,0,1,2,44,0,9,0,6,3,2,3,1,211,1,2,1,1,0,6,3,1,12,0,9,3,13,1,1,4,2,4
CELL0482,1,13,2,4,6,2,0,16,1,1,2,2,11,0,0,4,0,1,7,1,1,3,3,2,8,1,2,1,3,14,2,3,3,1,3,1,13,0,1,1,2,2,1,1,1,4,4,8,0,3,6,3,0,0,0,2,3,2,3,4,3,3,9,3,1,4,8,1,14,2,4,2,0,0,13,1,10,3,7,1,1,8,3,0,0,1,9,1,2,2,1,2,1,0,0,5,7,3,0,2,0,5,1,2,6,2,5,2,9,3,3,4,0,1,3,4,1,5,2,0
CELL0483,1,9,0,0,0,0,36,1,1,0,0,2,9,0,0,6,0,5,2,1,0,0,4,7,1,1,7,0,1,3,2,0,2,1,0,2,0,4,1,2,36,3,3,0,0,2,0,3,1,2,3,10,80,4,4,0,20,0,1,163,58,0,10,0,2,2,0,0,53,0,0,1,5,10,0,3,3,17,0,2,0,0,5,6,3,0,0,4,1,19,1,17,1,89,3,37,2,0,0,1,4,2,7,28,1,4,24,3,4,0,2,4,0,2,12,19,0,5,0,3
CELL0484,6,4,2,3,9,1,7,0,0,11,1,2,9,0,0,5,0,10,2,0,1,5,3,2,1,1,9,0,5,6,5,2,0,3,0,0,0,8,1,1,10,0,0,4,4,0,0,2,1,9,4,2,213,2,0,2,9,2,1,15,21,3,1,3,2,0,8,8,42,1,4,2,6,1,0,4,15,23,1,1,5,3,4,1,0,1,4,1,3,7,3,15,1,8,9,64,2,2,2,2,5,5,5,3,0,3,10,2,7,0,5,3,1,3,30,5,0,6,0,3
CELL0485,3,8,46,2,4,4,5,2,4,2,3,7,16,1,3,1,0,2,3,3,0,9,2,7,1,3,4,1,5,3,3,0,0,2,1,6,0,3,1,0,13,0,1,3,1,2,0,1,1,4,1,6,31,5,1,0,4,0,7,20,7,1,1,6,5,0,2,3,21,5,1,8,9,1,0,1,8,99,2,0,0,3,3,3,0,3,0,3,9,6,0,8,1,11,10,15,3,0,1,2,1,2,1,17,4,0,9,6,7,0,0,3,0,4,11,0,1,2,9,5
CELL0486,4,2,0,1,1,0,12,14,2,8,6,2,1,0,1,3,0,1,0,2,1,3,1,4,2,3,1,3,1,4,2,0,1,1,1,9,2,4,11,3,1,1,2,3,2,4,6,5,4,5,1,1,4,4,2,2,1,2,4,9,1,2,0,2,2,1,0,3,8,1,0,3,0,4,3,4,2,17,0,1,2,4,0,2,3,18,0,3,2,5,2,3,7,0,0,1,4,1,1,0,2,1,3,3,3,5,12,8,0,5,1,6,29,3,0,13,2,6,65,1
CELL0487,9,14,1,2,10,1,32,4,1,1,0,0,7,5,0,2,0,3,3,1,3,5,2,1,5,2,2,3,3,2,1,0,0,0,5,11,0,9,0,3,348,1,3,2,3,0,0,3,1,9,5,1,130,5,1,0,7,0,4,26,146,1,10,2,5,0,0,2,12,4,0,7,11,4,0,2,1,86,1,8,4,3,3,1,3,1,0,5,1,71,0,5,0,101,2,190,5,7,0,0,4,0,10,30,0,1,60,6,1,0,1,5,0,18,5,13,1,4,15,2
CELL0488,1,0,2,1,8,0,2,22,4,1,1,3,0,0,3,6,6,4,4,1,0,5,4,3,4,2,3,1,0,3,4,5,4,1,2,4,23,4,62,1,0,3,2,3,4,4,4,2,0,6,3,5,0,1,1,6,0,1,3,5,1,3,16,0,5,1,4,3,1,1,4,0,0,2,17,4,0,2,11,1,1,1,5,0,3,89,0,2,2,3,0,7,15,0,0,0,4,6,1,2,1,0,2,2,0,2,2,7,4,38,7,7,4,9,1,3,1,4,47,7
CELL0489,5,2,1,1,4,3,1,3,1,13,21,1,5,1,0,2,0,2,4,1,4,7,4,1,1,0,3,2,1,2,3,0,0,0,1,3,6,5,6,3,0,2,1,2,11,0,0,0,2,3,4,6,0,7,2,4,1,1,0,14,0,0,0,1,4,0,3,3,4,0,4,1,1,1,6,7,3,7,6,3,0,7,2,0,1,3,0,1,2,0,2,3,5,5,2,3,3,3,0,1,3,5,3,1,2,3,1,1,4,3,2,5,0,9,1,1,0,6,2,3
CELL0490,3,1,1,0,1,0,0,39,2,2,1,11,0,2,3,1,1,0,2,1,3,2,3,1,1,1,1,1,0,1,4,0,1,4,3,2,2,3,202,0,2,0,0,3,4,13,284,5,0,4,3,13,0,0,27,0,1,1,2,4,0,1,279,0,3,9,1,3,0,1,0,0,0,13,5,1,0,0,1,0,2,2,3,0,0,24,0,1,2,19,0,7,35,0,0,1,2,0,1,3,0,0,6,11,3,3,9,5,0,75,1,42,43,0,0,67,0,4,141,2
CELL0491,3,3,5,2,4,2,13,27,15,3,15,5,1,1,2,12,2,2,5,3,1,2,4,6,2,8,1,1,1,6,1,3,3,4,1,10,3,3,2,3,1,5,3,3,5,5,2,7,1,1,7,5,2,7,1,3,3,1,12,1,1,16,3,2,8,6,9,2,2,3,2,2,0,1,2,3,11,1,36,4,1,2,2,2,1,7,13,1,8,0,2,0,33,2,0,0,9,5,0,2,3,7,3,0,4,0,2,7,3,2,4,7,9,5,5,1,1,3,4,2
CELL0492,3,2,1,2,13,0,2,0,6,0,1,1,2,0,2,0,0,3,0,0,0,2,4,4,1,1,1,5,9,7,0,6,5,1,5,5,0,3,0,0,6,1,1,3,3,1,0,6,0,2,1,1,350,1,1,0,1,2,1,9,2,0,1,7,7,0,3,6,18,0,8,14,28,0,0,3,16,314,2,0,34,0,1,1,2,5,1,2,4,6,0,4,1,6,10,20,1,1,3,1,0,0,1,6,3,4,6,1,4,0,8,0,0,0,8,0,2,1,1,2
CELL0493,3,0,0,2,1,4,1,15,7,0,2,8,1,2,0,0,11,0,1,1,1,2,5,3,1,2,0,1,0,0,3,2,1,0,2,4,19,1,81,0,0,1,1,2,3,4,13,0,1,2,1,3,0,3,0,2,0,2,0,3,0,10,0,1,1,0,5,2,2,0,4,1,1,0,17,1,0,3,7,1,0,0,2,1,1,8,12,0,1,1,0,3,32,1,0,0,8,4,0,0,1,0,1,2,1,6,5,5,2,10,0,28,2,3,0,2,0,6,10,3
CELL0494,2,5,0,2,7,0,1,6,4,2,1,0,11,1,1,0,1,5,1,5,0,1,4,1,0,10,6,1,1,0,0,1,2,2,6,5,0,3,2,3,1,1,0,1,0,2,0,0,0,4,0,1,336,3,1,0,0,0,3,24,6,0,1,3,0,1,2,4,14,0,0,24,5,0,0,4,1,163,1,1,4,5,4,0,1,27,0,1,3,42,0,11,0,2,0,6,6,3,0,3,8,0,40,52,1,5,4,2,6,2,5,9,0,1,4,4,2,5,41,1
CELL0495,4,6,0,1,1,0,53,20,0,0,0,1,10,0,1,2,0,1,2,14,1,5,8,3,5,2,8,4,0,1,4,0,1,2,2,4,0,3,0,3,48,3,2,2,0,3,14,5,1,2,2,1,2,2,52,0,0,1,2,82,22,0,288,0,3,0,1,3,11,2,0,6,0,32,0,1,0,129,0,4,0,2,8,12,2,68,0,6,1,109,5,9,0,63,0,276,2,1,2,1,2,0,5,119,0,4,63,4,0,1,1,9,0,1,0,18,3,6,308,2
