# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,CD3,CD4,CD8A,CD19,CD14,CD56,CD16,CD25,CD27,CD45RA,CD127,HLA-DR,PD1,CD38
CELL0725,616,179,4936,4885,5045,584,932,11,1255,646,7,326,5,26
CELL0726,999,1375,1752,1672,3947,2511,755,20,262,108,39,187,4,16
CELL0727,2176,10,2210,509,246,2481,494,31,1165,2867,13,1666,37,33
CELL0728,286,421,3876,2359,3163,112,609,30,316,315,13,565,12,10
CELL0729,3775,1325,7,38,162,500,254,43,77,74,5,105,80,22
CELL0730,27,112,4991,1352,2100,216,593,4,564,2237,14,2587,6,32
CELL0731,302,2572,1677,2642,4788,2373,2175,11,1950,169,23,102,9,5
CELL0732,1273,387,4974,2688,5033,849,31,10,358,1578,5,469,10,30
CELL0733,599,229,1322,624,694,2155,508,13,321,1941,14,358,25,23
CELL0734,796,569,2324,4798,4305,504,4958,40,553,585,5,622,9,11
CELL0735,381,2502,3792,2778,842,28,146,16,899,4913,16,2096,6,6
CELL0736,1070,5008,16,130,604,578,620,8,2357,3308,5,4812,7,6
CELL0737,784,139,4965,881,512,234,399,5,391,1793,46,1228,38,13
CELL0738,710,213,1505,3133,2173,720,5032,16,3042,188,24,130,6,20
CELL0739,528,4644,486,513,1521,1333,536,4,1451,1298,6,675,13,11
CELL0740,821,642,3500,2639,1985,959,1309,44,365,785,27,1444,4,6
CELL0741,436,1275,1792,2504,2157,703,532,24,793,1961,9,784,14,8
CELL0742,787,1218,4960,3172,5126,221,1399,11,252,1133,19,622,41,13
CELL0743,165,4992,508,965,659,860,565,9,426,672,10,1248,11,4
CELL0744,790,248,1665,1384,389,1825,33,16,1170,3795,24,528,17,16
CELL0745,758,139,2784,2556,1502,1041,597,12,341,555,12,1120,6,20
CELL0746,141,778,5125,4912,441,604,146,13,54,3334,31,1389,93,27
CELL0747,286,4946,446,202,2310,741,399,5,3939,575,12,1232,39,16
CELL0748,857,1450,524,1930,3618,63,521,27,2203,485,7,381,27,11
CELL0749,852,596,4918,1510,5086,369,822,33,1825,1122,16,364,11,11
CELL0750,401,4892,649,231,316,905,257,6,1789,967,2,888,11,12
CELL0751,184,134,2550,1653,1849,26,332,6,320,5047,18,216,59,25
CELL0752,1034,291,2808,4134,4862,98,1202,17,976,701,20,231,22,27
CELL0753,337,1996,845,4855,5045,28,4765,35,422,474,25,104,9,10
CELL0754,677,4972,7,262,329,1185,454,4,2438,1626,17,1177,11,8
CELL0755,61,884,2579,1280,330,508,204,15,73,4975,14,3227,11,18
CELL0756,90,279,150,467,981,707,4,25,501,2136,7,2713,13,3
CELL0757,1703,2429,133,68,1089,878,76,96,114,151,5,180,17,41
CELL0758,1919,353,1623,2541,1954,1634,565,11,754,1795,26,2008,25,18
CELL0759,570,558,4064,4613,3689,926,1524,8,1125,275,21,464,14,61
CELL0760,490,4924,30,188,995,957,325,8,1100,899,10,1011,9,25
CELL0761,2,153,1054,5001,1604,23,732,10,231,3068,48,2203,8,4
CELL0762,756,1000,153,2782,2468,42,1427,15,855,315,21,10,22,17
CELL0763,1,24,948,4983,1744,21,75,9,645,3589,53,2262,4,19
CELL0764,308,837,4917,3535,3528,966,729,20,1241,849,8,542,8,37
CELL0765,643,5115,21,397,4912,802,1654,18,2006,1144,12,1087,8,17
CELL0766,374,1825,678,1534,4802,54,1633,56,530,214,4,68,21,14
CELL0767,368,217,4979,5043,4100,586,414,5,764,1045,12,959,20,8
CELL0768,1227,4541,1,79,635,1602,5,12,252,1,5,188,17,24
CELL0769,257,263,641,987,3657,1552,396,18,946,2735,21,902,31,7
CELL0770,386,420,3861,3924,1618,834,595,59,1138,1235,36,601,3,5
CELL0771,433,322,591,3154,5014,1937,1156,28,573,202,9,839,28,16
CELL0772,32,170,4987,1427,1613,500,1013,39,904,1502,11,1529,9,38
CELL0773,598,255,4981,2262,1863,1274,1287,21,2965,308,12,530,9,32
CELL0774,37,610,1048,1442,2810,307,196,27,753,3272,16,489,25,8
CELL0775,582,286,5029,2541,4969,546,528,7,627,1164,10,783,12,6
CELL0776,2458,1262,185,0,611,740,3,70,1007,7,4,2,18,6
CELL0777,5040,1791,27,120,370,5028,2,38,5,2,5,8,23,13
CELL0778,3908,1112,1,595,170,41,247,18,314,13,24,7,20,14
CELL0779,349,5081,301,376,870,819,78,10,3182,1231,20,958,22,5
CELL0780,680,2021,2505,1049,695,453,105,11,889,1246,14,1588,21,3
CELL0781,694,139,1162,2128,3071,208,67,35,425,1264,17,1466,42,10
CELL0782,442,74,5125,1206,3605,493,380,0,344,1475,9,713,6,17
CELL0783,2553,4956,46,9,647,4965,46,26,224,80,10,55,16,15
CELL0784,256,2505,1796,2098,1896,539,61,11,955,4922,30,1242,58,9
CELL0785,367,246,1622,1388,814,375,438,8,351,4372,10,822,23,5
CELL0786,571,4,4955,1197,827,854,6,9,115,5118,23,374,30,4
CELL0787,503,1389,2852,5017,1335,811,1481,5,228,741,16,480,27,21
CELL0788,1628,652,3116,205,576,12,3,15,85,3966,11,4120,30,4
CELL0789,1,162,1957,502,2009,8,641,5,161,2981,21,498,14,13
CELL0790,98,371,1611,2433,2226,265,0,18,664,5029,45,826,13,14
CELL0791,412,358,4135,638,378,8,293,3,271,1945,28,2709,14,3
CELL0792,282,548,3630,4524,2287,908,5,7,230,735,19,3087,14,13
CELL0793,136,1559,2565,1224,2833,2827,2124,7,635,745,8,385,9,25
CELL0794,1325,32,5071,3175,5007,85,423,1,467,495,12,401,10,51
CELL0795,1652,311,3743,4242,2466,274,1599,5,606,385,5,809,9,25
CELL0796,86,597,1071,1551,3149,18,32,12,286,4876,23,356,37,4
CELL0797,726,615,5010,2494,1318,223,365,22,1073,697,6,259,20,9
CELL0798,1024,1973,4094,3570,2801,210,917,35,701,553,4,464,5,10
CELL0799,104,299,2195,649,757,366,282,10,202,4738,14,607,21,5
CELL0800,267,544,4997,1647,2735,105,685,5,413,920,12,305,7,43
CELL0801,570,617,5043,1338,2849,135,800,3,1365,655,11,887,51,33
CELL0802,1716,787,2593,1278,4979,29,1014,8,2982,2035,15,468,53,29
CELL0803,752,796,627,4947,5052,16,625,40,484,4982,42,2043,22,25
CELL0804,202,654,4648,629,1909,1599,1,5,923,2875,2,478,70,20
CELL0805,313,456,5114,1912,4180,556,197,25,832,338,9,361,70,11
CELL0806,535,1158,4978,3151,4861,332,588,15,1285,755,9,371,27,9
CELL0807,1442,381,4951,5019,3496,276,921,28,856,782,6,1078,8,19
CELL0808,1358,245,865,5015,507,2770,657,6,1045,898,25,1665,10,26
CELL0809,3113,648,440,3,154,7,249,29,91,0,2,3,19,15
CELL0810,694,329,4994,3482,3770,471,417,17,950,2319,11,363,28,15
CELL0811,5147,798,515,403,210,780,56,27,236,2,4,6,27,39
CELL0812,450,1204,12,1860,1354,493,294,27,12,1283,13,25,99,6
CELL0813,4976,394,238,78,85,935,7,42,153,102,15,151,11,22
CELL0814,225,1069,1906,2940,3189,536,968,12,702,144,4,473,35,15
CELL0815,626,1353,5041,1078,4335,295,441,13,476,732,17,127,5,12
CELL0816,738,120,1647,1750,1763,210,652,9,360,961,6,2030,8,36
CELL0817,569,370,1067,5050,3400,119,2741,22,3382,336,26,48,16,17
CELL0818,216,800,752,4966,4944,41,596,20,2064,460,11,95,25,32
CELL0819,89,326,828,2346,4172,827,1772,14,1237,109,10,238,49,28
CELL0820,775,390,3156,897,2738,66,1855,3,1260,346,12,254,10,15
CELL0821,805,633,4937,5061,885,773,663,5,347,1528,16,961,7,10
CELL0822,2322,891,143,0,210,1474,101,30,58,147,18,56,23,15
CELL0823,177,2000,1256,260,2928,1888,197,12,513,5058,55,1622,17,10
CELL0824,1224,93,5089,915,2506,798,269,110,2511,657,16,2797,17,11
CELL0825,1709,2583,266,117,592,2787,543,27,6,364,10,72,9,15
CELL0826,2583,2871,1,20,157,274,8,11,233,41,4,114,23,38
CELL0827,542,1014,656,4515,4492,27,2487,28,1990,395,38,53,8,19
CELL0828,704,5073,5,195,1384,878,912,12,1359,3821,9,2780,17,8
CELL0829,619,922,4976,2578,2152,267,199,11,714,1187,9,1522,13,18
CELL0830,2181,530,5048,5023,3172,185,683,15,1226,256,8,880,20,17
CELL0831,160,102,3186,3745,5007,804,2950,30,1101,108,18,171,18,24
CELL0832,208,5005,339,91,518,3309,237,4,2717,2504,1,4991,9,17
CELL0833,324,388,3156,1346,2188,711,1685,17,1196,1240,8,260,13,13
CELL0834,826,2466,198,126,140,1926,2,38,492,3,7,2,22,7
CELL0835,1941,244,5041,1890,2712,503,740,0,589,1816,11,264,7,11
CELL0836,226,5074,21,637,512,235,603,22,1310,2447,11,779,6,11
CELL0837,624,882,844,4663,354,658,51,14,486,2052,15,554,57,8
CELL0838,513,213,5035,2385,778,363,477,15,670,537,16,98,11,28
CELL0839,440,2742,4502,4712,422,626,276,20,66,1766,17,2257,17,30
CELL0840,420,960,943,5072,4903,1138,502,21,931,68,25,465,14,8
CELL0841,1469,2328,4924,1762,5036,340,754,14,1637,604,12,656,25,22
CELL0842,244,1087,4859,3769,1460,495,16,14,1820,335,10,2082,7,13
CELL0843,409,224,4557,1194,2004,2711,1372,7,807,177,24,6,26,18
CELL0844,731,1706,4929,5100,1586,657,788,13,894,963,8,2310,22,18
CELL0845,5020,705,281,25,89,604,7,23,128,112,3,317,22,20
CELL0846,640,993,890,4814,5025,20,852,15,805,131,8,149,3,10
CELL0847,601,283,4558,427,5002,35,957,6,1189,172,25,658,14,6
CELL0848,2224,1691,490,2688,4983,129,3148,8,1203,420,17,311,10,11
CELL0849,126,272,832,1563,83,1061,77,4,550,3271,24,1224,23,27
CELL0850,442,201,2392,912,884,288,159,11,149,2597,26,1052,7,22
CELL0851,232,5032,22,306,1534,2039,746,15,765,2500,5,4110,7,4
CELL0852,240,663,990,5073,5049,2137,2733,13,1889,106,11,439,44,11
CELL0853,227,15,920,4891,715,15,5,40,500,4073,9,1531,54,12
CELL0854,87,119,2455,433,510,1782,285,5,553,3074,30,1354,16,12
CELL0855,618,1804,1520,530,254,1082,205,10,147,4946,25,834,27,2
CELL0856,850,582,4052,3704,4314,446,1781,22,617,1675,24,106,20,5
CELL0857,175,518,3597,4410,2828,920,768,22,709,616,8,2557,19,21
CELL0858,435,4997,814,835,26,401,376,1,953,1949,19,4920,11,1
CELL0859,799,231,5080,4981,1384,320,397,16,523,429,16,1070,47,4
CELL0860,134,870,1478,3746,551,388,147,14,374,4490,26,1204,65,8
CELL0861,281,308,1009,2367,1887,26,195,3,191,5060,10,875,8,10
CELL0862,4343,4407,68,30,112,195,72,15,313,11,3,9,10,12
CELL0863,1040,451,5000,4941,3693,310,706,13,690,3729,17,543,11,7
CELL0864,324,706,2906,2460,553,1162,177,16,239,3617,22,2408,26,6
CELL0865,143,5,1212,973,209,25,83,16,1397,5005,34,408,7,12
CELL0866,115,600,2167,2622,1573,866,7,6,54,963,24,449,43,14
CELL0867,304,527,1188,3610,4495,41,488,3,593,33,9,572,3,7
CELL0868,590,613,4640,4376,1383,265,1117,3,4147,1782,12,506,10,38
CELL0869,898,4918,2,508,1782,2017,4222,10,1779,1442,3,1122,13,22
CELL0870,306,545,3603,1877,4744,39,1426,70,295,531,15,741,14,12
CELL0871,108,334,2501,1783,1178,395,73,26,101,5077,30,4707,35,5
CELL0872,939,922,3645,1180,5018,117,455,11,1135,425,14,1475,25,14
CELL0873,156,172,758,2984,1914,27,953,30,571,4945,13,2395,22,4
CELL0874,1032,543,4902,2811,5001,230,2189,3,1043,340,23,643,19,26
CELL0875,364,819,4093,2966,3009,1768,1016,7,550,264,33,344,13,39
CELL0876,218,145,1058,792,1306,633,89,7,380,1990,42,2331,46,7
CELL0877,203,1454,648,480,902,546,576,20,333,3361,19,1737,28,20
CELL0878,631,462,442,4988,1543,1431,1977,64,1758,59,34,213,25,16
CELL0879,195,253,4985,4952,3213,25,1044,8,444,158,15,596,23,59
CELL0880,207,546,2522,4885,4956,63,3018,11,1285,265,5,160,17,15
CELL0881,261,341,5009,1192,3512,837,1648,17,504,394,6,903,14,3
CELL0882,32,533,22,4,79,5055,4,41,99,197,5,7,45,15
CELL0883,715,159,2743,4761,4998,150,1333,5,2616,168,20,337,10,16
CELL0884,346,543,3758,5025,5037,742,1355,6,1883,821,18,73,18,40
CELL0885,667,4928,703,871,313,1126,1902,4,617,898,15,1306,15,7
CELL0886,291,134,2977,2461,4975,2156,1810,4,1334,269,16,104,9,19
CELL0887,2398,1870,91,36,171,332,3,42,184,186,11,9,6,47
CELL0888,115,458,3550,2904,1251,288,321,15,1415,982,8,1182,18,16
CELL0889,4946,886,110,2,96,2413,0,18,323,265,5,8,16,22
CELL0890,200,389,3369,4233,294,314,72,14,504,3446,21,694,71,9
CELL0891,1805,844,236,1,419,886,13,22,153,524,23,12,8,15
CELL0892,265,2007,473,4958,1500,707,109,19,1080,5064,13,650,33,4
CELL0893,272,5004,198,549,167,793,192,13,1620,3633,1,3084,8,3
CELL0894,267,4974,19,924,872,1154,492,1,2014,2925,7,3913,15,9
CELL0895,173,209,860,1359,5064,1097,698,13,598,1238,13,1019,15,9
CELL0896,215,4408,12,722,155,4518,654,21,1193,924,18,2969,22,15
CELL0897,871,1119,2316,483,2619,261,63,33,424,4943,24,1752,51,12
CELL0898,969,178,771,4939,4901,27,4124,44,1826,1010,27,252,6,21
CELL0899,236,471,4926,1227,4986,1375,335,4,1151,1056,9,664,14,23
