# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
CELL0160,7,3,10,19,39,0,12,1,12,8,11,9,38,14,26,8,1,3,4,1,5,5,9,30,1,26,8,0,16,2,3,0,43,3,1,28,152,10,5,2,8,13,4,1,9,1,6,2,7,5,17,0,1,14,6,1,2,7,1,5,15,5,20,14,4,3,4,5,0,4,3,0,10,1,2,0,5,24,1,0
CELL0161,7,9,1,1,9,3,0,11,0,2,0,0,5,1,21,1,3,0,3,8,26,5,0,1,4,1,0,1,0,4,5,0,3,0,4,1,0,2,3,2,6,1,3,3,1,2,3,12,0,2,4,1,6,3,19,0,1,1,9,4,11,12,16,11,9,7,7,0,2,6,6,12,1,3,2,1,11,9,2,5
CELL0162,3,2,4,5,3,0,3,2,6,6,7,5,14,1,9,0,19,8,5,17,0,0,11,8,3,3,24,4,1,14,0,5,1,1,5,3,1,1,0,1,2,1,9,22,2,4,2,4,1,12,31,0,2,2,4,2,15,4,0,11,2,3,3,3,8,9,19,6,0,3,6,0,1,15,14,4,3,5,0,18
CELL0163,0,0,4,9,4,1,3,0,4,8,4,3,6,2,10,0,13,11,10,16,5,1,11,3,4,2,20,4,3,18,0,3,0,1,6,5,1,2,1,0,2,3,5,20,5,3,5,2,2,13,17,1,3,3,1,0,14,2,0,26,3,0,5,7,3,6,17,3,5,0,2,0,2,19,27,5,2,0,3,14
CELL0164,35,26,2,20,1,13,6,1,32,12,0,12,2,0,2,5,5,0,9,3,0,2,1,13,7,0,22,29,0,57,7,16,12,4,0,3,3,5,5,1,24,13,1,1,1,11,6,16,0,26,28,29,6,1,0,1,5,4,14,2,2,13,0,1,14,5,2,2,13,5,18,24,0,1,4,22,1,25,7,3
CELL0165,56,37,0,17,3,22,9,0,40,14,2,14,3,2,1,3,11,5,18,2,3,3,0,8,1,3,28,37,1,47,3,31,8,9,2,7,6,7,6,4,30,19,5,1,9,5,6,8,1,29,46,32,19,3,1,4,8,4,12,8,1,15,5,3,14,2,4,3,12,1,18,25,0,3,2,20,4,14,6,5
CELL0166,8,15,3,2,15,5,0,19,3,0,3,1,14,5,39,1,2,7,8,6,39,11,2,1,4,2,0,0,1,4,15,0,5,1,5,1,1,3,4,5,9,0,3,8,1,7,14,20,6,1,5,3,7,5,34,4,2,1,9,8,26,17,43,6,10,8,19,0,3,14,10,16,1,3,6,1,23,10,3,9
CELL0167,4,4,4,10,30,0,9,2,6,6,5,2,32,5,10,1,3,1,0,0,1,3,5,21,1,9,10,1,14,4,0,0,23,2,2,21,98,6,2,4,8,4,1,0,6,1,1,2,3,4,5,0,1,9,3,4,3,5,1,5,8,2,9,6,0,1,3,3,0,2,3,0,6,6,2,0,3,14,1,0
CELL0168,2,4,7,29,5,2,2,4,7,11,3,5,1,9,4,1,1,2,2,5,0,2,15,8,1,11,7,2,3,0,3,5,3,2,0,1,2,7,4,0,12,3,13,1,1,7,0,1,8,4,1,9,4,11,2,2,23,1,4,5,68,4,11,1,18,26,8,1,4,7,1,55,0,1,5,40,0,3,6,7
CELL0169,3,3,5,6,6,0,4,2,2,6,9,8,8,1,12,0,14,3,12,26,1,1,5,6,5,3,24,4,4,10,0,2,0,3,4,4,0,2,1,2,0,3,2,22,5,3,1,4,2,10,21,1,6,4,2,3,19,1,0,10,3,3,7,10,2,6,10,2,4,0,0,0,1,18,16,4,2,2,0,8
CELL0170,6,4,9,11,46,0,22,1,6,9,6,2,40,7,27,1,2,7,1,0,2,2,15,30,1,13,17,0,20,4,0,0,36,3,1,19,123,8,3,0,7,3,3,5,15,0,3,5,3,4,7,2,1,10,4,3,3,4,5,6,11,5,11,8,2,2,5,4,0,6,1,1,8,3,0,1,4,28,0,0
CELL0171,4,2,1,3,4,1,3,1,2,5,7,3,9,0,6,0,10,7,9,17,1,1,6,1,4,2,19,5,5,5,0,2,0,5,5,1,0,1,1,2,1,1,2,26,4,1,2,2,0,4,23,2,5,10,1,0,6,3,2,12,0,2,5,5,7,5,11,4,0,5,3,1,5,11,19,3,3,4,1,13
CELL0172,15,20,1,13,2,8,5,1,12,7,1,2,0,1,0,2,4,4,5,0,0,1,2,6,0,1,8,14,1,20,2,7,3,0,1,2,2,5,2,0,20,7,0,1,1,3,2,9,2,11,12,11,9,1,1,3,4,4,9,5,0,6,0,0,5,1,1,2,4,0,19,26,1,2,3,14,2,11,4,2
CELL0173,9,4,12,17,54,0,14,5,12,9,10,5,61,8,28,9,1,1,2,0,2,2,12,34,1,25,18,2,23,3,0,1,45,5,2,23,188,11,0,5,7,9,5,5,17,1,5,2,12,5,9,2,1,15,8,3,9,14,8,7,14,11,15,13,3,4,8,8,0,5,4,0,14,2,0,0,8,27,1,0
CELL0174,8,4,18,30,21,6,8,1,8,26,7,7,2,13,8,4,3,2,3,18,5,4,17,12,5,21,14,2,9,2,13,6,6,7,0,1,5,10,10,0,16,8,26,3,0,9,0,10,9,15,2,15,7,27,3,1,28,2,4,11,115,9,26,1,29,34,29,2,4,11,2,89,0,0,21,86,1,6,4,14
CELL0175,7,5,14,17,12,3,2,2,11,24,2,1,5,7,3,2,1,5,2,10,4,8,23,10,0,8,13,1,1,3,13,6,2,4,0,2,9,5,4,0,6,3,22,0,2,6,0,11,4,12,1,14,7,14,3,2,19,4,3,4,84,12,10,4,44,21,12,2,6,4,1,66,0,2,14,48,1,3,2,2
CELL0176,2,0,7,7,3,2,3,0,4,7,8,2,10,1,6,2,7,9,2,13,2,1,5,4,4,2,15,3,4,6,0,3,1,2,6,1,2,1,0,0,2,1,4,31,1,1,1,5,0,10,30,1,4,6,3,3,15,0,1,13,2,3,6,14,2,5,8,3,3,1,8,0,2,17,35,2,2,2,1,15
CELL0177,1,1,3,4,4,0,1,1,3,7,0,4,8,1,3,0,13,7,1,14,8,0,5,1,2,1,16,2,4,6,0,2,1,1,5,1,0,1,0,0,1,1,4,17,2,0,4,5,1,6,7,1,2,2,1,1,9,1,0,9,1,1,2,1,5,5,8,2,1,0,2,0,3,12,10,2,0,1,0,7
CELL0178,3,3,25,14,11,8,4,8,12,25,9,3,2,14,7,4,4,4,8,18,4,4,22,17,0,11,6,3,1,2,11,7,4,3,0,2,4,5,7,0,18,5,21,2,2,9,1,17,3,6,0,15,9,37,2,4,24,0,5,3,91,9,19,0,34,34,14,2,6,10,4,75,2,3,15,51,1,6,2,9
CELL0179,6,3,7,17,44,0,11,2,11,7,6,3,39,5,26,10,0,4,4,2,3,5,14,37,1,18,9,0,13,4,0,2,29,0,2,16,135,8,3,3,6,11,3,4,12,0,3,5,12,4,3,0,0,7,5,3,6,9,3,1,10,7,11,16,6,3,2,1,1,1,4,0,12,4,0,0,7,22,0,0
CELL0180,21,9,0,7,1,7,8,1,13,8,2,4,1,2,1,2,4,5,2,2,0,0,0,6,2,1,13,19,0,25,3,9,2,2,0,3,2,2,6,1,9,13,1,0,3,4,3,6,0,16,17,15,4,1,0,5,6,2,6,0,1,3,0,0,5,0,1,2,6,0,3,26,0,2,2,11,0,12,2,1
CELL0181,5,10,0,4,4,6,0,7,5,0,0,0,5,3,29,1,1,3,1,8,31,9,1,0,2,4,0,1,0,5,5,1,4,2,2,0,2,1,3,8,10,0,1,2,0,6,18,16,2,1,2,2,10,4,12,6,0,0,7,8,21,11,18,12,13,8,8,2,2,8,0,10,1,0,2,0,12,6,3,10
CELL0182,2,1,3,14,24,1,9,4,7,3,3,2,34,5,17,7,1,5,0,0,2,0,6,29,0,11,9,0,16,1,2,0,22,2,0,14,92,12,3,1,4,6,4,1,8,1,2,3,6,7,4,1,0,4,2,6,5,6,4,7,9,6,13,4,1,3,2,5,1,6,1,0,9,6,2,0,4,18,2,3
CELL0183,8,5,18,20,15,6,4,2,14,25,4,8,1,15,4,6,3,1,5,22,3,3,31,18,4,13,12,3,8,0,3,7,4,3,0,4,3,7,8,0,12,2,29,1,2,3,0,11,6,10,0,7,9,32,1,5,31,0,1,8,100,11,16,1,35,26,24,4,11,8,5,83,0,0,17,55,0,2,3,7
CELL0184,9,3,18,19,48,0,16,4,6,7,10,0,65,10,25,3,2,3,1,0,2,5,21,38,1,12,19,0,22,6,2,0,39,1,4,24,167,14,4,3,11,10,3,8,13,0,3,2,7,6,5,1,1,5,3,6,4,11,3,7,12,9,15,16,3,1,4,3,2,3,4,1,10,11,2,0,6,28,1,1
CELL0185,5,1,6,16,31,0,7,2,11,7,8,4,45,9,34,10,1,4,1,1,0,2,12,32,1,9,14,0,15,5,0,0,37,0,3,25,125,15,5,2,8,8,5,3,5,0,1,5,11,6,4,2,1,6,6,4,5,9,7,5,12,8,12,17,3,7,1,5,1,4,4,0,10,4,1,0,3,20,3,2
CELL0186,2,3,17,15,4,2,2,8,4,13,2,3,1,8,2,3,1,3,0,15,2,1,19,6,1,6,8,1,3,3,5,3,5,0,1,2,1,1,3,0,15,4,20,0,0,4,1,8,1,5,1,5,4,13,0,1,16,1,1,1,67,0,6,0,15,15,14,1,2,4,0,63,1,1,2,25,3,0,5,8
CELL0187,23,24,0,9,4,12,3,1,11,9,1,5,3,4,0,2,7,3,10,2,2,1,0,10,4,2,11,23,1,31,3,12,1,5,3,3,1,4,3,2,16,14,2,1,2,3,9,11,2,18,14,11,6,4,0,3,4,3,7,5,0,9,0,4,10,0,5,4,6,0,9,12,0,0,2,9,0,8,5,1
CELL0188,1,1,5,5,3,1,2,1,3,4,8,6,6,5,8,0,9,3,2,13,1,0,2,3,3,0,18,0,1,5,0,0,1,0,5,0,2,1,0,0,1,2,3,23,3,3,2,0,3,11,15,0,5,3,1,1,9,2,1,9,2,3,6,6,0,3,9,5,2,1,3,0,2,13,18,2,1,3,3,12
CELL0189,1,5,22,18,11,10,2,8,8,18,6,9,4,9,7,6,2,4,3,11,3,3,25,11,2,9,14,3,7,2,11,5,4,3,0,4,4,8,8,0,5,6,23,4,0,6,1,10,8,13,1,18,9,25,2,1,21,2,2,6,92,4,19,1,37,30,18,2,6,8,1,85,1,2,16,57,1,3,5,10
CELL0190,3,4,5,3,5,0,1,1,2,12,9,5,8,0,5,1,17,6,9,17,4,1,7,2,4,6,17,5,4,11,1,2,1,2,0,4,1,2,0,0,1,1,3,19,3,2,3,2,2,9,11,1,5,5,3,2,13,0,0,19,4,6,8,3,1,8,17,4,0,6,3,1,2,18,16,9,1,3,3,16
CELL0191,10,17,4,3,8,7,1,18,2,1,0,1,20,3,39,2,2,4,1,5,37,11,5,0,4,4,1,4,0,5,14,1,0,2,7,1,0,4,4,7,12,1,2,6,1,5,18,25,5,1,2,2,14,10,13,10,0,1,18,6,24,13,41,10,15,14,14,2,5,14,3,18,6,0,4,3,17,16,3,6
CELL0192,6,2,6,9,29,2,5,3,7,10,3,4,32,6,12,3,0,2,4,0,1,4,9,26,0,8,6,0,11,4,0,3,21,3,3,13,90,4,1,3,5,3,3,1,4,1,3,1,7,9,6,2,0,1,3,4,2,5,2,5,12,3,14,10,2,1,2,3,0,3,0,0,12,1,0,1,5,14,1,0
CELL0193,9,12,4,2,10,5,1,17,2,1,0,1,13,0,27,6,3,5,4,5,36,8,1,2,2,4,1,2,0,5,13,0,6,0,1,0,1,3,4,8,18,2,6,9,2,12,14,23,3,3,3,4,10,10,21,3,3,0,12,8,25,15,30,12,18,6,15,1,6,13,8,14,4,1,2,4,21,13,3,9
CELL0194,5,4,7,11,24,1,5,0,5,5,2,2,20,7,11,6,2,5,2,0,2,4,10,26,1,12,12,1,17,1,0,0,23,1,0,14,97,5,3,1,6,3,3,2,5,1,3,2,4,5,3,1,0,7,7,5,2,4,3,4,8,5,12,4,1,4,0,3,0,1,1,0,9,4,3,0,0,12,0,0
CELL0195,7,14,3,0,13,3,0,12,5,2,0,0,6,2,21,2,2,4,0,7,36,10,2,0,2,0,3,1,0,0,6,4,2,0,3,0,0,1,5,6,8,0,0,4,1,12,15,29,1,0,4,2,7,8,14,2,1,1,5,5,22,7,28,8,22,12,11,1,3,10,4,10,1,1,8,0,19,7,5,6
CELL0196,5,7,1,1,10,3,2,6,2,3,0,0,5,0,21,1,0,2,3,4,25,13,2,1,1,2,1,0,1,5,7,1,2,1,3,0,0,4,3,4,7,0,0,5,1,6,10,7,1,2,2,1,6,3,11,1,1,0,8,7,14,10,19,5,13,4,13,1,1,6,6,11,1,0,0,0,7,13,0,8
CELL0197,0,2,4,2,5,0,3,1,3,6,5,3,7,2,6,1,12,6,2,11,3,0,7,5,3,1,22,1,1,10,0,3,0,0,7,2,0,2,0,0,2,2,2,14,1,1,3,6,2,9,15,1,3,2,4,1,11,1,1,7,5,1,2,8,3,4,17,2,0,4,2,1,2,18,21,3,1,3,2,19
CELL0198,5,7,4,12,38,3,16,1,9,8,8,4,38,8,13,4,1,6,2,0,1,4,10,20,0,16,10,1,19,6,1,0,37,2,1,19,133,12,6,2,10,7,6,8,9,0,2,3,8,6,1,2,2,8,6,1,3,8,1,5,11,2,19,7,2,4,2,2,1,4,8,0,14,3,1,1,5,18,1,0
CELL0199,4,0,6,11,9,0,4,0,5,6,5,3,7,2,5,0,8,8,5,16,4,0,3,2,5,1,22,1,2,10,0,0,1,0,8,3,0,3,0,2,3,1,3,22,1,1,3,2,2,5,20,1,4,7,0,2,14,2,1,12,7,1,6,9,5,9,21,4,1,1,2,1,4,11,18,6,2,3,1,12
CELL0200,1,0,4,7,5,1,1,2,4,2,6,4,7,1,5,1,6,6,1,12,3,0,3,9,3,1,14,3,1,9,0,2,0,0,1,0,1,0,0,0,0,7,2,18,0,2,2,4,0,4,16,1,0,6,0,1,11,4,1,7,5,1,4,6,5,3,5,3,0,2,3,0,1,11,8,2,0,3,1,9
CELL0201,3,2,10,15,14,6,6,2,4,14,0,4,1,8,1,1,1,3,3,11,3,3,14,6,2,5,3,1,2,1,7,5,4,1,0,1,2,4,5,0,12,0,9,1,0,3,0,5,2,4,1,6,3,10,3,3,12,2,1,7,60,5,11,1,13,23,9,1,5,8,2,45,0,1,8,37,1,2,4,1
CELL0202,7,10,7,2,8,9,3,10,5,2,1,0,5,3,31,3,1,3,2,10,26,10,1,0,1,3,1,2,0,3,6,1,5,2,2,2,2,4,4,7,4,0,2,13,1,8,16,16,1,0,6,0,9,5,24,4,0,0,9,6,20,5,33,11,20,4,11,0,3,10,6,8,2,3,6,1,15,14,4,5
CELL0203,7,4,9,22,55,1,8,4,6,7,8,2,47,6,27,4,0,5,2,0,1,8,14,45,2,21,26,1,24,7,1,3,53,1,1,17,176,15,7,3,7,4,3,6,10,0,5,4,9,14,3,2,2,12,7,6,5,8,9,3,13,7,20,10,1,2,5,4,0,4,3,0,13,4,2,0,6,29,1,2
CELL0204,2,4,16,14,15,1,5,6,4,21,4,9,3,4,6,4,0,3,4,13,3,1,19,11,2,11,9,0,3,1,14,3,5,3,0,3,1,6,6,0,14,1,24,0,2,2,2,7,7,7,1,9,10,31,2,2,16,3,1,1,88,11,12,1,17,24,20,0,4,1,1,72,2,1,3,38,1,6,4,7
CELL0205,4,2,13,25,43,1,23,6,14,5,9,4,77,16,27,16,1,5,2,0,6,6,17,46,1,26,26,1,29,6,2,2,52,1,2,32,178,12,4,5,17,16,2,6,12,0,0,6,12,6,9,4,2,10,7,10,6,14,5,5,15,12,38,12,1,3,2,7,0,7,7,2,19,7,0,0,10,34,4,2
CELL0206,4,8,1,1,1,3,0,11,0,1,0,0,8,1,18,2,0,0,4,3,27,6,1,1,1,3,0,1,0,1,1,2,2,1,1,0,1,1,2,4,10,1,0,5,0,6,21,19,4,0,1,1,4,2,10,1,3,0,6,5,9,8,10,5,16,9,10,0,5,9,8,15,4,1,3,2,15,9,1,10
CELL0207,14,17,5,3,20,5,1,15,2,3,0,1,8,3,33,5,2,5,3,16,44,8,3,0,3,8,1,1,0,0,12,2,2,3,9,1,0,3,4,9,11,1,2,6,1,12,16,17,2,0,8,3,21,10,31,7,1,0,11,7,28,17,40,14,22,13,24,1,7,7,7,21,6,0,3,1,23,16,7,15
CELL0208,6,3,36,12,25,7,4,5,10,19,6,3,1,8,6,5,0,3,6,16,5,1,30,7,4,11,11,3,3,4,11,10,3,1,2,4,2,3,5,0,16,3,26,2,2,5,0,12,6,18,1,13,10,31,4,5,26,3,1,4,112,9,18,1,39,34,20,2,8,7,0,100,0,4,16,55,0,5,4,8
CELL0209,2,3,6,5,5,1,2,4,5,7,6,1,15,0,7,0,12,4,10,13,5,0,7,8,4,3,11,1,4,8,0,4,0,1,3,2,1,1,0,0,4,1,1,32,1,0,2,6,0,4,17,2,2,4,4,0,10,2,1,8,4,3,0,7,3,6,10,4,0,5,4,1,3,21,10,0,1,3,3,9
CELL0210,9,11,0,2,7,2,0,12,5,0,1,2,16,3,35,4,2,3,2,13,43,9,1,1,0,4,2,0,0,4,10,2,2,1,4,2,1,4,6,5,6,1,5,9,0,4,11,30,2,1,7,3,15,8,19,5,2,1,14,8,25,15,38,10,21,4,11,2,3,10,5,22,4,1,4,1,25,18,4,11
CELL0211,3,3,3,10,3,1,2,1,6,11,5,5,14,2,8,3,11,9,7,18,4,1,10,4,3,2,19,4,3,12,0,2,1,1,9,5,1,3,0,0,1,1,5,23,2,1,0,4,2,21,27,0,3,7,1,2,11,3,0,13,4,5,3,5,0,7,15,2,2,0,0,0,1,28,34,4,1,4,5,13
CELL0212,1,0,0,5,4,0,0,0,3,2,2,4,4,1,5,0,10,6,3,7,2,0,1,2,3,1,13,0,2,4,0,0,1,3,4,1,1,1,0,1,0,1,2,23,1,0,1,1,0,6,21,0,2,2,3,0,5,2,1,6,2,1,1,1,3,4,5,2,0,2,2,1,0,9,12,2,2,0,1,8
CELL0213,8,3,10,28,57,0,15,6,13,4,13,10,57,6,33,9,0,10,2,0,2,9,24,59,2,27,31,0,28,12,1,1,52,3,3,32,219,13,4,5,11,11,6,6,19,5,7,3,10,11,8,1,5,11,3,2,5,16,5,3,13,11,27,18,5,5,8,6,3,5,2,0,17,7,5,0,7,34,7,1
CELL0214,9,6,11,20,58,1,8,4,22,8,17,5,58,13,27,4,2,7,1,3,1,7,11,56,0,13,16,2,30,4,0,0,49,1,2,23,182,14,6,4,18,16,8,4,12,2,2,5,14,8,6,2,5,12,10,6,4,9,13,5,16,5,26,17,6,0,6,6,0,7,4,1,19,3,4,0,6,33,2,1
CELL0215,5,3,3,4,6,0,3,1,2,6,3,4,13,0,6,1,18,3,6,9,1,0,10,7,0,2,28,5,2,14,0,1,1,0,4,2,2,1,0,0,1,2,3,19,1,0,2,3,1,4,21,1,4,10,2,0,15,2,1,18,3,3,9,2,3,5,14,8,1,0,4,0,0,16,19,4,1,3,4,15
CELL0216,18,26,0,13,1,9,4,0,21,7,3,6,3,0,0,0,8,3,12,0,2,3,0,9,3,0,21,25,1,38,1,12,5,5,0,4,6,4,3,2,14,14,1,1,2,1,4,6,0,17,26,17,14,1,2,1,3,3,14,3,2,9,3,3,8,2,2,2,6,0,10,19,0,1,2,12,2,9,6,3
CELL0217,26,16,1,6,4,8,7,0,26,6,0,6,2,1,1,0,5,2,2,1,2,0,1,7,2,2,9,22,0,31,4,8,4,0,1,0,2,2,6,0,16,15,1,1,3,5,5,6,0,11,19,9,6,1,1,3,1,5,14,8,0,6,0,1,5,2,3,1,7,1,13,22,0,1,3,13,1,13,6,5
CELL0218,2,1,9,14,39,2,11,1,14,12,8,4,47,6,19,5,1,3,2,0,5,4,10,31,2,19,19,1,18,6,1,0,43,1,0,13,125,8,0,2,13,10,2,5,15,1,5,4,8,6,6,2,1,6,4,3,5,8,5,7,8,5,14,10,3,3,2,5,0,4,7,0,7,2,3,0,6,15,0,0
CELL0219,1,0,3,5,9,0,4,3,4,4,5,6,9,0,7,1,17,13,3,26,3,0,6,4,7,5,23,1,3,14,0,1,1,3,8,2,0,2,1,1,3,0,1,12,2,1,2,3,3,12,23,3,1,6,2,0,13,3,2,10,3,2,3,6,3,5,14,5,3,2,5,0,3,14,27,8,0,2,1,16
CELL0220,6,1,8,11,6,0,5,2,11,8,14,4,12,1,12,1,20,5,8,22,6,0,8,6,4,7,34,4,7,8,0,1,0,2,7,4,1,4,2,1,2,1,6,27,5,2,3,0,1,15,30,2,4,7,3,0,21,4,0,18,4,2,9,7,5,10,35,10,5,6,4,2,5,28,27,10,3,1,2,23
CELL0221,2,3,9,7,7,0,3,1,9,15,6,6,6,3,12,2,22,11,8,18,4,0,6,11,5,2,33,4,1,10,0,0,2,3,3,3,2,4,0,1,1,7,2,40,4,3,0,2,1,10,23,0,5,7,3,2,15,2,1,16,5,1,4,8,6,9,12,11,3,5,5,0,3,16,23,8,4,5,6,24
CELL0222,7,6,13,23,52,0,16,4,9,7,14,6,44,6,29,5,2,5,2,1,0,5,14,34,0,19,16,1,17,2,1,0,31,2,3,21,174,15,6,3,12,9,8,2,10,1,1,4,6,9,6,0,1,8,6,3,3,13,3,3,8,11,20,13,6,3,5,5,0,11,4,0,13,6,0,0,5,21,2,1
CELL0223,3,1,6,16,33,0,9,1,6,6,11,1,27,5,16,1,1,9,3,0,3,6,8,22,0,16,16,0,16,4,2,0,27,1,1,20,104,6,4,4,5,8,2,0,4,2,1,3,6,5,3,3,0,7,1,1,2,4,4,1,5,3,13,16,2,3,2,3,0,4,0,0,8,1,1,0,5,14,3,2
CELL0224,10,5,35,26,12,7,7,3,10,25,8,13,2,7,7,5,2,1,6,16,4,6,22,13,2,14,15,5,6,4,14,1,6,5,0,1,3,6,4,0,10,9,27,1,1,2,0,8,6,4,1,10,8,36,2,5,28,2,0,4,104,7,17,1,44,38,20,4,5,7,2,86,1,3,14,48,1,4,8,12
CELL0225,4,2,6,17,18,7,4,5,6,15,5,8,4,7,5,4,2,4,2,8,1,1,13,9,4,11,8,2,0,2,6,4,5,1,0,2,2,3,8,0,11,1,15,1,0,10,0,9,3,7,1,9,3,17,1,3,22,1,2,9,65,5,10,1,22,17,10,2,8,5,2,55,1,3,7,50,2,3,4,6
CELL0226,2,0,4,1,5,1,1,0,1,6,2,6,6,1,9,0,10,6,4,6,1,1,1,2,3,1,18,3,4,9,0,0,1,3,4,3,0,1,4,0,3,1,0,20,1,0,0,3,0,6,13,1,0,3,0,0,9,1,1,7,5,1,3,3,1,7,8,1,3,1,1,2,1,11,15,3,2,2,3,9
CELL0227,3,2,8,11,24,0,11,3,11,3,7,5,34,6,21,8,0,2,1,0,2,2,19,30,0,13,16,0,18,2,1,0,27,0,1,10,104,1,1,2,12,3,2,3,4,0,0,1,7,2,2,1,2,4,0,2,4,8,6,6,7,4,14,13,0,3,2,3,1,1,1,0,5,5,1,0,6,12,3,0
CELL0228,3,2,7,13,8,3,1,1,6,11,2,3,3,7,3,3,0,1,2,6,1,2,19,3,2,5,10,2,1,2,4,2,4,1,0,1,0,3,3,0,9,5,13,0,0,2,0,10,4,5,0,4,3,13,1,2,13,2,0,1,59,7,4,0,13,17,4,1,4,2,0,37,0,1,13,30,0,2,3,5
CELL0229,3,2,15,27,20,5,5,4,6,19,2,7,1,8,3,2,2,2,1,15,2,3,17,15,2,8,10,2,0,2,5,3,5,2,1,2,0,5,4,0,16,7,17,2,2,3,0,7,2,13,1,14,9,14,2,5,14,0,0,13,78,6,12,2,17,25,13,1,12,9,2,54,1,1,10,54,1,5,3,6
CELL0230,5,5,7,7,2,2,2,3,5,15,10,5,13,2,8,1,16,15,10,28,7,2,7,12,7,5,33,6,10,10,2,0,3,4,8,3,2,3,0,1,3,2,4,35,3,5,5,3,3,13,33,2,7,9,2,0,17,2,3,25,6,0,10,11,4,8,19,12,7,6,6,0,3,21,30,5,2,7,4,31
CELL0231,22,26,0,4,2,8,6,1,15,6,0,2,2,1,0,1,5,1,4,1,1,0,0,3,3,0,10,15,0,39,5,7,0,3,0,1,1,1,5,1,18,7,0,2,1,5,2,8,2,12,18,13,5,0,0,1,3,4,9,5,1,5,2,1,5,1,0,2,7,0,8,9,1,0,1,10,2,8,3,0
CELL0232,4,3,7,19,40,1,8,3,9,1,6,5,30,6,10,2,0,6,2,0,0,5,12,26,0,10,14,0,17,6,0,2,34,1,1,14,111,9,7,4,12,1,1,2,12,1,3,3,4,7,4,0,2,5,6,2,4,9,2,5,8,4,16,4,4,2,3,2,0,3,6,1,10,2,1,0,2,15,4,0
CELL0233,7,2,26,22,19,7,4,2,10,23,5,14,3,6,3,5,0,7,10,19,3,3,24,15,2,10,14,1,5,1,12,3,2,2,1,7,4,4,5,0,15,3,30,0,1,7,0,7,9,18,3,13,6,29,0,7,32,4,1,3,104,12,12,0,25,27,27,3,8,7,5,99,0,2,18,83,0,7,4,11
CELL0234,5,2,4,4,39,2,10,2,7,6,2,1,36,6,12,6,2,4,1,1,3,4,10,26,1,16,10,0,20,5,0,0,20,1,3,11,95,8,4,1,12,7,1,0,5,1,4,1,8,3,1,1,3,4,4,5,0,3,5,4,7,14,14,3,2,3,2,3,0,2,2,0,8,5,1,0,5,16,3,1
CELL0235,2,3,7,10,9,3,4,1,1,6,14,8,14,4,11,1,14,9,7,28,2,3,12,10,6,3,29,4,2,19,0,1,1,5,7,5,0,1,1,2,0,3,7,25,2,3,2,1,0,12,42,5,3,10,2,0,18,3,1,24,8,3,8,8,4,8,18,6,3,7,6,0,0,29,20,6,4,3,5,19
CELL0236,2,0,4,9,11,0,2,0,15,14,6,4,9,3,7,0,24,8,6,24,8,2,8,3,6,3,26,6,7,6,1,3,2,2,7,3,3,2,0,4,5,2,3,33,3,3,2,5,2,13,34,2,7,8,3,1,18,2,2,22,5,5,6,10,3,6,14,9,1,6,5,1,2,27,21,2,1,6,2,20
CELL0237,8,3,6,5,3,2,4,3,11,4,15,7,19,3,13,2,11,16,10,27,4,1,5,3,11,2,36,4,8,12,0,7,0,1,7,5,4,2,0,0,3,4,8,37,6,2,8,6,2,13,38,2,6,7,4,1,27,4,2,22,2,3,8,6,9,11,26,8,4,6,1,2,5,28,40,7,3,8,6,24
CELL0238,4,1,6,9,7,1,1,2,6,6,10,4,7,4,10,2,17,6,4,20,2,1,8,5,3,5,32,3,3,8,0,1,1,3,11,2,2,0,0,1,3,3,5,24,3,2,1,0,0,8,22,2,1,4,1,0,16,1,0,10,7,5,3,7,5,3,13,1,4,5,4,0,5,29,15,4,1,1,6,23
CELL0239,3,7,22,21,23,5,5,3,10,13,3,20,2,11,8,1,3,8,3,18,5,4,36,12,2,12,14,4,8,2,13,3,3,3,0,3,3,6,2,0,16,3,23,0,4,5,0,12,5,12,1,16,6,25,0,9,25,2,3,7,112,8,16,1,31,31,16,4,9,4,1,74,1,2,3,55,2,1,7,12
CELL0240,4,0,3,5,2,3,1,1,3,6,6,6,7,2,6,0,8,3,4,8,3,0,10,3,5,0,15,1,3,9,0,0,1,2,2,2,0,3,0,0,1,2,3,16,4,2,2,3,0,10,21,3,7,4,2,1,9,2,0,9,7,3,3,4,4,13,7,1,0,3,1,1,0,13,5,3,0,3,3,14
