"Gene","S01_con","S02_con","S03_con","S04_con","S05_con","S06_con","S07_con","S08_con","S09_con","S10_con","S11_con","S12_con","S13_con","S14_con","S15_con","S16_con","S17_con","S18_con","S19_con","S20_con","S01_tre","S02_tre","S03_tre","S04_tre","S05_tre","S06_tre","S07_tre","S08_tre","S09_tre","S10_tre","S11_tre","S12_tre","S13_tre","S14_tre","S15_tre","S16_tre","S17_tre","S18_tre","S19_tre","S20_tre"
"LOC105376958",6.305,8.516,8.345,7.02,8.154,7.958,5.51,7.229,6.448,9.854,5.575,9.335,5.831,7.262,5.646,8.746,8.621,5.377,7.371,6.744,7.268,7.638,7.272,7.916,6.217,7.431,6.982,7.981,6.938,7.861,8.136,8.294,8.679,8.06,8.839,6.087,8.808,4.646,6.595,5.634
"LOC130063693",5.333,5.999,6.06,5.035,5.954,5.575,7.115,7.327,6.529,7.09,4.958,5.438,7.121,7.225,8.495,6.08,7.149,6.974,6.224,7.469,8.037,7.111,5.912,7.43,8.198,8.419,9.4,7.975,5.523,8.403,7.244,8.492,8.073,6.758,7.626,6.499,5.769,6.097,6.738,5.057
"LOC127827893",7.558,4.651,7.219,6.683,5.603,6.808,10.173,5.699,8.208,7.949,6.811,6.931,5.236,7.164,6.856,8.014,7.426,9.742,6.585,7.207,7.432,7.604,8.252,5.569,7.51,7.78,6.011,8.851,7.006,8.056,3.474,4.465,6.587,6.981,8.402,9,7.91,4.166,4.945,7.255
"LOC127891035",5.532,5.807,7.835,5.82,8.725,7.141,8.841,6.931,6.322,5.543,6.625,6.694,6.618,5.582,6.873,7.34,7.752,5.448,7.771,9.875,6.364,6.92,4.752,7.045,6.763,8.046,9.144,8.247,8.402,4.667,7.828,3.947,6.317,5.163,6.81,8.275,6.834,6.968,6.071,11.529
"LOC127399943",10.146,6.537,7.054,5.815,8.297,7.441,5.186,7.518,6.765,8.246,7.947,8.245,8.855,7.226,5.642,7.158,8.916,7.275,7.407,8.729,6.245,7.921,5.556,5.534,8.873,8.653,6.527,6.8,6.864,8.226,5.62,5.15,9.737,4.76,5.517,7.556,5.967,6.252,6.475,8.154
"ZFAND6",7.102,6.77,6.7,6.903,8.358,8.04,7.519,6.234,5.968,7.05,8.635,6.751,7.864,7.838,6.568,9.926,6.274,5.726,6.469,7.478,5.276,6.267,6.631,5.602,5.822,7.536,8.752,6.215,6.162,7.55,8.39,5.677,5.669,9.037,6.572,7.797,7.151,9.511,5.381,5.501
"LOC127405823",7.411,5.961,6.648,7.117,7.88,7.698,7.792,5.636,4.868,6.974,6.843,7.284,7.654,5.816,8.08,7.593,9.337,7.702,5.265,5.387,7.543,6.221,6.654,7.61,7.065,8.162,7.267,7.95,8.454,3.199,6.943,5.215,8.483,7.541,4.714,7.208,4.808,8.267,6.566,5.638
"LOC129936056",4.947,6.489,6.508,7.309,7.264,7.059,8.177,7.146,9.38,8.941,4.737,7.117,6.281,10.545,5.94,6.354,6.13,8.924,8.213,9.521,7.007,10.282,6.584,8.706,6.313,9.74,9.8,9.353,9.495,8.606,8.988,9.162,10.063,9.003,10.558,8.783,11.135,8.42,8.209,9.592
"LOC124903494",7.675,7.356,8.906,8.747,5.766,10.435,7.571,5.235,7.803,7.519,8.745,4.801,6.59,6.698,6.37,4.669,5.579,6.3,7.359,8.437,8.46,12.208,9.327,9.264,7.792,6.293,8.765,8.278,9.508,9.351,10.747,10.046,8.162,7.07,11.291,9.554,6.939,8.494,6.438,7.446
"LOC130061349",8.476,7.336,7.018,6.317,6.305,6.908,8.971,8.611,6.627,8.419,7.539,6.135,7.516,6.525,6.637,6.814,8.552,7.618,4.07,6.902,6.196,7.231,5.32,7.093,7.493,8.038,5.788,6.122,6.995,8.335,6.483,8.19,8.792,7.503,7.103,4.637,6.496,8.356,4.711,7.709
"LOC127400066",7.406,7.144,5.805,7.004,6.682,4.748,5.349,6.836,7.606,7.54,6.76,5.927,5.216,5.997,4.286,9.893,7.613,5.035,4.706,6.72,7.163,8.018,7.562,6.503,8.176,7.504,7.504,6.634,9.273,7.085,6.342,6.453,7.386,4.975,7.886,7.13,6.089,6.735,6.833,7.437
"LOC112268445",7.072,5.81,6.31,7.293,8.249,5.781,8.039,5.679,7.06,6.131,7.901,5.256,3.656,8.716,7.038,4.593,6.383,6.237,5.901,5.79,8.471,6.924,9.309,5.473,6.798,6.213,5.91,6.503,6.513,7.186,7.159,7.583,6.833,8.322,7.297,6.799,8.498,6.364,7.372,6.525
"RNA5SP415",9.035,7.277,5.677,8.032,6.759,6.506,6.553,6.411,6.469,5.157,7.033,6.548,6.553,10.48,4.17,8.85,8.725,7.855,6.965,7.154,4.797,4.608,10.565,9.018,6.546,7.697,5.818,6.465,8.704,8.158,8.574,6.987,7.348,5.566,7.989,4.967,6.588,5.766,5.505,5.289
"LOC130056776",7.934,8.824,7.566,5.519,7.883,8.125,6.34,7.963,5.799,7.346,10.101,5.39,6.532,6.149,9.132,7.971,7.749,7.894,4.749,8.619,9.485,7.726,7.861,10.774,8.376,8.805,8.066,10.245,8.356,8.097,11.112,9.682,10.038,8.869,8.56,9.484,10.316,9.972,8.621,11.115
"LOC127458135",7.825,5.949,6.621,7.06,7.783,5.14,8.402,6.62,6.419,6.121,6.245,8.443,8.036,5.972,6.899,5.491,5.951,4.408,7.227,5.867,6.423,7.923,7.81,6.707,7.359,6.897,7.187,7.085,7.503,5.81,5.548,7.15,8.284,9.113,6.14,8.473,6.42,6.649,4.792,4.885
"LOC127819598",8.386,9.495,7.372,7.2,6.548,5.231,9.748,6.875,5.095,7.39,7.141,6.912,6.274,6.341,6.369,7.536,7.395,6.92,7.212,6.57,7.548,6.502,5.371,7.513,7.427,7.195,3.842,6.712,8.385,8.185,6.14,5.338,7.447,5.808,7.333,8.189,9.471,5.004,6.107,6.4
"MRPL49P2",7.444,8.125,7.4,5.315,5.273,6.629,7.521,7.784,4.814,7.407,5.548,6.961,6.009,5.237,6.696,10.773,6.943,6.031,8.128,7.34,7.499,9.694,9.9,9.627,9.482,9.513,9.801,8.677,9.018,9.509,5.742,7.41,8.285,9.38,7.921,10.087,10.336,8.085,9.136,7.033
"LOC130009887",11.086,5.357,3.038,5.267,6.781,7.8,8.008,8.212,4.838,5.589,5.134,7.609,7.656,9.106,7.854,7.553,5.612,7.419,7.733,8.1,5.174,6.011,7.259,9.259,5.983,4.615,5.465,6.564,9.219,6.649,9.085,10.327,6.387,5.389,5.267,6.003,7.568,7.921,7.103,7.021
"MRPS2",7.455,5.756,5.852,8.636,6.531,7.976,6.444,6.467,5.91,6.539,7.969,6.505,6.079,6.032,6.753,9.813,7.81,5.076,7.486,7.009,7.382,9.198,5.076,7.243,6.573,8.963,6.923,6.797,4.627,4.174,6.126,4.577,6.493,9.44,7.562,8.677,7.053,6.091,7.12,6.133
"LOC127893326",8.395,6.606,9.801,7.992,4.924,6.567,7.329,7.672,6.845,5.79,8.694,7.835,9.032,5.071,7.262,5.176,7.348,5.896,7.406,7.951,7.324,8.198,4.929,7.182,9.266,8.26,9.995,9.427,5.418,7.181,7.587,7.513,7.17,6.698,6.046,6.031,6.578,4.597,7.172,7.463
"LOC130002935",8.191,6.997,7.259,6.188,6.538,5.844,5.203,6.949,5.646,9.505,7.946,8.672,5.652,5.341,7.645,6.738,7.305,7.336,8.981,5.511,9.286,8.856,8.943,10.007,7.462,9.598,7.963,10.122,9.043,10.845,8.417,8.822,7.802,7.549,10.426,8.177,8.158,7.67,9.344,8.597
"LOC127405205",7.933,5.813,6.816,7.327,8.661,9.855,7.245,7.29,8.258,8.253,5.166,6.327,8.092,6.509,6.201,6.603,6.061,6.22,7.656,7.279,5.569,4.855,7.413,8.771,6.386,7.372,6.826,4.66,6.426,6.886,8.265,7.898,7.378,6.211,5.749,5.143,8.86,6.527,7.412,7.609
"LOC129930389",8.372,6.155,7.682,6.81,6.067,7.595,8.931,7.403,6.235,6.699,7.537,5.867,4.314,5.116,6.212,8.326,6.935,5.162,7.565,7.955,4.542,5.451,7.382,8.406,8.664,8.081,5.749,5.289,4.634,6.694,4.97,6.702,6.971,8.006,6.941,6.395,6.948,7.006,5.386,8.711
"LOC130061612",7.456,7.489,7.73,5.997,6.128,7.121,8.832,7.629,6.005,8.764,5.714,9.654,8.956,7.378,7.675,6.447,6.512,6.644,4.643,5.573,8.971,8.491,5.942,8.223,5.571,7.148,7.84,6.411,7.213,7.614,7.372,6.221,7.302,6.038,7.723,7.728,7.621,7.01,4.356,9.442
"LOC127456990",4.483,7.361,5.283,8.08,9.27,7.751,6.84,7.272,7.163,7.989,7.521,6.817,6.826,5.971,7.265,8.804,5.785,8.154,7.856,4.606,6.691,7.093,7.68,7.916,7.578,7.393,7.838,6.982,7.714,6.644,6.684,4.934,5.224,7.179,6.683,9.322,6.321,9.547,8.044,5.231
"LOC127888762",5.959,6.019,7.01,6.129,7.112,6.024,7.19,6.503,6.899,6.8,4.187,7.565,4.312,8.243,7.382,6.235,6.824,6.476,6.509,5.521,6.97,6.66,9.267,6.63,8.457,7.938,8.066,6.426,5.88,7.267,6.861,9.345,8.148,7.265,5.783,6.97,7.655,7.626,7.686,7.559
"LOC127820545",10.046,6.385,7.947,7.184,4.865,7.292,5.185,7.437,5.586,6.594,8.58,8.504,5.1,8.179,9.364,6.919,5.264,7.895,6.274,7.375,6.969,6.315,7.331,7.466,5.919,4.973,6.573,9.337,8.328,7.403,5.912,5.416,7.058,9.622,6.064,5.852,3.846,5.397,8.742,6.458
"TMEM45B",9.497,5.812,7.303,7.761,5.398,7.612,4.29,7.246,8.475,5.897,9.438,7.292,6.783,7.244,7.532,8.318,7.101,6.889,5.813,6.152,8.63,8.564,8.397,8.836,9.862,10.901,8.464,8.138,10.193,8.031,10.249,9.166,7.613,8.5,6.964,9.219,8.807,13.042,8.392,12.237
"LOC124905989",6.858,3.616,6.679,8.508,9.778,6.059,7.783,7.527,7.059,7.565,7.203,5.219,9.269,7.415,4.745,9.009,4.821,7.31,7.399,7.112,5.056,5.204,6.918,4.825,7.299,5.085,7.13,5.067,10.196,6.774,7.199,5.713,7.117,6.756,8.675,7.292,5.891,9.087,7.53,6.703
"TWF1P2",3.733,6.228,6.714,6.135,8.491,6.664,5.975,6.61,8.396,6.618,8.726,5.823,6.213,7.288,8.85,6.876,6.933,8.661,9.362,6.368,7.151,7.109,6.314,8.158,5.781,3.752,5.914,6.426,7.141,7.593,7.895,7.49,6.799,6.507,8.163,6.787,7.102,9.016,6.834,5.383
"LOC127822396",6.012,6.169,5.645,8.739,6.776,7.736,7.112,7.384,7.736,7.339,6.024,5.536,6.782,6.606,4.025,4.923,7.068,7.931,8.147,4.387,5.987,5.18,4.297,6.434,5.643,8.261,6.052,5.526,6.891,7.917,6.474,6.295,7.368,6.339,6.94,8.315,8.934,7.528,5.699,8.811
"LOC130063836",5.043,6.862,6.578,9.725,4.453,4.964,7.83,6.594,8.083,8.45,6.742,5.749,8.137,6.479,7.19,5.908,3.608,6.762,6.778,4.401,6.323,7.395,8.281,5.824,5.725,6.296,4.49,9.086,6.426,8.922,8.908,5.619,5.877,6.704,7.773,7.027,7.512,5.855,7.22,8.619
"LOC127267619",4.818,5.726,7.521,7.16,4.542,8.492,8.89,7.282,5.571,8.464,8.037,9.388,6.938,7.403,7.425,7.524,9.586,5.745,7.911,5.199,8.915,7.004,3.34,7.815,8.715,8.154,4.693,7.871,6.934,8.683,6.122,7.302,6.933,4.495,7.067,6.885,5.867,7.253,10.373,8.085
"LOC127270635",8.235,7.619,6.128,5.895,5.241,6.753,8.678,5.888,6.064,7.249,7.051,6.498,6.634,6.171,6.673,6.331,7.608,7.773,7.393,5.926,7.088,8.345,8.151,6.644,4.506,5.697,5.997,7.672,8.505,6.629,6.882,8.063,6.72,5.605,5.587,6.311,8.963,9.572,8.386,8.413
"LOC127896291",7.162,5.164,7.037,5.993,5.158,6.24,8.251,9.464,6.618,7.007,5.338,6.562,6.901,6.509,5.637,9.383,5.994,7.745,7.453,6.879,5.267,7.498,6.522,3.69,7.606,6.154,6.204,8.32,6.821,5.369,7.937,6.915,4.182,7.421,6.541,6.882,8.358,7.604,7.698,6.621
"LOC124903629",8.87,9.12,7.32,6.281,6.577,6.002,6.56,7.197,5.059,8.942,6.77,7.359,6.543,6.45,6.857,9.362,9.369,7.568,5.33,4.488,5.916,5.332,5.438,6.298,7.166,5.936,5.486,6.612,6.28,7.346,4.47,6.248,7.862,4.694,7.949,8.186,9.267,8.609,5.704,4.803
"LOC130068617",5.277,5.534,8.236,7.673,8.552,9.048,8.426,6.863,7.618,6.158,6.503,5.39,7.233,6.713,6.948,5.51,8.999,6.041,6.617,8.72,6.529,7.932,5.841,4.193,6.403,7.391,5.769,4.463,7.41,8.48,7.083,6.104,6.307,5.034,6.479,6.398,6.014,8.21,8.556,8.284
"LOC127272345",5.695,7.57,4.913,8.79,6.389,6.524,5.872,5.376,7.425,4.447,6.41,6.155,7.547,5.359,6.626,4.712,4.798,7.67,8.291,3.714,9.419,5.601,7.738,7.574,7.135,7.978,7.335,6.052,7.372,8.454,8.134,5.092,6.767,8.543,5.938,7.229,5.437,8.328,7.603,5.796
