"","Drug01","Drug02","Drug03","Drug04","Drug05","Drug06","Drug07","Drug08","Drug09","Drug10","Drug11","Drug12","Drug13","Drug14","Drug15","Drug16","Drug17","Drug18","Drug19","Drug20"
"G246",1.4525,-0.0134,3.024,1.9491,-0.6836,1.8548,1.0786,-0.6301,0.9057,2.7831,0.7357,-0.5952,1.428,-0.0091,-0.614,0.8464,0.759,-0.5329,-0.7182,0.1944
"G247",1.6804,1.9789,4.6192,3.6793,0.1396,1.017,-0.0936,-0.2105,0.8908,-1.2239,1.0984,0.3689,0.0896,-0.0505,-2.162,-0.6059,-0.3959,-0.5451,0.3082,-3.5052
"G248",2.8053,2.762,1.194,3.3558,0.9978,-3.7507,0.2745,0.1172,0.6688,0.9717,1.908,1.4688,-0.3457,0.2055,1.3523,0.5201,0.1511,0.2758,0.8559,-0.3233
"G249",1.8277,3.9459,-0.619,0.1076,1.3958,-1.6724,1.1357,1.1342,0.0623,1.3077,1.731,-1.6377,-1.1713,-0.3147,0.705,-0.1387,0.1506,-0.3254,0.2649,0.53
"G250",1.2708,3.2816,-0.2186,4.0339,-0.2982,-0.0388,1.0207,-0.2171,0.5174,0.7871,0.8821,1.1491,0.6108,-0.715,0.6515,-1.1133,0.176,0.2665,-1.8686,-1.3426
"G251",1.3973,1.8591,3.4641,2.9686,0.716,-1.2718,-0.3726,-0.1754,0.3883,-0.3202,2.2467,1.5353,-0.9772,-0.9161,2.1764,-0.4254,0.3765,-0.1078,-0.2991,-0.1453
"G252",3.4223,1.6833,1.8403,1.8966,0.6183,1.1758,-1.5657,0.3876,0.6517,0.2997,2.6559,-0.434,-0.1388,0.5199,-0.8177,-0.285,0.8322,-1.9621,-1.2732,-1.2155
"G253",2.3997,0.8982,1.5625,2.3873,-0.0864,-1.1351,-0.9813,-0.4903,1.1793,1.5549,0.7595,1.6549,0.1206,0.7527,-0.1223,0.5033,0.5057,-0.803,-0.8991,1.6658
"G254",2.8961,3.2216,1.1631,2.1376,0.0837,0.0189,1.1146,0.5424,0.8639,0.4355,4.0159,0.2902,-0.5681,-1.1156,-1.9626,-1.2462,1.6797,0.4701,-0.7691,-0.7874
"G255",3.0794,3.3957,1.3223,1.4177,-0.4391,0.8306,-1.7819,1.3442,2.9522,-0.7286,1.7069,0.5199,0.3735,1,0.9067,0.1163,0.1859,-0.4072,-2.0126,-0.6808
"G256",2.5946,1.9141,2.0581,2.0239,-1.6302,0.415,-0.6981,0.4131,1.856,0.2424,1.5958,1.887,0.1259,0.007,0.9233,0.6802,-0.8545,0.9773,0.0029,0.3794
"G257",2.0272,1.7811,3.2081,0.0272,-0.0255,-0.7818,0.9839,-0.221,4.0701,0.7411,-0.2426,1.1173,-0.5044,-0.1957,-0.6197,-1.3798,0.5444,1.104,-1.2474,1.888
"G258",1.7574,2.6248,1.5246,1.1386,0.0025,-0.5272,0.7224,1.9546,1.1163,1.8282,0.1472,1.4508,-1.9115,1.1483,-0.2607,-1.2652,0.0789,-0.6107,0.686,0.7057
"G259",4.3888,2.4232,2.8857,0.7447,0.1503,1.0027,0.5452,-1.8366,1.7963,1.242,0.2677,0.9248,1.3751,-1.1702,-1.5927,-0.3222,-1.0407,-0.8534,-0.3873,-0.6658
"G260",2.5158,0.018,2.3761,1.9457,-0.4697,2.0845,-0.3629,0.2781,1.6574,0.3782,1.9569,1.502,0.0907,0.6187,1.0335,1.3385,0.79,-1.7126,0.0115,-1.3992
"G261",1.472,3.247,2.8459,2.0709,1.0568,-1.6324,1.3714,0.1676,0.817,1.1653,1.7957,0.501,-0.9237,-1.1973,-1.1005,0.5612,0.5537,-0.6426,-1.2017,-0.5925
"G262",4.8197,2.6335,3.0629,3.2484,0.145,0.0273,1.257,-0.4131,2.4213,-0.0553,1.1814,-1.6603,0.3939,-0.6727,0.0627,-1.1237,-2.1358,0.4123,0.9452,-0.8536
"G263",1.2592,3.8569,0.7574,3.9168,0.6377,-0.459,-1.9397,-1.4808,1.0593,3.4665,2.2887,0.7706,0.2812,-0.0828,-0.1667,0.5881,1.475,-0.2488,-0.8389,-1.6346
"G264",3.4386,1.9898,1.1967,1.8652,0.2233,0.2423,-0.6293,0.2976,1.6585,2.1037,0.599,1.9031,-0.1361,0.677,1.491,0.5972,-1.0584,0.5474,-0.2235,1.395
"G265",1.2484,2.4794,2.7709,0.7221,0.7838,-0.9993,-0.4782,0.3545,1.7065,0.655,1.7442,0.5629,0.58,-1.2731,-0.4599,0.4406,-1.4682,-1.502,0.1211,0.1597
"G266",2.3168,0.9515,0.9695,1.5318,0.6427,1.0564,0.6349,-1.6418,2.2025,2.4275,1.6614,1.9865,-0.1872,-0.2022,0.9163,1.0614,0.2486,-0.0592,-2.7467,-1.6314
"G267",1.2276,2.441,1.3892,3.1004,0.2749,-1.5661,0.9886,-1.6185,2.8278,-0.4419,1.8913,0.4769,-0.4034,1.4348,-1.4859,-1.4105,-1.5437,-2.1803,-0.1154,-0.646
"G268",2.8008,2.731,1.3,0.2745,-0.9871,0.0456,2.0412,-0.9859,0.7644,3.8923,2.5603,1.2692,-0.4527,0.0289,0.778,-1.1948,0.1056,0.9879,-0.4785,0.7879
"G269",2.4379,1.47,1.4358,2.8078,-0.6993,-1.5873,-1.8157,-0.1622,1.8451,2.6371,0.515,0.3441,-0.1233,-0.9873,-0.2155,1.1776,-0.6453,0.2481,-1.506,0.6835
"G270",2.6283,3.5532,1.6639,2.0258,-1.3769,1.4975,0.434,2.1548,-0.4711,1.1322,0.3531,1.0087,-0.6156,0.4296,0.0468,0.122,0.1309,-0.0408,0.6129,2.2694
"G271",0.4377,-0.8075,1.4512,-2.0202,0.2726,1.3131,0.0892,1.7212,0.9384,-1.626,-0.438,-0.8841,0.8808,0.3312,0.2954,0.8207,-0.8341,1.7116,0.0549,-0.9368
"G272",0.5631,-0.5673,6e-04,1.6993,0.9745,0.6644,0.4003,-0.6192,-0.9423,-1.3491,0.6238,0.6317,-0.8329,-0.7859,-0.1487,0.0172,0.3342,1.3698,1.4194,0.3193
"G273",2.2141,1.4271,-0.3902,-0.0313,-0.1664,0.2274,1.0266,0.2202,0.0972,-0.3985,-0.0499,0.6817,-1.8944,-0.8968,-1.4288,-0.7257,0.8089,-0.5888,-1.2933,1.2058
"G274",-0.6049,0.9236,-0.6278,0.3321,0.9542,-0.7711,1.5184,-0.3832,-0.3015,1.0267,0.8986,-0.2427,-1.3137,-0.9287,-1.6417,-0.8946,-1.8398,-0.5294,0.33,2.4087
"G275",1.4546,-1.9011,2.4516,2.7783,-1.7602,0.2121,0.875,0.7414,0.0343,-0.6412,-0.4136,-0.8559,0.5569,0.7408,0.6074,0.6643,-0.0298,-0.186,0.3165,-0.519
"G276",0.2735,-1.0021,0.0513,1.7339,0.3774,-0.9699,0.7719,2.1168,-1.4603,-1.6246,1.0397,0.5523,0.1175,-0.4302,-1.33,-1.9892,-0.0788,-0.1283,-1.2254,-0.6955
"G277",0.2451,-1.753,-0.7939,-0.6723,1.8608,2.0624,-0.2506,-0.7034,-0.1589,1.4356,0.6499,-0.4319,-0.0994,0.1682,1.1751,1.5889,0.9114,-1.5146,-1.3173,-0.8781
"G278",-0.5277,0.8667,1.3281,-0.5673,-0.5653,1.0161,-1.0827,0.2015,-0.0896,-1.3541,-0.9088,-0.0482,-1.4444,-1.2835,0.1948,-0.8063,-0.4888,-0.329,1.4587,0.5859
"G279",0.7657,-0.7767,0.614,-0.5153,1.3695,0.9217,0.7368,-0.0046,-0.0431,0.8498,1.9541,-1.7487,-0.1936,-1.7875,0.6818,0.2476,-0.3935,-0.2413,0.4216,0.677
"G280",1.195,0.9564,-0.2702,-2.0903,-0.709,2.1504,-1.0721,-1.1693,-0.5554,-0.445,0.8719,-0.0065,-0.4462,-0.4361,-0.7016,0.5606,0.1291,-0.5394,-1.7808,-1.5966
"G281",0.5523,-0.2858,-2.4224,-0.3068,-0.323,-0.8477,1.3165,0.5311,0.2141,0.3045,-0.5927,1.9269,1.5156,0.8788,0.3935,-0.6866,-1.1081,1.5114,-1.5334,0.8006
"G282",0.5992,0.133,1.3406,-0.7444,0.646,-0.9373,0.6849,-0.2813,0.485,-0.5024,0.2473,1.1145,1.645,-0.8821,0.6817,0.0275,0.6758,-0.1592,-1.9109,1.4546
"G283",-0.3935,-0.2936,-0.7413,0.8101,-0.2038,0.6511,-0.0895,1.1137,0.3102,0.5055,0.706,0.4702,-0.9076,-1.5404,0.6864,0.4717,0.0553,-0.6288,-0.6017,-1.9623
"G284",-0.7724,-2.9733,-0.0164,0.6176,-1.2473,-1.6103,0.5124,0.7378,1.0062,0.9129,0.7976,-0.3935,-1.4487,-0.1299,1.5765,0.5787,-0.3574,-1.4294,-2.0259,-1.1514
"G285",-0.3106,0.4573,0.6296,-1.5687,0.1192,0.6279,0.9591,1.2015,-1.3349,1.0617,-1.3014,-0.9283,-0.1411,-0.7026,0.2098,-0.7761,-0.6256,2.3194,1.3309,0.6644
"G286",-1.4285,0.159,-1.814,-1.1171,-0.0145,1.6819,0.2573,0.303,0.5616,0.6933,-0.6948,-1.0196,0.5775,-0.3824,-1.4448,0.7541,1.2855,-0.4942,-1.0767,-0.9639
"G287",1.4133,-0.2536,0.0578,-0.091,0.9794,0.3143,-0.9303,-1.2898,0.8949,1.2691,1.7282,-0.2698,0.2692,1.1826,1.7452,-0.5586,-0.8412,0.4785,-0.2137,-1.7606
"G288",1.6256,-0.129,0.081,-0.5694,-0.8273,-0.0645,-0.4515,-0.7345,0.6307,-0.5973,0.1207,0.4479,0.3535,0.2849,1.1236,-0.3725,-0.4686,0.443,1.0402,1.5007
"G289",0.1845,0.6665,0.5997,-0.7775,-0.3038,1.4851,-2.0314,-2.2015,-0.3399,0.7977,-1.1259,-0.4758,-0.5584,-0.8599,0.2806,-0.3162,0.0366,-1.8559,-1.848,0.9449
"G290",0.5361,0.5692,-2.2742,0.0493,0.7564,0.7176,1.1069,1.9806,-0.2737,-0.8171,1.0445,-0.8051,-0.1881,1.7214,0.6305,-0.5056,0.2529,-0.7388,-0.8101,-2.9824
"G291",0.315,1.1968,-0.0681,-0.7975,0.8907,-0.4636,1.7894,-1.0259,-0.0522,-0.469,-1.089,0.7525,-0.2895,0.1108,-0.7347,-0.4131,-1.6731,-0.9435,0.3586,0.4412
"G292",-0.0337,1.5322,-1.0895,-0.0586,-0.816,0.2785,-1.1665,-0.8794,0.7671,1.6432,0.4102,0.784,0.8994,-0.6628,-1.7035,0.1164,1.0487,-1.3587,-0.143,-0.9427
"G293",-0.5313,-0.2114,-0.4216,-0.4474,-0.6632,0.1004,-0.6239,-0.1923,-1.989,0.6845,-1.3044,-0.368,-0.2404,0.1717,-1.2048,1.549,1.1829,-0.5348,-0.4549,-2.383
"G294",-1.822,0.4005,0.017,-0.5523,-1.187,0.4013,-0.1456,-0.6729,-0.3665,0.4298,0.9125,1.0156,-0.2119,-0.2167,-1.6598,0.736,1.4077,2.0407,0.7517,0.025
"G295",1.6838,0.5978,0.2082,-1.3006,0.4658,0.0342,-1.8103,-1.0268,-2.2065,-0.5006,-0.8638,-0.3508,-0.2749,0.5498,0.7711,-0.1916,-2.2335,-0.398,-0.2655,-1.0971
"G296",-0.2479,-2.088,-2.2325,-0.6722,-2.2973,1.1161,-0.5701,0.7196,0.348,-1.149,-0.1844,-0.2075,0.577,0.9011,-1.3346,-0.3999,0.2348,0.0305,-2.0763,1.2286
"G297",2.054,-1.9725,0.7017,0.8206,-0.6438,-0.7827,-1.4018,1.7109,-0.6529,0.6875,-1.8115,1.1982,0.6753,-0.8507,-1.2879,0.1623,0.8621,-0.1828,0.0667,0.4278
"G298",0.5534,0.7416,0.7364,-0.9215,0.5023,-0.2677,0.95,0.4945,0.3578,0.5613,-0.6357,0.4829,0.468,1.206,-0.6084,-0.1497,-1.3496,-1.5221,0.5771,2.3759
"G299",-0.5002,-0.1593,1.9148,-0.0737,-0.4828,0.5291,-0.0655,-0.3418,0.5213,-0.5829,-0.4797,0.8747,-0.5536,-0.625,-0.9853,-0.4999,0.6944,0.478,-0.3196,0.3466
"G300",-0.6213,-1.1675,1.4949,-0.1273,-1.7573,-0.2692,0.0542,0.7619,0.321,0.8429,-0.0751,-2.0662,0.2217,0.638,-0.0393,-0.1498,-0.2919,-1.1452,1.3587,0.0556
"G301",1.4251,-0.6706,0.1173,0.5753,0.1161,-0.3835,-0.6338,-1.8494,1.1334,0.1527,-1.9167,-0.2174,0.9548,-1.1732,-1.1599,0.8652,0.0457,1.561,2.1196,0.6121
"G302",3.1014,0.0795,0.1152,-0.6893,-1.2539,-1.0054,0.5631,-1.3754,0.9519,-0.9582,1.203,0.6734,-0.055,-0.4921,0.7645,1.7287,-1.5752,0.7791,1.7083,-0.1705
"G303",2.0629,0.8223,-0.1087,-0.6229,1.0307,0.5581,-2.1554,0.8094,1.093,-0.2816,0.4677,-0.9131,0.2723,-0.0081,-1.0415,-1.7562,-0.9998,-0.6979,-1.5526,-0.9335
"G304",-1.0372,0.0304,-0.018,1.7519,-1.8857,3.4102,-0.6962,-0.9157,0.6808,-0.0288,1.4218,0.169,-0.3664,-0.5935,-0.8051,1.2764,1.9081,-0.6431,1.8095,0.6188
"G305",0.0838,-2.0282,0.631,-2.1613,-1.1284,-0.8484,-0.7711,-0.5259,-1.1105,0.9355,1.8013,1.4229,-0.1354,-1.0698,0.5489,-1.777,1.2835,0.3537,0.6989,-0.2566
"G306",-0.0036,0.2998,-0.3701,0.7478,1.7848,-0.9383,-0.73,0.323,1.6063,-0.2913,0.6078,0.3825,1.1056,0.7846,1.5893,-0.033,0.6376,-0.2992,1.3959,-0.5656
"G307",0.4353,-0.0618,0.9493,-0.0271,-1.1879,-0.2245,-1.351,-0.0105,-0.7893,0.448,1.0619,0.3592,-0.0991,0.2286,-0.7597,0.5131,-0.4594,0.4793,0.3189,0.2503
"G308",1.8492,-0.2145,-0.9884,-0.3081,-0.4024,-1.5582,-1.9082,0.144,-0.9961,1.6883,1.3816,-0.7578,0.4164,2.5707,0.0639,0.2715,0.7317,-0.1289,1.7829,0.029
"G309",0.2541,0.5804,-0.1532,-0.5391,0.2868,-1.5554,1.6674,-0.0021,-1.0845,-1.2406,0.0282,-1.2012,-1.285,-0.3163,-0.4437,0.6999,-0.9456,-0.3016,0.59,-1.1698
"G310",0.0531,-0.2968,-0.3969,1.9857,0.3684,0.1563,-0.6201,1.0681,-1.6235,0.0718,1.9857,-0.0413,-0.4621,-1.1131,1.1953,-1.9892,0.0561,1.5532,-2.8424,0.6488
"G311",1.1572,1.3811,-0.2602,0.6877,-0.1921,-0.2624,-0.3888,-1.0696,-0.1783,-0.7514,-0.4717,0.1884,-0.9401,-0.9028,3.0101,0.164,1.2443,-1.1478,1.2095,-0.8554
"G312",-0.9075,-0.801,-0.6848,-0.2907,-1.7464,-2.6792,0.5688,0.2533,-0.0554,-0.8487,-1.7309,3.0717,-0.4172,-0.4982,-1.0461,0.2066,1.7229,0.4241,0.0087,-0.8729
"G313",-0.1314,-0.7213,-0.0954,0.4952,1.0068,-0.1233,1.0112,1.6153,1.3243,0.6934,-0.2009,-0.0391,-1.4051,-1.2788,1.1282,-0.7203,1.3965,1.2899,-0.5536,2.0486
"G314",-0.6183,-0.6937,-0.2378,0.5639,0.4009,-0.8245,-0.3413,0.5073,0.2522,1.5232,-0.2775,0.2101,0.0642,-2.0465,0.6078,-0.2191,-0.2907,1.3767,1.3456,0.2014
"G315",-1.1552,0.5923,-0.9494,1.0586,0.7854,0.3724,0.5278,1.8435,0.8939,-0.4505,0.2625,-0.0646,-0.6436,0.1353,-0.3769,-1.0245,-1.4831,1.4491,-1.3009,1.336
"G316",-0.6117,-0.5159,-0.4663,-1.0094,-0.3677,0.1609,-1.0592,0.8633,-1.4541,-0.4755,-0.2699,-0.2608,-0.854,0.8227,1.9124,-0.0935,0.7248,-0.0426,-1.5865,-0.2347
"G317",0.5642,-0.6515,-0.5766,-1.6222,0.5346,-0.2793,-0.1699,-0.2578,1.0902,-1.5603,-0.0699,-0.2675,2.4695,-0.8186,1.3296,2.1884,-1.2164,0.3316,0.9251,0.6388
"G318",-0.7034,1.7003,0.0147,-0.0503,0.3494,-1.9533,-0.2635,-0.8544,-0.4333,-0.3477,1.0616,0.1896,0.1079,0.289,-0.701,1.0729,0.8946,-0.489,0.6958,-0.5244
"G319",0.3692,-0.7499,-0.5549,0.0396,-0.0459,-0.3937,-0.1397,-0.8446,2.6056,-0.5743,-0.2321,-1.3069,1.7191,-0.2958,0.8462,0.035,1.2571,-0.6778,1.2156,1.5547
"G320",-0.7734,-0.8601,-2.9342,0.6623,-0.3201,0.097,1.3457,-1.9714,0.6957,0.5339,1.1522,-0.3844,0.1772,0.0783,1.2526,3.228,0.8485,0.7978,0.8787,-0.8799
"G321",-1.0489,1.2058,2.1075,-0.8475,-0.1537,0.4491,2.2637,-1.3318,-1.2789,-0.0474,-0.9977,1.7239,-0.4486,1.0623,-0.0059,-1.9431,-0.6807,0.3816,-0.8286,0.9021
"G322",-0.3747,0.4914,-0.3782,2.3179,0.9926,0.3741,1.0473,-0.3226,0.5575,1.3176,0.7172,-0.3707,0.2003,0.754,-0.5633,-0.1763,0.6875,1.2051,-0.4553,0.6604
"G323",-1.3942,0.0916,-0.5568,2.1675,-0.8395,1.7446,-0.1936,-1.8887,2.2348,-0.5856,-0.423,0.5934,-1.1686,-0.4267,0.2143,-1.8917,0.9909,-0.2037,1.8956,-0.4961
"G324",-1.6554,0.6915,-1.3263,-0.2506,1.1257,0.8923,0.4896,-0.0833,2.025,0.3339,-0.039,-0.805,-0.1735,0.306,0.2181,0.5858,-1.5063,1.4765,-0.7284,-1.4752
"G325",-1.5765,-0.9739,0.5869,1.7878,-0.6834,-0.4943,-0.6927,0.9439,0.4156,0.5502,-1.4498,0.9856,1.5546,0.6043,-0.8504,0.1347,0.2369,0.3538,2.1192,-1.0856
"G326",0.3521,-0.0116,0.129,1.7599,-1.7317,-2.4455,-0.5537,0.3774,0.1827,0.8039,0.8996,0.2739,0.4114,0.1366,-0.6645,-0.7958,1.7347,-0.3629,-0.2587,1.1378
"G327",-0.9984,-0.9909,0.5226,0.4361,-0.6513,0.4947,-0.9986,-1.2324,-1.2618,0.966,-1.1033,-1.2453,1.4423,-1.9908,1.826,1.5065,1.2843,0.22,-0.9782,-0.2033
"G328",0.5417,0.2782,-0.7483,-0.7465,2.4158,-0.8328,1.0865,1.0828,-0.2702,-0.4224,-0.4543,1.9101,0.8788,0.0943,-1.6383,1.5786,-0.9246,1.3058,-0.048,-0.0334
"G329",0.0718,-1.1892,0.1461,-0.9716,-0.5572,0.4848,1.4155,1.0554,0.4642,-0.6551,-0.9712,-0.3213,-0.0197,0.8405,-0.8697,-1.833,-1.1115,1.0007,-0.2739,0.2896
"G330",-1.1493,1.1315,-1.6304,-1.8514,1.0228,-0.6488,1.4422,-0.9794,-0.537,0.528,-0.6585,-0.0522,-0.6002,0.4442,0.2067,-0.5088,-0.6029,-0.8554,0.9442,0.9279
"G331",1.6352,1.1799,1.3661,-0.1139,0.6483,-0.1949,1.2465,-0.767,2.4607,-1.238,0.4311,0.3419,-0.9963,-0.5089,-0.1169,0.1356,-0.5984,-0.5458,0.8205,-0.0095
"G332",1.3294,-1.9778,-0.0027,-0.1921,-0.8593,0.0057,1.6883,0.831,0.408,0.4095,1.1854,0.4387,0.3789,1.349,-0.3456,-0.7962,1.6423,-0.9626,0.5276,-1.3572
"G333",1.0021,-2.3957,-0.125,-1.2737,0.2028,0.9108,-0.78,-0.8164,-2.0564,0.6367,0.3782,-0.7613,0.14,-0.3668,-1.7279,0.2523,0.219,-0.4153,0.1998,1.018
"G334",-0.3173,-1.7942,-1.0735,1.0134,0.2034,0.3209,-1.2436,-0.406,0.8054,0.3189,-0.5717,0.1122,1.3903,-0.9423,-0.721,-1.0185,-0.9942,-0.0058,-0.1342,1.6085
"G335",1.1421,-1.508,2.6716,1.4995,1.1097,0.5544,-1.2725,-0.0281,-0.6712,1.957,0.6807,-0.8136,-0.0834,0.1885,-1.1606,0.0329,-1.5694,0.6137,0.2792,-0.015
"G336",1.0433,0.1208,0.7516,-0.7213,0.2241,-1.9549,0.4302,-1.7516,2.3117,-0.6022,0.4055,0.694,-0.3309,0.1308,-1.3344,0.076,-1.4621,-1.509,-1.8372,-0.2476
"G337",0.896,0.3464,2.2154,0.1794,-0.5229,-0.8631,0.2749,0.4758,0.8537,-0.1688,-1.3766,0.49,1.0088,0.3785,-1.0464,1.6188,-0.7313,-0.3415,-1.1448,1.3717
"G338",-1.4871,1.0294,-0.0967,0.8883,0.8839,1.7265,0.8947,0.5302,1.6167,-0.6673,1.2953,-1.3087,-0.5718,-0.8464,-0.3976,0.3955,2.3304,0.5315,0.77,-1.5116
"G339",0.0617,-1.3862,0.0706,-0.4009,0.3528,0.9865,-0.973,-1.0956,-1.5935,0.6008,-0.609,-1.1248,-0.2884,-2.7731,1.4454,-0.8355,-2.2877,0.5847,-0.1377,-0.3204
"G340",-2.0939,-1.4693,-1.5006,-1.0453,-0.0431,0.9591,1.7299,-0.484,0.185,-0.811,1.0156,-0.0728,0.3479,-0.129,0.6188,0.2174,0.5071,-0.471,1.1729,-0.7017
"G341",-1.3446,-0.0963,-0.8925,-0.2968,-0.3879,0.2767,0.5598,0.2881,0.2613,0.7696,0.6995,0.6924,-0.3821,-0.0027,1.1742,-0.6587,0.4746,1.86,-0.7084,-3.1197
"G342",1.4657,-0.9679,-1.7544,-0.5721,-0.2862,-0.1016,0.2742,-0.8314,0.6029,0.685,-0.1114,1.381,0.6429,0.7904,1.3472,-0.6887,-2.2118,-0.703,-0.5001,2.3089
"G343",-0.0365,-0.9689,1.0629,0.1273,-0.7161,-0.2158,0.4219,-0.434,1.4115,0.898,2.0548,0.6824,0.3494,0.1365,0.926,-0.3031,0.0169,0.5231,-1.4609,0.5003
"G344",-0.1773,0.1955,-0.4714,1.5836,-0.8926,1.1352,-1.0531,-0.795,0.9584,1.558,0.3341,0.4661,1.3224,0.0537,0.4658,1.6561,1.4765,0.648,2.0884,-0.0781
"G345",-1.5695,0.8026,-0.4417,1.7227,0.0997,-0.2294,0.111,-1.8182,0.3984,0.7435,1.2593,-0.5966,0.4641,0.9469,1.4155,0.7371,-1.4828,-0.4503,-1.5917,0.7756
"G346",-0.4741,-0.8989,-0.5968,-1.0053,-2.2057,-0.6185,0.1735,0.5929,-0.954,1.3727,-0.3158,0.4606,-0.8371,1.0037,0.0554,0.8283,-0.6772,0.8496,0.6415,1.3121
"G347",-0.9131,0.7536,0.8597,-1.2884,0.8179,-1.2045,0.5782,-0.1117,-2.0396,0.9667,1.7637,1.8413,-1.6473,-0.2491,1.048,-1.465,2.6326,0.0513,0.3424,-0.2241
"G348",0.9353,-0.2014,0.5961,-1.0194,0.9912,0.3049,1.3912,0.4248,0.0173,-0.7828,0.4134,-0.609,0.931,0.8082,-1.8706,0.576,-0.2916,2.9087,0.0027,1.3299
"G349",0.12,-0.8105,-0.6739,0.1117,-0.9919,0.1735,-0.7829,-1.7859,-0.5422,-0.6768,-0.8386,-0.8715,-0.2621,0.6963,-0.4016,-1.4595,1.4938,0.6973,-0.2354,-1.7024
"G350",-0.1336,1.4654,0.1273,-0.482,1.6987,-0.546,0.219,0.5013,-1.2783,0.8278,1.3603,0.2461,-0.7654,0.6518,0.691,1.1562,-0.6536,-0.8309,-0.4544,0.3845
"G351",1.8401,0.5538,-1.3215,-0.9537,1.176,1.6634,-0.6533,-0.182,-1.4843,-1.3518,0.0041,2.1867,2.1581,-0.8443,1.5728,-0.8007,0.1353,-0.47,-0.0645,0.0084
"G352",0.6376,0.289,-0.2452,1.1932,-0.3277,0.7059,1.976,1.4056,1.098,-0.7471,1.5105,-0.0399,-2.273,-0.3814,-0.7318,0.4727,-0.006,-2.1434,-0.1213,-0.2023
"G353",-0.3938,-1.2811,0.3833,0.6091,-0.0012,-0.7253,-0.1459,0.3371,-0.0275,-2.4488,0.1863,-0.3139,-1.2457,-0.5581,-1.4526,0.8128,0.3298,-0.1379,0.7638,-0.9841
"G354",-0.0197,-0.7071,-0.71,-0.423,-0.735,0.2255,-0.5514,-0.1758,-0.3437,-0.0831,-0.8581,-0.2254,-2.0004,-0.4896,1.7143,0.6614,-0.2525,0.0611,-0.6081,0.673
"G355",-0.5724,0.483,-0.2704,-0.3921,0.9427,1.7961,-1.1304,-0.2839,-1.9701,-1.7328,-0.8154,-1.3321,0.1547,-1.559,-0.4306,0.069,0.9161,1.5224,-0.3411,1.9139
"G356",-0.0437,-2.794,-0.6981,-0.0108,-1.0949,0.0234,0.8074,-1.0327,0.5266,0.4491,0.5961,0.2855,1.2586,0.8644,0.6916,-0.7143,-1.5067,1.3703,-0.9306,-0.2922
"G357",0.3451,-0.154,1.5188,-0.6768,-0.7041,-0.4031,0.0824,0.6252,-0.1362,1.1732,-0.6242,-0.9167,1.5886,1.6942,-0.2614,-0.4758,0.7165,0.1216,0.3254,-1.4887
"G358",1.2145,-0.0382,-1.1338,-0.3495,-0.3389,0.6857,-0.834,0.4895,-1.5493,-0.6401,0.2977,-0.2796,-0.183,2.0559,-0.4092,0.1571,-0.0351,0.954,0.932,-1.7865
"G359",-0.0566,-0.6792,0.8269,-1.9308,-0.4143,0.6345,0.5159,-1.7371,1.3791,1.3321,0.7941,-0.222,1.4626,-0.799,-1.2999,1.219,0.3517,-0.3078,1.1324,0.3782
"G360",-1.0659,0.1689,0.4744,-1.5351,-0.8683,-0.9142,-0.3038,0.8571,0.9175,1.0412,-0.8556,0.2137,0.1266,-0.6343,-0.8842,1.6908,-1.1179,-0.3335,-0.2218,-0.1195
"G361",0.1055,0.1754,-0.5896,-1.5859,1.3575,-1.8229,0.8562,2.0213,-0.8477,-0.9624,1.3421,-0.4219,0.0595,-1.6447,0.0075,-0.3294,-0.3819,-0.816,-1.1267,1.2255
"G362",0.047,0.093,-2.2078,-0.1863,-0.2897,0.8586,0.485,0.0289,-2.5854,1.6691,0.3687,0.2443,-0.1046,-0.4709,0.3994,0.2594,-1.3466,1.7888,-0.9602,-1.3843
"G363",1.5026,-0.4572,-0.695,-0.0825,1.7195,0.6245,0.2907,-0.3212,-0.1426,-1.3448,-0.1813,0.4367,0.0672,-1.409,-0.6593,0.5243,1.2606,-0.6944,2.4702,2.433
"G364",0.3607,1.3996,-1.2196,-0.1471,-0.495,0.3713,0.3889,1.5713,0.5131,-1.3506,1.1405,-0.1091,-1.226,-1.3443,0.4437,0.8225,-0.8253,-1.0114,-2.7684,0.8639
"G365",-0.1254,1.1429,1.3118,-0.8108,0.4573,0.1947,-0.3293,-1.7228,-0.7302,-0.4248,0.8266,-1.1993,-0.7475,-0.6447,-0.903,0.9018,-1.6095,0.0487,0.5804,-0.9292
"G366",-0.7458,1.2375,-0.65,1.675,0.64,-0.1197,0.1788,-0.0223,1.0813,-0.1302,-0.7177,-0.2221,-0.0087,-0.1926,-1.7635,-0.386,-0.106,0.7473,0.3833,-0.4431
"G367",-2.4907,1.0425,0.6807,0.503,0.1661,0.4018,-0.8217,0.5022,0.3725,-0.6028,1.8602,0.8714,1.1016,0.8355,-0.1407,-1.1763,0.6393,0.0382,-0.3478,0.3285
"G368",0.0929,0.1107,-0.8359,-0.7814,-0.0775,-0.1403,0.3904,1.0855,1.5051,-1.0591,-0.3737,-2.9401,0.0317,1.8434,0.5328,1.917,-0.8681,0.7842,0.3362,-1.0852
"G369",0.518,-0.0417,0.0197,0.5628,-0.7391,-0.5681,-1.2873,0.9338,-0.8615,0.1356,1.6475,0.7423,0.001,0.5432,1.1132,-0.3742,-1.4211,-1.159,0.2811,0.132
