"geneSymbol","GSE_A_S01","GSE_A_S02","GSE_A_S03","GSE_A_S04","GSE_A_S05","GSE_A_S06","GSE_A_S07","GSE_A_S08"
"LOC127457791",7.611,8.089,8.98,7.671,8.442,8.947,7.576,7.372
"LOC130060047",7.775,8.935,6.605,7.305,7.406,5.75,6.367,6.932
"GAPDHP61",8.113,6.297,6.055,6.13,6.661,9.01,8.754,4.382
"LOC130009511",10.02,4.652,5.139,7.136,5.604,7.633,6.994,5.773
"MTCH2P2",6.672,6.922,7.125,5.515,5.819,6.3,9.422,4.878
"OR1L3",6.523,7.386,8.029,7.54,6.307,5.618,7.65,9.481
"LOC129934724",9.064,7.219,7.977,6.169,5.604,3.978,4.25,7.106
"LOC127275570",7.02,9.092,7.427,5.943,9.475,8.658,6.409,6.225
"LOC130003189",7.042,7.102,7.82,6.623,5.759,5.373,7.819,8.535
"LINC01264",7.302,5.86,8.941,7.143,4.439,6.769,5.323,6.203
"TRNQ",6.584,6.143,6.625,5.919,5.046,7.229,7.367,8.965
"LOC127893889",7.084,7.843,6.904,6.505,6.412,7.225,7.088,9.544
"LOC129389722",7.392,8.978,6.05,5.354,6.182,5.247,9.336,5.493
"LOC129997479",8.946,7.231,6.625,7.1,3.53,8.267,7.418,3.6
"ARGFXP1",6.92,9.031,7.88,9.068,4.946,7.31,5.688,7.321
"LOC127898093",8.026,5.654,3.816,6.568,8.407,4.886,7.52,8.629
"LOC127889302",7.917,7.731,7.09,6.62,5.726,7.088,7.084,7.01
"LOC112529913",7.136,5.217,6.313,5.198,7.876,7.67,6.147,6.561
"GPR149",7.364,7.634,8.607,6.262,5.095,5.86,7.847,7.189
"LOC127403288",8.377,8.613,6.618,8.051,7.331,7.257,8.53,6.898
"LOC130000908",6.865,5.676,7.321,6.759,7.051,6.451,7.309,5.819
"LOC105372234",6.865,7.861,5.724,8.639,8.538,5.213,5.962,9.547
"LOC127270329",8.055,6.602,6.216,8.357,5.523,8.734,4.704,9.109
"MRGPRX10P",8.75,3.028,6.861,6.736,9.342,4.675,5.366,8.374
"LOC127886603",6.413,4.858,7.011,6.374,6.205,5.453,6.634,11.255
"IGHV3-79",7.542,8.622,6.538,7.608,5.701,8.148,8.133,8.548
"LOC130009087",9.027,6.549,6.535,3.733,7.687,5.868,8.11,6.946
"LINC02054",4.81,7.374,7.561,6.329,4.681,7.467,8.462,10.791
"LOC124905008",7.929,6.483,8.089,5.1,6.34,6.125,7.185,7.155
"LOC130066822",7.742,7.565,7.486,7.71,7.589,5.84,8.479,6.718
"LOC125024496",6.637,10.365,6.38,3.958,8.982,4.136,8.883,4.938
"LOC129934759",7.815,5.092,6.13,8.51,8.084,6.546,8.426,8.006
"LOC126860008",8.058,6.815,7.743,8.995,8.159,5.539,7.307,5.445
"LOC130005267",7.066,7.815,5.823,8.495,5.796,6.545,6.349,6.74
"LOC129997096",5.755,8.063,7.737,8.739,7.21,4.443,5.444,6.444
"LOC127816498",5.06,5.212,8.537,3.299,7.622,5.939,6.575,7.179
"LOC127824712",4.209,8.766,7.749,8.38,6.927,7.772,6.337,7.899
"NQO1",5.835,7.671,7.995,9.131,8.819,6.671,6.885,9.159
"LOC132089923",8.613,7.253,8.892,5.635,7.357,5.077,6.321,8.704
"LOC127817414",4.63,5.53,6.927,5.153,6.457,7.322,7.682,8.146
"LOC127408512",5.424,6.68,7.747,4.188,6.827,9.566,6.831,6.934
"TRA-TGC9-1",7.657,7.24,7.465,9.413,7.655,7.441,7.792,8.423
"LOC127276189",7.911,8.134,8.277,4.386,5.139,9.265,5.262,7.448
"LOC130007255",5.395,6.792,8.754,6.676,6.409,6.196,7.925,6.897
"RPL41P3",4.081,6.883,5.577,7.364,3.553,5.743,6.417,9.92
"LOC127828222",6.545,7.141,5.465,8.986,6.52,7.887,5.779,5.9
"LOC124904622",7.798,6.331,6.219,7.565,5.152,7.648,4.752,6.765
"LOC126862747",6.534,7.417,6.703,6.911,5.887,8.499,3.447,8.817
"LOC111429623",8.283,8.416,9.152,7.441,6.026,7.931,7.006,8.77
"LOC130059714",6.539,7.64,7.836,8.22,7.134,7.468,4.927,6.233
"LOC127405704",6.422,7.834,5.871,6.72,6.829,7.994,8.547,7.921
"GK4P",6.691,11.677,8.267,6.19,6.925,5.468,5.549,6.455
"LOC105376939",9.01,5.703,5.625,7.959,6.426,6.406,5.519,5.309
"LOC127398140",5.807,7.184,5.987,8.296,7.136,7.951,5.976,7.425
"FAM20BP1",6.387,8.73,7.667,7.765,6.983,4.923,6.327,7.133
"LOC127398315",5.779,6.498,8.887,5.661,6.319,7.392,5.033,6.922
"LOC126807419",4.294,8.308,8.275,11.398,6.154,8.743,7.581,7.305
"LOC129935319",7.772,4.403,6.214,8.479,8.605,8.358,7.251,5.98
"LOC129934068",6.83,8.165,7.733,8.063,7.483,3.763,5.362,8.012
"LOC129938080",7.227,6.484,6.723,7.326,8.898,8.339,7.457,6.442
"LOC127829523",8.501,7.05,6.815,7.502,8.175,7.202,9.088,7.752
"LOC108720145",8.03,9.424,8.777,8.822,6.298,5.367,8.596,7.608
"LOC124908562",5.303,7.133,6.375,7.01,3.047,8.09,8.197,6.65
"PIGT",4.917,8.175,11.776,7.315,5.314,7.094,8.461,8.425
"FTLP20",7.164,5.197,7.809,6.772,6.514,5.327,5.907,5.099
"LOC130055953",5.465,5.788,7.424,7.378,8.493,7.334,7.663,6.982
"LOC130005245",7.439,5.94,6.007,9.109,7.849,9.408,6.049,9.109
"LOC127896985",8.297,9.177,5.997,8.507,8.068,7.144,6.989,8.067
"LOC127406574",8.004,6.849,7.526,7.007,6.347,5.621,6.295,5.318
"LOC130002762",6.871,6.687,7.141,8.959,6.904,7.945,6.631,4.921
"LOC126806791",6.371,7.048,9.975,9.051,5.75,7.504,7.678,7.786
"LOC130009441",5.067,8.483,9.227,7.183,9.397,7.899,6.08,6.955
"LOC127397181",6.723,9.311,6.203,10.491,6.019,7.957,8.762,5.423
"LOC127890218",6.895,7.717,6.38,8.288,7.911,5.657,6.872,8.37
"LOC109504725",8.209,6.332,7.37,8.669,4.894,5.799,6.841,7.754
"LOC130065795",7.977,7.235,8.83,6.22,4.1,6.729,8.521,7.15
"LOC127401535",4.374,7.499,6.13,6.315,5.166,9.545,7.607,5.059
"LOC116276452",7.5,7.462,8.261,8.644,8.852,6.808,3.386,7.275
"HECA",7.512,7.651,7.449,7.064,7.267,7.255,5.583,8.582
"LOC127458550",5.702,6.685,7.342,9.807,6.521,7.576,3.685,5.465
"LOC127270447",4.4,4.653,5.437,9.388,6.353,6.038,6.709,5.419
"LOC124544578",7.628,5.701,5.242,4.775,4.96,9.735,7.124,8.724
"LOC130001057",8.708,6.939,6.255,6.236,4.83,5.886,6.756,6.857
"NPM1P45",9.217,8.659,4.622,8.272,7.405,6.951,8.144,7.677
"LOC130058356",5.494,6.109,7.151,8.265,5.283,4.677,5.374,7.879
"LAG5",8.898,5.321,7.143,6.707,8.041,7.293,5.593,9.176
"CST2",6.361,7.945,6.726,6.189,6.197,7.441,8.336,5.883
"LOC127889612",4.9,9.109,8.686,6.647,6.488,4.025,6.76,8.349
"LOC127883848",7.433,5.769,8.694,5.174,7.334,7.69,7.567,7.025
"LOC126861459",7.623,7.9,7.972,8.439,7.394,7.368,4.154,9.32
"RNU6-1272P",7.235,5.143,6.378,4.526,6.797,5.871,9.027,9.074
"LOC127898018",6.369,7.392,6.862,8.377,6.702,6.598,7.471,6.575
"LOC130063466",5.064,4.841,5.567,8.843,5.721,8.433,9.286,6.092
"RPL35AP4",5.952,7.569,7.439,7.149,7.364,6.932,6.084,6.297
"SNCB",6.806,7.977,5.716,6.424,7.138,8.669,6.702,7.117
"LOC124903527",6.244,4.99,7.66,8.917,8.463,9.412,4.723,7.683
"LOC127408050",10.065,8.617,7.829,6.576,6.682,7.298,8.861,6.946
"LOC130003541",5.679,8.736,6.432,5.052,6.098,6.836,7.26,8.338
"OR4F2P",8.219,6.896,6.359,8.599,6.525,7.183,9.323,5.769
"LOC106736614",7.124,6.123,7.436,5.381,6.854,5.206,6.463,5.829
"LOC130001308",6.899,4.935,6.339,9.533,5.885,7.187,6.627,6.592
"RTN3P1",5.706,5.927,7.191,6.404,7.849,7.149,6.701,5.329
"LOC130058868",4.88,7.19,5.18,5.05,7.491,9.671,7.225,7.475
"LOC130066893",8.898,7.297,9.444,6.491,5.194,8.407,8.631,4.532
"LOC129999654",2.681,6.716,4.67,6.931,7.084,4.958,5.701,7.035
"LOC127274136",9.098,5.509,6.616,7.359,7.828,3.788,5.82,7.797
"SIRPB1",4.944,9.615,7.662,5.539,8.48,8.185,7.099,6.957
"LOC127397410",8.322,6.989,6.209,7.884,6.45,5.175,8.521,7.585
"ZFTRAF1",8.587,7.069,7.951,5.396,9.158,7.378,7.048,7.529
"LOC127458067",9.195,7.545,9.9,7.33,5.312,7.21,5.233,6.514
"RNU6-501P",7.173,5.617,9.136,7.091,6.97,8.593,8.39,7.53
"LOC121468016",8.235,7.95,7.352,7.026,6.83,7.611,6.93,7.398
"LOC129935425",5.156,8.405,8.985,9.168,8.383,5.152,7.23,9.455
"LOC127396519",7.152,5.545,5.955,7.732,3.182,8.935,7.97,4.452
"LOC127891096",7.814,8.353,7.667,5.494,8.07,7.156,5.889,6.94
"LOC127885796",6.028,7.854,7.118,5.646,10.156,7.297,6.711,6.867
"LOC130061942",6.381,5.12,10.043,6.288,7.114,6.083,8.92,5.648
"LOC129994752",9.258,8.082,6.125,4.083,7.114,6.417,6.715,5.141
"LOC125177367",9.334,7.497,8.845,6.665,6.181,8.089,7.65,7.777
"TSPOAP1",5.419,8.224,5.951,6.148,8.743,3.942,7.347,8.947
"LOC129998395",6.281,4.83,6.979,8.604,5.767,8.323,9.396,7.757
"LOC127814412",5.242,6.911,7.03,6.979,10.826,4.102,8.405,6.363
"LOC130064164",3.707,5.289,3.489,4.892,5.606,7.128,5.395,8.352
"LOC130002629",6.067,4.442,6.738,5.445,7.589,7.911,9.082,5.623
"LOC127403441",6.278,6.443,7.712,8.219,7.234,5.341,5.939,7.711
"LOC130008392",5.145,8.122,7.88,6.636,5.015,8.61,8.231,5.195
"LIX1L",7.119,5.601,5.009,6.527,9.22,5.926,3.821,7.387
"LOC127397153",4.678,6.571,6.932,6.387,6.121,4.418,5.083,8.561
"LOC130057798",5.887,5.964,8.195,7.78,6.958,6.817,8.11,6.633
"MBS2",4.677,7.598,7.796,7.412,8.651,7.799,9.825,8.985
"LINC01537",10.653,6.485,9.086,8.874,7.236,7.676,7.167,6.743
"ATP10D",7.543,6.164,5.493,10.015,8.99,6.71,6.745,7.724
"LOC127829164",6.961,7.366,7.959,5.016,6.12,9.649,8.352,5.858
"LOC122128457",4.044,5.927,7.046,7.173,8.242,7.987,6.175,5.204
"LOC127897516",8.542,6.753,6.436,8.652,7.709,6.892,5.265,6.599
"LOC127890920",6.714,6.381,8.386,9.179,7.309,8.538,8.142,6.804
"LOC123987607",5.866,6.639,5.097,6.051,6.364,5.375,7.303,8.655
"LOC116183050",6.155,4.931,7.389,6.753,6.573,7.998,7.925,6.498
"LOC127829700",6.406,5.709,4.895,2.876,6.16,7.076,9.171,6.043
"LOC127400667",7.583,6.15,7.346,7.747,7.507,5.148,7.826,9.793
"LOC130064213",5.084,7.018,7.988,9.24,7.626,6.629,5.68,7.131
"LOC127276327",7.747,5.49,5.513,7.996,8.092,6.828,5.863,5.817
"LOC127409420",8.037,6.276,7.766,7.091,6.812,11.283,7.583,6.893
"LOC129937150",4.713,8.644,7.531,6.221,5.223,5.933,3.51,8.441
"LOC127459227",6.342,9.398,6.936,5.225,8.903,4.943,5.499,7.63
"LOC129662150",4.572,8.279,7.178,7.791,5.829,6.379,8.067,10.106
"LOC124903101",7.558,7.074,4.571,6.952,10.814,5.832,5.137,7.002
"LOC129390240",5.605,8.314,8.61,9.406,7.705,7.848,9.574,8.246
"LOC129995095",8.268,7.953,5.526,6.632,7.615,8.072,10.271,9.671
"LOC127818711",7.082,6.019,8.883,5.902,6.911,9.673,10.12,8.495
"OR52M2P",7.192,9.846,7.228,6.153,4.916,8.151,6.779,7.824
"LOC124903814",6.092,5.917,7.099,6.287,5.57,6.145,8.295,6.437
"LOC124906463",9.484,7.453,6.968,7.642,5.937,6.411,5.817,10.328
"CENPBD2P",5.761,5.766,7.23,5.549,6.826,8.627,8.93,5.455
"LOC130059347",4.865,8.232,7.737,5.364,6.542,6.682,6.764,7.202
"LOC127887727",7.289,4.93,6.259,7.987,7.704,6.832,6.029,6.278
"OFD1P15Y",5.9,4.237,7.524,4.502,8.151,6.585,7.278,7.759
"LOC130067133",8.08,6.598,7.242,8.361,7.08,8.484,9.53,7.409
"LOC127272278",6.211,6.255,7.992,6.447,7.73,7.861,8.305,8.829
"CFAP298-TCP10L",7.712,7.535,9.188,8.753,6.212,7.086,6.775,9.003
"LOC129661056",6.562,6.517,5.839,9.915,7.317,6.33,5.775,6.845
"CCIN",7.461,6.499,7.603,7.832,8.509,8.852,8.991,7.288
"LOC110740340",5.876,8.208,6.424,5.723,8.003,7.651,11.608,6.746
"LOC129936711",8.796,7.965,5.731,6.138,6.251,7.786,6.843,5.42
"LOC132089200",7.844,5.562,6.543,4.648,6.788,4.98,6.868,6.847
"LOC127399848",3.364,5.924,7.148,7.975,7.116,7.499,6.533,6.758
"LOC130006981",6.43,5.601,6.704,7.03,7.219,5.877,5.777,8.682
"METTL13",6.672,6.55,7.462,7.524,6.947,7.561,4.522,6.277
"RPL7AP49",6.264,5.136,5.56,7.791,9.877,8.472,7.188,5.514
"LOC129932505",6.11,5.726,9.155,9.604,7.482,7.718,6.371,6.158
"LOC127827934",5.004,6.786,6.796,7.104,7.418,8.775,6.587,8.074
"CREG1",8.361,7.519,7.137,6.35,6.102,6.485,7.166,6.753
"NID2",6.946,8.427,7.309,5.986,8.113,5.19,6.5,6.085
"LOC129934247",6.83,6.58,6.733,6.564,6.739,9.008,8.719,6.155
"EHHADH",7.522,7.343,6.669,8.671,8.22,4.796,9.59,7.912
"LOC129662241",4.856,6.656,6.867,8.828,7.303,7.034,9.025,6.934
"LOC127815480",9.638,6.478,6.386,6.313,7.645,8.228,8.13,5.568
"LOC130062344",7.133,9.554,6.401,7.25,6.691,8.178,6.564,6.136
"LOC129663987",5.615,7.239,5.624,10.051,7.039,7.24,7.421,4.168
"LOC130003145",9.938,9.535,7.998,10.373,8.208,6.928,5.574,4.03
"STXBP5-AS1",5.335,6.087,7.953,7.424,4.62,9.532,6.971,7.171
"LOC100420117",7.323,5.726,8.848,6.364,5.162,4.428,5.447,6.077
"LOC127818451",5.865,7.153,5.958,7.198,7.128,7.107,5.968,5.643
"LOC124906898",5.856,6.917,7.148,8.239,5.042,5.124,4.826,8.139
"LOC129991998",6.167,7.368,7.23,6.923,7.413,6.138,7.077,7.232
"LOC127823302",6.527,7.908,6.438,7.081,8.334,6.603,7.5,7.62
"LOC129994091",5.712,5.51,7.03,7.268,5.394,4.486,7.431,6.337
"LOC127898459",8.09,5.504,6.921,6.066,6.09,5.752,9.136,6.865
"LOC127890103",7.33,5.32,8.246,9.064,7.866,5.555,7.75,7.953
"LOC127830169",5.916,6.077,8.88,8.503,8.778,5.38,7.342,4.954
"LOC127883930",6.188,5.168,7.545,6.251,5.086,8.363,7.19,6.989
"LOC127269792",6.006,8.56,7.236,9.674,5.395,5.854,10.261,6.146
"OR9G4",8.99,6.646,5.586,9.546,8.77,6.642,5.417,4.138
"MIR148B",8.425,5.832,6.423,7.29,8.885,8.156,5.502,6.718
"LOC132090715",5.904,5.862,5.836,5.409,5.878,4.808,6.743,5.676
"LOC129664481",7.645,6.785,7.242,7.161,8.146,6.812,5.168,6.763
"SFMBT2",7.939,5.6,6.081,7.138,7.378,8.625,8.298,9.119
"LOC126806507",7.611,7.778,4.515,8.53,6.254,6.956,7.931,8.154
"CDKL4",6.43,7.048,4.912,7.857,6.739,8.403,6.395,7.175
"LOC390358",5.568,6.821,11.085,7.421,7.253,8.522,5.839,7.648
"LOC130004899",9.211,7.924,6.714,4.076,5.257,6.862,6.063,5.839
"LOC129998365",7.47,7.648,8.01,7.935,5.446,6.474,6.268,8.017
"LOC127404391",9.188,6.19,7.509,5.869,6.122,7.327,5.352,8.576
"HNRNPA1P75",7.446,5.849,8.565,7.143,5.907,6.252,9.311,7.78
"LOC129993674",7.274,8.118,9.74,7.68,6.825,6.956,6.012,5.127
"LOC127273223",5.638,7.6,8.725,7.769,7.197,6.122,5.43,5.275
"LOC127893840",7.616,4.955,5.512,5.25,5.651,7.469,8.715,5.535
"CDK3",5.315,6.874,6.207,7.485,9.67,7.963,5.966,8.285
"LOC127408616",7.918,6.549,4.515,5.881,6.598,6.448,7.161,6.273
"LOC129661130",3.797,10.145,5.716,6.313,7.721,6.824,6.787,8.541
"HNRNPCP9",6.658,6.929,9.387,5.571,8.689,5.75,7.996,5.224
"LOC105374138",7.06,9.805,5.764,7.505,4.012,8.814,7.128,8.558
"NUDT8",5.47,4.086,7.465,7.026,6.058,9.412,8.39,7.893
"LOC124901101",7.348,7.851,10.148,4.384,7.773,7.975,8.047,5.319
"LOC129998219",8.315,6.028,7.832,6.076,9.538,5.858,5.019,5.079
"TRBV4-1",7.178,9.65,6.3,6.577,9.023,5.788,5.789,6.984
"LOC105373056",8.024,6.766,8.294,6.225,7.74,5.456,5.41,6.324
"FICD",6.338,6.411,7.335,6.393,4.838,7.692,7.605,9.305
"LOC130003199",7.337,5.836,6.57,7.651,6.578,7.768,5.896,7.331
"LOC127894490",6.986,6.745,8.419,8.329,6.494,7.628,7.082,8.057
"LOC127827881",5,6.406,6.537,4.75,6.443,7.91,5.953,7.693
"LINC02653",7.904,5.839,7.72,7.641,6.524,7.2,6.455,7.148
"LOC127456889",6.757,7.944,6.911,5.739,6.839,5.671,7.214,7.787
"LOC105377212",7.892,7.474,7.062,5.335,7.105,6.127,8.852,6.904
"DMRT3",6.145,6.986,5.708,4.008,5.744,8.17,7.816,5.765
"LONRF2",6.611,5.468,7.209,6.301,7.827,8.466,6.802,5.164
"LOC130007624",6.205,8.905,8.481,7.257,8.177,9.415,6.446,6.226
"LOC121392913",4.643,8.562,6.485,9.103,8.397,5.429,6.923,6.538
"LOC130001191",6.41,5.966,8.104,7.638,8.404,8.436,6.499,5.473
"LOC132088696",6.95,7.53,6.429,8.608,7.112,8.281,5.855,7.172
"MAFTRR",7.794,3.181,8.562,4.018,7.182,7.479,7.914,6.553
"LOC130068391",5.456,7.44,5.34,6.471,5.024,6.448,8.435,7.703
"LOC124902580",6.758,9.288,7.12,7.224,6.584,9.291,6.122,8.015
"LOC127820692",7.875,7.977,7.204,8.26,7.454,8.468,8.083,5.258
"LOC127457079",8.378,4.666,7.113,8.001,8.03,8.642,6.064,5.365
"LOC127272520",8.047,4.957,10.004,7.073,6.055,4.349,5.621,6.89
"LOC129661458",7.319,8.319,7.742,6.703,6.706,4.904,6.666,6.558
"IGKV2D-29",8.39,9.874,5.152,8.652,7.266,6.357,7.21,4.785
"LOC129391002",6.528,6.715,8.039,7.266,8.116,4.33,6.242,4.769
"LOC129992171",5.335,9.021,4.493,7.301,6.907,6.031,7.214,7.7
"LOC110120645",6.618,6.645,6.675,6.414,7.085,6.459,7.451,6.32
"ERVS71-2",9.638,4.843,11.168,7.517,5.068,4.883,8.284,7.214
"LOC124310575",10.599,5.986,7.52,8.274,6.677,7.286,9.988,7.784
"LIX1",3.999,7.309,8.502,6.82,7.473,5.884,6.322,4.144
"DNAJA2-DT",5.688,6.646,7.193,6.55,8.932,9.025,5.188,6.316
"LOC127397194",6.708,4.867,8.398,8.175,6.201,8.742,7.805,6.032
"LOC127823919",7.45,7.171,5.183,7.17,4.916,6.923,5.84,6.487
"MLF2",5.763,8.704,7.141,6.093,7.674,5.719,8.642,7.834
"LOC105369491",5.195,5.116,8.465,9.456,6.102,8.05,8.221,7.051
"LOC129934814",5.13,8.189,6.245,7.069,7.918,5.022,4.989,8.468
"LOC129932724",7.151,7.661,5.238,5.794,5.124,10.008,8.237,8.936
"ME3-DT",7.193,8.897,8.852,7.307,5.872,6.003,5.36,5.83
"RN7SL32P",8.891,5.619,6.78,4.232,8.396,5.878,5.715,4.908
"LOC127273434",4.095,4.847,6.393,6.964,6.358,6.525,7.049,8.504
"LOC127398912",5.544,5.87,5.751,7.494,5.519,10.185,8.682,7.577
"LOC127817831",9.517,6.819,6.089,4.748,8.047,9.544,6.157,6.356
"LOC121740695",8.434,6.678,7.505,6.566,7.402,9.343,4.582,8.71
"LOC127819756",6.305,6.934,7.566,7.606,6.708,5.466,7.119,6.255
"LOC130002780",10.74,8.014,5.796,8.84,8.13,3.311,5.248,10.357
"KAT7",8.551,7.139,6.386,7.212,6.576,4.414,7.203,7.059
"LOC129998638",7.091,6.695,6.459,9.935,5.426,6.235,8.608,8.403
"LOC127897691",5.548,6.492,6.926,8.814,9.331,6.264,7.784,7.1
"CASP1P1",4.336,8.449,5.225,6.077,8.63,6.375,7.661,7.278
"ERVK-7",4.61,7.225,8.124,7.803,5.47,6.468,7.771,6.319
"LOC127895452",5.409,8.259,6.557,6.78,5.807,5.566,7.741,9.075
"FRA11I",6.412,7.053,5.98,6.143,7.197,7.227,6.138,7.184
"LOC126862424",6.066,8.621,5.119,5.47,7.032,6.853,5.029,5.408
"LOC126806805",4.593,7.402,4.355,6.019,7.631,8.538,6.542,5.876
"LOC132090142",7.93,8.508,5.024,7.422,8.708,6.799,6.943,6.609
"LOC124909236",9.045,6.225,5.808,9.345,5.526,8.599,6.906,7.927
"LOC127825711",8.663,7.049,10.334,8.562,7.188,8.619,3.75,7.633
"LOC129664824",7.232,5.35,7.084,9.527,6.287,7.3,6.034,9.346
"LOC130002929",6.137,6.863,7.296,8.878,7.139,6.915,6.252,7.79
"LOC129662521",6.957,7.801,8.556,7.065,6.629,8.434,7.395,5.953
"LOC124903434",6.197,10.008,6.246,6.286,5.845,6.238,6.842,5.531
"LOC130059407",7.407,6.932,6.482,5.743,7.736,7.238,9.336,5.792
"TMEM183A",5.73,4.967,9.598,5.229,9.363,6.471,6.369,5.856
"LOC127404488",5,8.18,7.127,5.95,6.578,5.828,6.269,6.634
"LOC132090903",8.183,7.234,6.867,6.544,8.551,5.243,7.887,7.039
"LOC126862329",7.5,7.144,7.441,8.131,7.256,5.897,7.88,6.938
"FNDC3CP",7.574,7.094,5.86,6.117,7.045,5.371,7.818,5.782
"LOC127822374",5.327,7.958,8.538,5.8,4.971,4.942,5.017,7.942
"EBF4",5.655,7.849,6.485,7.976,5.783,8.457,10.341,7.693
"LOC129997581",9.177,6.82,7.392,5.466,7.38,8.195,5.742,4.516
"SLC25A5P4",6.406,6.417,7.639,5.031,5.661,6.463,6.775,7.149
"LOC127268281",4.385,7.136,8.259,8.371,7.839,5.766,6.004,7.377
"OR11K2P",9.234,8.823,7.58,8.396,9.35,5.754,7.455,8.298
"FZD7",5.064,4.834,6.213,6.155,6.56,7.983,7.71,8.854
"RELB",6.189,6.405,7.514,7.304,6.264,7.593,6.307,9.577
"LOC130066098",6.409,6.296,8.559,6.989,8.358,5.443,9.948,6.1
"LOC129999460",5.705,7.334,7.537,7.593,8.488,7.029,7.267,7.616
"H2AZ2-DT",7.466,6.659,5.944,9.113,8.378,4.383,9.954,9.242
"LOC124900805",6.166,5.648,8.881,6.714,5.864,4.421,7.393,6.461
"LOC126861756",6.952,6.385,5.521,8.353,9.236,7.632,9.004,5.322
"LOC129992753",5.01,7.707,5.836,8.673,6.413,8.686,4.57,7.226
"LOC129997698",7.731,6.049,5.51,7.052,7.964,6.191,6.191,7.18
"LOC129998087",6.312,7.915,5.387,5.514,7.736,7.195,5.89,8.226
"LOC127816264",6.511,6.225,5.755,7.148,10.014,6.307,7.871,10.752
"LOC127276507",8.423,5.103,9.379,7.737,9.898,7.308,7.962,5.925
"LOC127882759",5.65,9.063,6.845,6.709,8.262,5.88,6.183,6.395
"LOC127894196",6.629,8.37,5.671,8.234,5.984,5.286,6.488,6.435
"LOC127399998",6.114,7.783,8.247,5.587,4.781,6.362,9.765,8.177
"LOC129993832",7.751,6.74,5.6,7.854,6.897,7.289,7.256,5.176
"LOC127409325",5.991,6.602,6.421,6.958,6.862,7.636,8.939,8.842
"LOC127820783",9.239,7.416,8.93,6.275,6.857,4.865,6.44,5.994
"LOC105376090",6.48,8.026,7.569,4.198,3.611,5.461,7.961,4.994
"PKD1P6",5.664,6.58,7.772,7.519,6.815,7.338,8.216,7.37
"LOC129995089",6.394,5.913,5.469,7.116,6.954,6.769,7.4,5.844
"LOC130003836",6.732,6.897,8.08,5.887,7.28,7.716,4.684,8.224
"LOC129929948",7.333,6.744,6.486,6.275,5.973,3.98,9.874,8.073
"LOC127460560",8.028,7.131,7.231,4.796,7.297,6.439,9.585,7.6
"LOC127882730",5.499,7.653,8.588,4.592,7.134,5.701,4.654,7.563
"LINC01958",8.666,6.078,7.996,4.924,5.817,5.451,8.701,4.227
"LOC127396656",6.181,7.597,6.005,7.173,8.683,4.841,8.158,6.782
"LOC129389100",8.37,6.456,8.208,7.888,8.74,6.76,5.5,8.229
"LOC127400059",5.063,9.699,6.23,6.918,8.244,4.719,6.154,10.42
"LOC126859766",8.357,7.892,8.283,8.2,6.92,5.665,5.775,7.741
"LOC127820936",5.969,3.89,8.359,5.835,6.501,7.638,5.713,6.829
"LOC126088088",4.884,7.15,6.725,4.585,4.332,6.99,7.662,9.311
"LOC127885440",6.325,8.748,6.829,5.674,8.013,8.233,8.107,5.692
"SLC26A3",8.165,6.865,6.7,6.441,5.441,7.292,5.844,7.095
"LOC127884946",9.437,7.964,7.071,6.527,4.526,7.771,8.104,8.905
"BNIP2",7.071,7.716,5.492,6.007,7.026,8.3,7.347,8.912
"PLCD1",5.206,8.697,7.296,5.9,8.188,7.933,5.867,5.749
"LOC129930168",6.627,7.695,4.563,8.971,6.666,8.027,8.173,10.52
"LOC130059640",7.58,8.064,4.389,5.032,5.135,8.903,3.885,4.735
"LOC124907282",6.601,8.271,6.814,9.273,8.407,8.008,7.486,11.301
"LOC127460466",9.029,6.693,4.591,6.622,8.915,8.124,7.935,5.35
"ARL2BPP8",7.084,5.29,6.199,4.727,6.674,6.961,5.708,4.027
"LOC124625891",8.863,6.648,6.662,6.203,6.183,5.845,6.571,6.839
"SYCP1",6.652,7.535,7.384,8.865,6.576,7.471,7.663,5.088
"LOC130001254",5.138,7.048,7.484,7.118,6.634,10.129,9.897,6.727
"LOC127896666",8.948,5.974,8.582,8.642,6.179,7.125,10.034,8.418
"LOC127884348",9.328,7.504,7.753,6.817,8.704,8.265,5.995,7.869
"LOC127895519",7.507,5.55,6.548,6.003,7.035,8.296,7.606,9.239
"INSM2",6.108,5.471,6.557,4.837,7.061,8.439,6.384,6.995
"LOC122094897",5.254,5.772,6.391,7.648,5.465,8.071,6.068,6.672
"LOC111776220",8.357,4.917,6.858,6.195,5.415,6.577,9.774,4.021
"LOC127898162",5.6,3.748,7.59,5.518,7.569,4.477,7.722,7.902
"LOC127405530",6.946,8.875,9.972,11.052,6.303,6.905,7.611,7.879
"LOC101929154",5.138,7.408,5.008,6.472,7.196,5.512,8.799,6.306
"LOC105375716",6.171,7.284,7.684,9.137,6.2,6.357,7.958,8.653
"LOC124904307",6.004,10.154,7.038,8.092,7.476,5.348,9.108,5.353
"LOC127269604",6.636,6.832,6.689,7.081,7.046,8.209,6.704,7.761
"LOC127892035",6.158,6.324,6.454,7.36,7.817,6.511,7.166,10.165
"LOC127274634",7.027,6.494,5.476,6.343,7.227,5.704,4.501,6.491
"LOC127896298",8.94,6.897,7.441,5.173,7.578,3.048,4.54,6.082
"LOC127818203",5.737,6.152,5.853,8.497,3.963,6.459,6.615,6.368
